Phi_global	P_surf	H2O_kg_total	H2O_vmr	CO2_kg_total	CO2_vmr	O2_kg_total	O2_vmr	H2_vmr	CH4_vmr	CO_kg_total	CO_vmr	N2_vmr	S2_vmr	SO2_vmr	H2S_vmr
1.0000000000e+00	9.8190469579e+03	2.0696433419e+22	2.5596016905e-04	3.8113548160e+21	2.7703419041e-02	8.7061219337e+22	9.6941995829e-01	2.3467928208e-06	8.8854587724e-19	2.2442353864e+20	2.3259527164e-03	2.9236294028e-04	1.6695258150e-11	1.0184287786e-34	3.3486173444e-11
1.0000000000e+00	9.8190733964e+03	2.0696434806e+22	2.5585957266e-04	3.8119601708e+21	2.7705878401e-02	8.7061219337e+22	9.6941734806e-01	2.3458704942e-06	8.8793118931e-19	2.2444682270e+20	2.3261592020e-03	2.9240884041e-04	1.6696041300e-11	1.0184260364e-34	3.3473842990e-11
1.0000000000e+00	9.8190733985e+03	2.0696434807e+22	2.5585956484e-04	3.8119602179e+21	2.7705878593e-02	8.7061219337e+22	9.6941734786e-01	2.3458704225e-06	8.8793114151e-19	2.2444682451e+20	2.3261592180e-03	2.9240884399e-04	1.6696041361e-11	1.0184260362e-34	3.3473842031e-11
1.0000000000e+00	9.8190733985e+03	2.0696434807e+22	2.5585956484e-04	3.8119602179e+21	2.7705878593e-02	8.7061219337e+22	9.6941734786e-01	2.3458704225e-06	8.8793114150e-19	2.2444682451e+20	2.3261592180e-03	2.9240884399e-04	1.6696041361e-11	1.0184260362e-34	3.3473842031e-11
1.0000000000e+00	1.0096528126e+04	2.0696268075e+22	2.4882448521e-04	3.8055763436e+21	2.7053998266e-02	8.9587548067e+22	9.7013492449e-01	2.2836582604e-06	8.6248500025e-19	2.2576087467e+20	2.2756668146e-03	2.8430223587e-04	1.6039030402e-11	9.9043947332e-35	3.2213464455e-11
1.0000000000e+00	1.0089817889e+04	2.0696272679e+22	2.4894811828e-04	3.8059915445e+21	2.7070430794e-02	8.9526341870e+22	9.7011687630e-01	2.2847379013e-06	8.6282620054e-19	2.2573942838e+20	2.2769474055e-03	2.8451259431e-04	1.6054743584e-11	9.9109816548e-35	3.2237890564e-11
1.0000000000e+00	1.0083050761e+04	2.0696276697e+22	2.4911630752e-04	3.8061398199e+21	2.7085909602e-02	8.9464726068e+22	9.7009983613e-01	2.2862260034e-06	8.6343555003e-19	2.2570728777e+20	2.2781469217e-03	2.8470476310e-04	1.6070251473e-11	9.9176333009e-35	3.2267803799e-11
1.0000000000e+00	1.0016075846e+04	2.0696316685e+22	2.5078408286e-04	3.8076666004e+21	2.7240433984e-02	8.8854889241e+22	9.6992973483e-01	2.3009778625e-06	8.6945937913e-19	2.2539092346e+20	2.2901210335e-03	2.8662503666e-04	1.6225219136e-11	9.9839499555e-35	3.2565391609e-11
1.0000000000e+00	9.9104229099e+03	2.0696380004e+22	2.5346949962e-04	3.8100334308e+21	2.7488103520e-02	8.7892905033e+22	9.6965709518e-01	2.3247291414e-06	8.7919580414e-19	2.2488815873e+20	2.3093035791e-03	2.8970343709e-04	1.6474920855e-11	1.0090386748e-34	3.3045774869e-11
1.0000000000e+00	9.7436418700e+03	2.0696480870e+22	2.5782717013e-04	3.8137987792e+21	2.7889707004e-02	8.6374371059e+22	9.6921501447e-01	2.3632584683e-06	8.9503552026e-19	2.2409039856e+20	2.3403880574e-03	2.9469998787e-04	1.6882869790e-11	1.0263102989e-34	3.3829766346e-11
1.0000000000e+00	9.4825891455e+03	2.0696641065e+22	2.6495600905e-04	3.8197644375e+21	2.8545934264e-02	8.3997571179e+22	9.6849267984e-01	2.4262578639e-06	9.2105630069e-19	2.2283143078e+20	2.3911268456e-03	3.0287672450e-04	1.7557518544e-11	1.0545643016e-34	3.5124120011e-11
1.0000000000e+00	9.0792520505e+03	2.0696894414e+22	2.7677707974e-04	3.8291619364e+21	2.9632192993e-02	8.0325493560e+22	9.6729708329e-01	2.5306400253e-06	9.6449988726e-19	2.2086112302e+20	2.4749729342e-03	3.1644300083e-04	1.8695919651e-11	1.1014123129e-34	3.7302272149e-11
