R_int	Phi_global	P_surf
1.0916524517e+07	1.0000000000e+00	1.1460887512e+04
1.0916524517e+07	1.0000000000e+00	1.1460250934e+04
1.0916524517e+07	1.0000000000e+00	1.1460250916e+04
1.0916524517e+07	1.0000000000e+00	1.1460250916e+04
1.0916524517e+07	1.0000000000e+00	1.1741175114e+04
1.0916524517e+07	1.0000000000e+00	1.1740538556e+04
1.0916524517e+07	1.0000000000e+00	1.1740124089e+04
1.0916524517e+07	1.0000000000e+00	1.1735977166e+04
1.0916524517e+07	1.0000000000e+00	1.1729350570e+04
1.0916524517e+07	1.0000000000e+00	1.1718759019e+04
1.0916524517e+07	1.0000000000e+00	1.1701844564e+04
1.0916524517e+07	1.0000000000e+00	1.1675081430e+04
1.0916524517e+07	1.0000000000e+00	1.1632588176e+04
1.0916524517e+07	1.0000000000e+00	1.1565099737e+04
1.0916524517e+07	1.0000000000e+00	1.1458394774e+04
1.0916524517e+07	1.0000000000e+00	1.1290877536e+04
1.0916524517e+07	1.0000000000e+00	1.1030805833e+04
1.0916524517e+07	1.0000000000e+00	1.0634195621e+04
1.0916524517e+07	1.0000000000e+00	1.0048446949e+04
1.0916524517e+07	1.0000000000e+00	9.2214634529e+03
1.0916524517e+07	1.0000000000e+00	8.6579768623e+03
1.0916524517e+07	1.0000000000e+00	8.2288105011e+03
1.0916524517e+07	1.0000000000e+00	7.5722644584e+03
1.0916524517e+07	1.0000000000e+00	6.6013811694e+03
1.0775828882e+07	1.0000000000e+00	5.4812589179e+03
1.0735322109e+07	1.0000000000e+00	4.7127150524e+03
1.0724359339e+07	1.0000000000e+00	4.2241570907e+03
1.0724359339e+07	9.9981926523e-01	4.0285964589e+03
1.0724359339e+07	9.9976227450e-01	4.0290820664e+03
1.0724359339e+07	9.9970594901e-01	4.0295833756e+03
1.0724359339e+07	9.9964944383e-01	4.0302711932e+03
1.0724359339e+07	9.9959301947e-01	4.0311457287e+03
1.0724359339e+07	9.9953489731e-01	4.0321935960e+03
1.0724359339e+07	9.9947656390e-01	4.0333876541e+03
1.0724359339e+07	9.9941775833e-01	4.0347080882e+03
1.0724359339e+07	9.9935835789e-01	4.0361383440e+03
1.0724359339e+07	9.9929879425e-01	4.0376636031e+03
1.0724359339e+07	9.9923872175e-01	4.0392739433e+03
1.0724359339e+07	9.9917795528e-01	4.0409610335e+03
1.0724359339e+07	9.9911655387e-01	4.0427173847e+03
1.0724359339e+07	9.9905426909e-01	4.0445375911e+03
1.0724359339e+07	9.9899091096e-01	4.0464170017e+03
1.0724359339e+07	9.9892733437e-01	4.0483486662e+03
1.0724359339e+07	9.9886353678e-01	4.0503286658e+03
1.0724359339e+07	9.9879896915e-01	4.0523551397e+03
1.0724359339e+07	9.9873272711e-01	4.0544276594e+03
1.0724359339e+07	9.9866625010e-01	4.0565392677e+03
1.0724359339e+07	9.9859931725e-01	4.0586880996e+03
1.0724359339e+07	9.9853054888e-01	4.0608757812e+03
1.0724359339e+07	9.9846045047e-01	4.0630987421e+03
1.0724359339e+07	9.9839001402e-01	4.0653519594e+03
1.0724359339e+07	9.9831932660e-01	4.0676333519e+03
1.0724359339e+07	9.9824839004e-01	4.0699409728e+03
1.0724359339e+07	9.9817720094e-01	4.0722731206e+03
1.0724359339e+07	9.9810576122e-01	4.0746279920e+03
1.0724359339e+07	9.9803406620e-01	4.0770040747e+03
1.0724359339e+07	9.9796211701e-01	4.0793997524e+03
1.0724359339e+07	9.9788990949e-01	4.0818136935e+03
1.0724359339e+07	9.9781744539e-01	4.0842445160e+03
1.0724359339e+07	9.9774472175e-01	4.0866911922e+03
1.0724359339e+07	9.9767173630e-01	4.0891529133e+03
1.0724359339e+07	9.9759848568e-01	4.0916292779e+03
1.0724359339e+07	9.9752497138e-01	4.0941201940e+03
1.0724359339e+07	9.9745118900e-01	4.0966263703e+03
