Phi_global	fO2_shift_IW_derived
1.0000000000e+00	-3.0322192172e+00
1.0000000000e+00	-3.0322192172e+00
1.0000000000e+00	-3.0322192172e+00
1.0000000000e+00	-3.0322192172e+00
1.0000000000e+00	-3.0313710987e+00
1.0000000000e+00	-3.0314502911e+00
1.0000000000e+00	-3.0315290334e+00
1.0000000000e+00	-3.0323108957e+00
1.0000000000e+00	-3.0335553906e+00
1.0000000000e+00	-3.0355297503e+00
1.0000000000e+00	-3.0386179134e+00
1.0000000000e+00	-3.0434038138e+00
1.0000000000e+00	-3.0506387837e+00
1.0000000000e+00	-3.0620616504e+00
1.0000000000e+00	-3.0677135762e+00
9.9980077632e-01	-3.0685423950e+00
9.9974381672e-01	-3.0685341311e+00
9.9968743133e-01	-3.0685250233e+00
9.9963104188e-01	-3.0685146805e+00
9.9957449455e-01	-3.0685030306e+00
9.9951746844e-01	-3.0684901400e+00
9.9946037054e-01	-3.0684761991e+00
9.9940255337e-01	-3.0684612731e+00
9.9934442587e-01	-3.0684455237e+00
9.9928550992e-01	-3.0684289930e+00
9.9922530955e-01	-3.0684117036e+00
9.9916469777e-01	-3.0683938165e+00
9.9910389243e-01	-3.0683754094e+00
9.9904260020e-01	-3.0683564945e+00
9.9898050315e-01	-3.0683370749e+00
9.9891819343e-01	-3.0683172500e+00
9.9885476413e-01	-3.0682969478e+00
9.9879030083e-01	-3.0682762039e+00
9.9872532213e-01	-3.0682550990e+00
9.9866011240e-01	-3.0682336858e+00
9.9859455479e-01	-3.0682119704e+00
9.9852682023e-01	-3.0681897670e+00
9.9845884424e-01	-3.0681673074e+00
9.9838921780e-01	-3.0681444504e+00
9.9831871817e-01	-3.0681212972e+00
9.9824796988e-01	-3.0680979315e+00
9.9817697164e-01	-3.0680743665e+00
9.9810572214e-01	-3.0680506151e+00
9.9803422008e-01	-3.0680266895e+00
9.9796246412e-01	-3.0680026012e+00
9.9789045295e-01	-3.0679783609e+00
9.9781818520e-01	-3.0679539781e+00
9.9774565956e-01	-3.0679294609e+00
9.9767287414e-01	-3.0679048150e+00
9.9759982679e-01	-3.0678800438e+00
9.9752651590e-01	-3.0678551470e+00
9.9745294030e-01	-3.0678301199e+00
9.9737909901e-01	-3.0678049525e+00
9.9730499065e-01	-3.0677796280e+00
9.9723061375e-01	-3.0677541222e+00
9.9715596702e-01	-3.0677284021e+00
9.9708104877e-01	-3.0677024255e+00
9.9700585756e-01	-3.0676761403e+00
9.9693039211e-01	-3.0676494849e+00
9.9685465015e-01	-3.0676223882e+00
9.9677863092e-01	-3.0675947705e+00
9.9670233211e-01	-3.0675665451e+00
9.9662575229e-01	-3.0675376192e+00
9.9654889036e-01	-3.0675078963e+00
9.9647174328e-01	-3.0674772774e+00
9.9639431069e-01	-3.0674456635e+00
9.9631659027e-01	-3.0674129568e+00
9.9623858016e-01	-3.0673790638e+00
9.9616027941e-01	-3.0673438970e+00
9.9608168487e-01	-3.0673073778e+00
9.9600279655e-01	-3.0672694396e+00
9.9592361084e-01	-3.0672300300e+00
9.9584412771e-01	-3.0671891142e+00
9.9576434377e-01	-3.0671466764e+00
9.9568425819e-01	-3.0671027217e+00
9.9560386876e-01	-3.0670572757e+00
9.9552317297e-01	-3.0670103840e+00
9.9544216832e-01	-3.0669621102e+00
9.9536085202e-01	-3.0669125337e+00
9.9527922075e-01	-3.0668617458e+00
9.9519727731e-01	-3.0668098478e+00
9.9511502122e-01	-3.0667569463e+00
9.9503245081e-01	-3.0667031501e+00
9.9494956437e-01	-3.0666485679e+00
9.9486636020e-01	-3.0665933062e+00
9.9478283656e-01	-3.0665374669e+00
9.9469899172e-01	-3.0664811467e+00
9.9461482396e-01	-3.0664244362e+00
9.9453033150e-01	-3.0663674191e+00
9.9444551252e-01	-3.0663101723e+00
9.9436036514e-01	-3.0662527662e+00
9.9427488750e-01	-3.0661952647e+00
9.9418907775e-01	-3.0661377253e+00
9.9410293405e-01	-3.0660800957e+00
9.9401645451e-01	-3.0660220589e+00
9.9392963722e-01	-3.0659641195e+00
9.9384248007e-01	-3.0659062232e+00
9.9375497907e-01	-3.0658473990e+00
9.9366710986e-01	-3.0657769084e+00
9.9365567943e-01	-3.0655982575e+00
9.9365212334e-01	-3.0653870903e+00
9.9364875080e-01	-3.0652964744e+00
9.9364540278e-01	-3.0652325829e+00
9.9364207390e-01	-3.0651941215e+00
9.9363875845e-01	-3.0651718775e+00
9.9363545322e-01	-3.0651580621e+00
9.9363215204e-01	-3.0651485065e+00
9.9362885382e-01	-3.0651409124e+00
9.9362555856e-01	-3.0651344964e+00
9.9362227331e-01	-3.0651286814e+00
9.9361899420e-01	-3.0651240480e+00
9.9361572491e-01	-3.0651210427e+00
9.9361247212e-01	-3.0651206057e+00
9.9360925987e-01	-3.0651250330e+00
9.9360610764e-01	-3.0651384613e+00
9.9360306438e-01	-3.0651682708e+00
9.9360023185e-01	-3.0652294479e+00
9.9359785459e-01	-3.0653580798e+00
9.9359631253e-01	-3.0656130071e+00
9.9359624805e-01	-3.0660293482e+00
9.9359752049e-01	-3.0667019378e+00
9.9346677824e-01	-3.0677956417e+00
9.9339241792e-01	-3.0678258352e+00
9.9333465311e-01	-3.0678167193e+00
9.9327707808e-01	-3.0678064052e+00
9.9321961685e-01	-3.0677946156e+00
9.9316149582e-01	-3.0677813150e+00
9.9310323502e-01	-3.0677667388e+00
9.9304446895e-01	-3.0677510307e+00
9.9298513122e-01	-3.0677343400e+00
9.9292514375e-01	-3.0677167836e+00
9.9286370996e-01	-3.0676983719e+00
9.9280174900e-01	-3.0676792881e+00
9.9273958748e-01	-3.0676596343e+00
9.9267682599e-01	-3.0676394196e+00
9.9261330518e-01	-3.0676186715e+00
9.9254948588e-01	-3.0675974806e+00
9.9248435577e-01	-3.0675757665e+00
9.9241805612e-01	-3.0675535745e+00
9.9235150675e-01	-3.0675310340e+00
9.9228471918e-01	-3.0675081695e+00
9.9221646160e-01	-3.0674848639e+00
9.9214701742e-01	-3.0674611683e+00
9.9207661030e-01	-3.0674371258e+00
9.9200451975e-01	-3.0674126721e+00
9.9193217540e-01	-3.0673879838e+00
9.9185957594e-01	-3.0673630758e+00
9.9178672008e-01	-3.0673379623e+00
9.9171360645e-01	-3.0673126570e+00
9.9164023375e-01	-3.0672871730e+00
9.9156660062e-01	-3.0672615225e+00
9.9149270568e-01	-3.0672357173e+00
9.9141854760e-01	-3.0672097680e+00
9.9134412234e-01	-3.0671836835e+00
9.9126942594e-01	-3.0671574711e+00
9.9119445647e-01	-3.0671311356e+00
9.9111921443e-01	-3.0671046793e+00
9.9104369958e-01	-3.0670780999e+00
9.9096791156e-01	-3.0670513901e+00
9.9089184751e-01	-3.0670245362e+00
9.9081550796e-01	-3.0669975171e+00
9.9073888915e-01	-3.0669703029e+00
9.9066199209e-01	-3.0669428547e+00
9.9058481243e-01	-3.0669151228e+00
9.9050735062e-01	-3.0668870476e+00
9.9042960437e-01	-3.0668585592e+00
