R_int	Phi_global	P_surf
9.6141831340e+06	1.0000000000e+00	1.0740414341e+04
9.6141831340e+06	1.0000000000e+00	1.0740627993e+04
9.6141831340e+06	1.0000000000e+00	1.0740628086e+04
9.6141831340e+06	1.0000000000e+00	1.0740628086e+04
9.6141831340e+06	1.0000000000e+00	1.0974897763e+04
9.6141831340e+06	1.0000000000e+00	1.0973410775e+04
9.6141831340e+06	1.0000000000e+00	1.0971847754e+04
9.6141831340e+06	1.0000000000e+00	1.0956233310e+04
9.6141831340e+06	1.0000000000e+00	1.0931306846e+04
9.6141831340e+06	1.0000000000e+00	1.0891578912e+04
9.6141831340e+06	1.0000000000e+00	1.0828408392e+04
9.6141831340e+06	1.0000000000e+00	1.0728335172e+04
9.6141831340e+06	1.0000000000e+00	1.0570732150e+04
9.6141831340e+06	1.0000000000e+00	1.0326699108e+04
9.6141831340e+06	1.0000000000e+00	9.9527612856e+03
9.6141831340e+06	1.0000000000e+00	9.3912848604e+03
9.6141831340e+06	1.0000000000e+00	8.5632095510e+03
9.6141831340e+06	1.0000000000e+00	7.3273351271e+03
9.6141831340e+06	1.0000000000e+00	5.7914513414e+03
9.5167872632e+06	1.0000000000e+00	4.9343216133e+03
9.5167872632e+06	1.0000000000e+00	4.5253146500e+03
9.5167872632e+06	1.0000000000e+00	4.3225548870e+03
9.5167872632e+06	1.0000000000e+00	4.1696936921e+03
9.5167872632e+06	1.0000000000e+00	3.9396253630e+03
9.4598465330e+06	1.0000000000e+00	3.6161452247e+03
9.4598465330e+06	9.9978586299e-01	3.3534881977e+03
9.4598465330e+06	9.9973127291e-01	3.3536632094e+03
9.4598465330e+06	9.9967715305e-01	3.3540317380e+03
9.4598465330e+06	9.9962173092e-01	3.3545828473e+03
9.4598465330e+06	9.9956606943e-01	3.3553147753e+03
9.4598465330e+06	9.9951028872e-01	3.3562063928e+03
9.4598465330e+06	9.9945370606e-01	3.3572342148e+03
9.4598465330e+06	9.9939687846e-01	3.3583776332e+03
9.4598465330e+06	9.9933985963e-01	3.3596205012e+03
9.4598465330e+06	9.9928235350e-01	3.3609503502e+03
9.4598465330e+06	9.9922413637e-01	3.3623573363e+03
9.4598465330e+06	9.9916570022e-01	3.3638332514e+03
9.4598465330e+06	9.9910703985e-01	3.3653715835e+03
9.4598465330e+06	9.9904792043e-01	3.3669670266e+03
9.4598465330e+06	9.9898799305e-01	3.3686151711e+03
9.4598465330e+06	9.9892722989e-01	3.3703121221e+03
9.4598465330e+06	9.9886567992e-01	3.3720544558e+03
9.4598465330e+06	9.9880388301e-01	3.3738389357e+03
9.4598465330e+06	9.9874102564e-01	3.3756632810e+03
9.4598465330e+06	9.9867786293e-01	3.3775247426e+03
9.4598465330e+06	9.9861444357e-01	3.3794211224e+03
9.4598465330e+06	9.9855076535e-01	3.3813504108e+03
9.4598465330e+06	9.9848627104e-01	3.3833110042e+03
9.4598465330e+06	9.9842073742e-01	3.3853012527e+03
9.4598465330e+06	9.9835428672e-01	3.3873194423e+03
9.4598465330e+06	9.9828756604e-01	3.3893636791e+03
9.4598465330e+06	9.9822001617e-01	3.3914326899e+03
9.4598465330e+06	9.9815179542e-01	3.3935249491e+03
9.4598465330e+06	9.9808240328e-01	3.3956392781e+03
9.4598465330e+06	9.9801160567e-01	3.3977744409e+03
9.4598465330e+06	9.9794049203e-01	3.3999286916e+03
9.4598465330e+06	9.9786909590e-01	3.4021008734e+03
9.4598465330e+06	9.9779741525e-01	3.4042900336e+03
9.4598465330e+06	9.9772544907e-01	3.4064954121e+03
9.4598465330e+06	9.9765319488e-01	3.4087165974e+03
9.4598465330e+06	9.9758065128e-01	3.4109535483e+03
9.4598465330e+06	9.9750781653e-01	3.4132067500e+03
9.4598465330e+06	9.9743468863e-01	3.4154773495e+03
9.4598465330e+06	9.9736126631e-01	3.4177672635e+03
9.4598465330e+06	9.9728754755e-01	3.4200793787e+03
9.4598465330e+06	9.9721353041e-01	3.4224176651e+03
9.4598465330e+06	9.9713921326e-01	3.4247872816e+03
9.4598465330e+06	9.9706459448e-01	3.4271946768e+03
9.4598465330e+06	9.9698967145e-01	3.4296476554e+03
9.4598465330e+06	9.9691444296e-01	3.4321552705e+03
9.4598465330e+06	9.9683890618e-01	3.4347278426e+03
9.4598465330e+06	9.9676306008e-01	3.4373766939e+03
9.4598465330e+06	9.9668690176e-01	3.4401140685e+03
9.4598465330e+06	9.9661042897e-01	3.4429527791e+03
9.4598465330e+06	9.9653364050e-01	3.4459059384e+03
9.4598465330e+06	9.9645653359e-01	3.4489867010e+03
9.4598465330e+06	9.9637910598e-01	3.4522078085e+03
9.4598465330e+06	9.9630135652e-01	3.4555812410e+03
9.4598465330e+06	9.9622328264e-01	3.4591178316e+03
9.4598465330e+06	9.9614488207e-01	3.4628267886e+03
9.4598465330e+06	9.9606615286e-01	3.4667152995e+03
9.4598465330e+06	9.9598709298e-01	3.4707881132e+03
9.4598465330e+06	9.9590770080e-01	3.4750472897e+03
9.4598465330e+06	9.9582797424e-01	3.4794920616e+03
9.4598465330e+06	9.9574791037e-01	3.4841188203e+03
9.4598465330e+06	9.9566750833e-01	3.4889212064e+03
9.4598465330e+06	9.9558676511e-01	3.4938905605e+03
9.4598465330e+06	9.9550567941e-01	3.4990161916e+03
9.4598465330e+06	9.9542424871e-01	3.5042859918e+03
9.4598465330e+06	9.9534247098e-01	3.5096868672e+03
9.4598465330e+06	9.9526034346e-01	3.5152052642e+03
9.4598465330e+06	9.9517786495e-01	3.5208275039e+03
9.4598465330e+06	9.9509503257e-01	3.5265402852e+03
9.4598465330e+06	9.9501184415e-01	3.5323308673e+03
9.4598465330e+06	9.9492829740e-01	3.5381872905e+03
9.4598465330e+06	9.9484438988e-01	3.5440985006e+03
9.4598465330e+06	9.9476011914e-01	3.5500544089e+03
9.4598465330e+06	9.9467548266e-01	3.5560459012e+03
9.4598465330e+06	9.9459047778e-01	3.5620648088e+03
9.4598465330e+06	9.9450510181e-01	3.5681038513e+03
9.4598465330e+06	9.9441935167e-01	3.5741565771e+03
9.4598465330e+06	9.9433322478e-01	3.5802172242e+03
9.4598465330e+06	9.9424671752e-01	3.5862807192e+03
9.4598465330e+06	9.9415982690e-01	3.5923425583e+03
9.4598465330e+06	9.9407255263e-01	3.5983987986e+03
9.4598465330e+06	9.9398489250e-01	3.6044471640e+03
9.4598465330e+06	9.9389684394e-01	3.6104989783e+03
9.4598465330e+06	9.9380840340e-01	3.6167100822e+03
9.4598465330e+06	9.9371954583e-01	3.6247886909e+03
9.4598465330e+06	9.9371250014e-01	3.6330777021e+03
9.4598465330e+06	9.9370773463e-01	3.6394857831e+03
9.4598465330e+06	9.9370295545e-01	3.6486609936e+03
9.4598465330e+06	9.9369817327e-01	3.6604728825e+03
9.4598465330e+06	9.9369341150e-01	3.6732690044e+03
9.4598465330e+06	9.9368867356e-01	3.6829542495e+03
9.4598465330e+06	9.9368395640e-01	3.6886938503e+03
9.4598465330e+06	9.9367925337e-01	3.6918191401e+03
9.4598465330e+06	9.9367456848e-01	3.6937579360e+03
9.4598465330e+06	9.9366988717e-01	3.6951245296e+03
9.4598465330e+06	9.9366520812e-01	3.6962402303e+03
9.4598465330e+06	9.9366053950e-01	3.6972539778e+03
9.4598465330e+06	9.9365587946e-01	3.6981978395e+03
9.4598465330e+06	9.9365122125e-01	3.6990616968e+03
9.4598465330e+06	9.9364656956e-01	3.6998569767e+03
9.4598465330e+06	9.9364193460e-01	3.7005743010e+03
9.4598465330e+06	9.9363730964e-01	3.7010859757e+03
9.4598465330e+06	9.9363270617e-01	3.7012112830e+03
9.4598465330e+06	9.9362815983e-01	3.7004813800e+03
9.4598465330e+06	9.9362370702e-01	3.6979018150e+03
9.4598465330e+06	9.9362025208e-01	3.6930917823e+03
9.4598465330e+06	9.9361757155e-01	3.6849243565e+03
9.4598465330e+06	9.9361533468e-01	3.6714963043e+03
9.4598465330e+06	9.9361350423e-01	3.6497558484e+03
9.4598465330e+06	9.9361211886e-01	3.6148286291e+03
9.4598465330e+06	9.9361174397e-01	3.5592218142e+03
9.4598465330e+06	9.9361277385e-01	3.4713241804e+03
9.4598465330e+06	9.9339103397e-01	3.3565046128e+03
9.4598465330e+06	9.9333498717e-01	3.3567980294e+03
9.4598465330e+06	9.9327883746e-01	3.3572989276e+03
9.4598465330e+06	9.9322147144e-01	3.3580107649e+03
9.4598465330e+06	9.9316399678e-01	3.3589166055e+03
9.4598465330e+06	9.9310598806e-01	3.3599867705e+03
9.4598465330e+06	9.9304741172e-01	3.3611937892e+03
9.4598465330e+06	9.9298863314e-01	3.3625158347e+03
9.4598465330e+06	9.9292951300e-01	3.3639364685e+03
9.4598465330e+06	9.9286947041e-01	3.3654433155e+03
9.4598465330e+06	9.9280919715e-01	3.3670261643e+03
9.4598465330e+06	9.9274868814e-01	3.3686771248e+03
9.4598465330e+06	9.9268768868e-01	3.3703898829e+03
9.4598465330e+06	9.9262584751e-01	3.3721592607e+03
9.4598465330e+06	9.9256300085e-01	3.3739808198e+03
9.4598465330e+06	9.9249945625e-01	3.3758505453e+03
9.4598465330e+06	9.9243549859e-01	3.3777649420e+03
9.4598465330e+06	9.9237053059e-01	3.3797213183e+03
9.4598465330e+06	9.9230529796e-01	3.3817166824e+03
9.4598465330e+06	9.9223979853e-01	3.3837486422e+03
9.4598465330e+06	9.9217397273e-01	3.3858150555e+03
9.4598465330e+06	9.9210698495e-01	3.3879142947e+03
9.4598465330e+06	9.9203869920e-01	3.3900445476e+03
9.4598465330e+06	9.9197003051e-01	3.3922036076e+03
9.4598465330e+06	9.9190085576e-01	3.3943898501e+03
9.4598465330e+06	9.9183062624e-01	3.3966019129e+03
9.4598465330e+06	9.9175947513e-01	3.3988381988e+03
9.4598465330e+06	9.9168679846e-01	3.4010974946e+03
9.4598465330e+06	9.9161355416e-01	3.4033779269e+03
9.4598465330e+06	9.9154001966e-01	3.4056780100e+03
9.4598465330e+06	9.9146619265e-01	3.4079965215e+03
9.4598465330e+06	9.9139207201e-01	3.4103323437e+03
9.4598465330e+06	9.9131765543e-01	3.4126845924e+03
9.4598465330e+06	9.9124294142e-01	3.4150526243e+03
9.4598465330e+06	9.9116792797e-01	3.4174361721e+03
9.4598465330e+06	9.9109261356e-01	3.4198354249e+03
9.4598465330e+06	9.9101699636e-01	3.4222511821e+03
9.4598465330e+06	9.9094107453e-01	3.4246849889e+03
9.4598465330e+06	9.9086484627e-01	3.4271393029e+03
9.4598465330e+06	9.9078830986e-01	3.4296176299e+03
9.4598465330e+06	9.9071146253e-01	3.4321247149e+03
9.4598465330e+06	9.9063430299e-01	3.4346665663e+03
9.4598465330e+06	9.9055682826e-01	3.4372506203e+03
9.4598465330e+06	9.9047903711e-01	3.4398856395e+03
9.4598465330e+06	9.9040092684e-01	3.4425817602e+03
9.4598465330e+06	9.9032249470e-01	3.4453502871e+03
9.4598465330e+06	9.9024373681e-01	3.4482035303e+03
9.4598465330e+06	9.9016465330e-01	3.4511544817e+03
9.4598465330e+06	9.9008523953e-01	3.4542166051e+03
9.4598465330e+06	9.9000549475e-01	3.4574033664e+03
9.4598465330e+06	9.8992541698e-01	3.4607278903e+03
9.4598465330e+06	9.8984500248e-01	3.4642025821e+03
9.4598465330e+06	9.8976425135e-01	3.4678385349e+03
9.4598465330e+06	9.8968315962e-01	3.4716452216e+03
9.4598465330e+06	9.8960172643e-01	3.4756299591e+03
9.4598465330e+06	9.8951994893e-01	3.4797975609e+03
9.4598465330e+06	9.8943782539e-01	3.4841500152e+03
9.4598465330e+06	9.8935535481e-01	3.4886863613e+03
9.4598465330e+06	9.8927253397e-01	3.4934027444e+03
9.4598465330e+06	9.8918936165e-01	3.4982925853e+03
9.4598465330e+06	9.8910583541e-01	3.5033468405e+03
9.4598465330e+06	9.8902195345e-01	3.5085546052e+03
9.4598465330e+06	9.8893771370e-01	3.5139034690e+03
9.4598465330e+06	9.8885311372e-01	3.5193801731e+03
9.4598465330e+06	9.8876815162e-01	3.5249710354e+03
9.4598465330e+06	9.8868282459e-01	3.5306624307e+03
9.4598465330e+06	9.8859713054e-01	3.5364410535e+03
9.4598465330e+06	9.8851106698e-01	3.5422943362e+03
9.4598465330e+06	9.8842463130e-01	3.5482105412e+03
9.4598465330e+06	9.8833782038e-01	3.5541788973e+03
9.4598465330e+06	9.8825063143e-01	3.5601896566e+03
9.4598465330e+06	9.8816306171e-01	3.5662340527e+03
9.4598465330e+06	9.8807510792e-01	3.5723042843e+03
9.4598465330e+06	9.8798676584e-01	3.5783934960e+03
9.4598465330e+06	9.8789803184e-01	3.5844955842e+03
9.4598465330e+06	9.8780890277e-01	3.5906052169e+03
9.4598465330e+06	9.8771937979e-01	3.5967176871e+03
9.4598465330e+06	9.8762946169e-01	3.6028288034e+03
9.4598465330e+06	9.8753914543e-01	3.6089349018e+03
9.4598465330e+06	9.8744843103e-01	3.6150328171e+03
9.4598465330e+06	9.8735731237e-01	3.6211216243e+03
9.4598465330e+06	9.8726578972e-01	3.6272208619e+03
9.4598465330e+06	9.8717385145e-01	3.6335698617e+03
9.4598465330e+06	9.8709514956e-01	3.6427500099e+03
9.4598465330e+06	9.8709005157e-01	3.6489184781e+03
9.4598465330e+06	9.8708499464e-01	3.6554035492e+03
9.4598465330e+06	9.8707991289e-01	3.6646196914e+03
9.4598465330e+06	9.8707483036e-01	3.6762247688e+03
9.4598465330e+06	9.8706978139e-01	3.6884354182e+03
9.4598465330e+06	9.8706477721e-01	3.6974361225e+03
9.4598465330e+06	9.8705981078e-01	3.7027254983e+03
9.4598465330e+06	9.8705486841e-01	3.7056522136e+03
9.4598465330e+06	9.8704994524e-01	3.7075236065e+03
9.4598465330e+06	9.8704502884e-01	3.7088838324e+03
9.4598465330e+06	9.8704011691e-01	3.7100123166e+03
9.4598465330e+06	9.8703521517e-01	3.7110502828e+03
9.4598465330e+06	9.8703032149e-01	3.7120177584e+03
9.4598465330e+06	9.8702543243e-01	3.7129053052e+03
9.4598465330e+06	9.8702055301e-01	3.7137257845e+03
