Time	R_int	R_core	R_solvus	T_surf	T_magma	T_cmb	gravity	Phi_global	RF_depth	M_mantle_solid	M_mantle_liquid	R_obs	P_surf	fO2_shift_IW_derived
0.0000000000e+00	9.6248616048e+06	4.5388143354e+06	0.0000000000e+00	3.7656260986e+03	4.2632356094e+03	8.0475348645e+03	1.2839039247e+01	1.0000000000e+00	5.2842809365e-01	2.4424271325e+23	1.1763144097e+25	1.0154598498e+07	9.7214206542e+03	4.0000000000e+00
0.0000000000e+00	9.6248616048e+06	4.5388143354e+06	0.0000000000e+00	3.7683102275e+03	4.2632356094e+03	8.0475348645e+03	1.2839039247e+01	1.0000000000e+00	5.2842809365e-01	2.4424271325e+23	1.1763144097e+25	1.0131779028e+07	9.7214605670e+03	4.0000000000e+00
0.0000000000e+00	9.6248616048e+06	4.5388143354e+06	0.0000000000e+00	3.7697814874e+03	4.2632356094e+03	8.0475348645e+03	1.2839039247e+01	1.0000000000e+00	5.2842809365e-01	2.4424271325e+23	1.1763144097e+25	1.0112664164e+07	9.7214605703e+03	4.0000000000e+00
1.0000000000e+00	9.6248616048e+06	4.5388143354e+06	0.0000000000e+00	3.7703959913e+03	4.2632356094e+03	8.0475348645e+03	1.2839039247e+01	1.0000000000e+00	5.2842809365e-01	2.4424271325e+23	1.1763144097e+25	1.0102440991e+07	9.7214605703e+03	4.0000000000e+00
2.0000000000e+00	9.6248616048e+06	4.5388143354e+06	0.0000000000e+00	3.7753073809e+03	4.2708633852e+03	8.0358072636e+03	1.2839039247e+01	1.0000000000e+00	5.2842809365e-01	2.4558667790e+23	1.1761800132e+25	1.0083898274e+07	9.9509732872e+03	4.0000000000e+00
1.2000000000e+01	9.6248616048e+06	4.5388143354e+06	0.0000000000e+00	3.7754659839e+03	4.2705535401e+03	8.0352861963e+03	1.2839039247e+01	1.0000000000e+00	5.2842809365e-01	2.4528018929e+23	1.1762106621e+25	1.0082674013e+07	9.9415767630e+03	4.0000000000e+00
2.2000000000e+01	9.6248616048e+06	4.5388143354e+06	0.0000000000e+00	3.7753466347e+03	4.2702419681e+03	8.0347694192e+03	1.2839039247e+01	1.0000000000e+00	5.2842809365e-01	2.4497488125e+23	1.1762411929e+25	1.0082016743e+07	9.9321202850e+03	4.0000000000e+00
1.2200022000e+02	9.6248616048e+06	4.5388143354e+06	0.0000000000e+00	3.7734983580e+03	4.2671310968e+03	8.0296126685e+03	1.2839039247e+01	1.0000000000e+00	5.2842809365e-01	2.4192787391e+23	1.1765458936e+25	1.0081055666e+07	9.8381222009e+03	4.0000000000e+00
2.8200057200e+02	9.6248616048e+06	4.5388143354e+06	0.0000000000e+00	3.7704285779e+03	4.2621788756e+03	8.0214034529e+03	1.2839039247e+01	1.0000000000e+00	5.2842809365e-01	2.3707725499e+23	1.1770309555e+25	1.0080370514e+07	9.6900260561e+03	4.0000000000e+00
5.3800113520e+02	9.6248616048e+06	4.5388143354e+06	0.0000000000e+00	3.7656437576e+03	4.2542810293e+03	8.0083103910e+03	1.2839039247e+01	1.0000000000e+00	5.2842809365e-01	2.2933344993e+23	1.1778053360e+25	1.0079541718e+07	9.4577276750e+03	4.0000000000e+00
