R_int	Phi_global	P_surf
1.2690008159e+07	1.0000000000e+00	3.5351704128e+04
1.2690008159e+07	1.0000000000e+00	3.5333939043e+04
1.2690008159e+07	1.0000000000e+00	3.5333913160e+04
1.2690008159e+07	1.0000000000e+00	3.5333913123e+04
1.2690008159e+07	1.0000000000e+00	3.5748660425e+04
1.2690008159e+07	1.0000000000e+00	3.5745816542e+04
1.2690008159e+07	1.0000000000e+00	3.5745775648e+04
1.2690008159e+07	1.0000000000e+00	3.5745407218e+04
1.2690008159e+07	1.0000000000e+00	3.5744819875e+04
1.2690008159e+07	1.0000000000e+00	3.5743880166e+04
1.2690008159e+07	1.0000000000e+00	3.5742376736e+04
1.2690008159e+07	1.0000000000e+00	3.5739971512e+04
1.2690008159e+07	1.0000000000e+00	3.5736123833e+04
1.2690008159e+07	1.0000000000e+00	3.5729969281e+04
1.2690008159e+07	1.0000000000e+00	3.5720126439e+04
1.2690008159e+07	1.0000000000e+00	3.5704389180e+04
1.2690008159e+07	1.0000000000e+00	3.5679238755e+04
1.2690008159e+07	1.0000000000e+00	3.5639072516e+04
1.2690008159e+07	1.0000000000e+00	3.5574996862e+04
1.2690008159e+07	1.0000000000e+00	3.5472962464e+04
1.2690008159e+07	1.0000000000e+00	3.5310946481e+04
1.2690008159e+07	1.0000000000e+00	3.5054886022e+04
1.2690008159e+07	1.0000000000e+00	3.4653287427e+04
1.2690008159e+07	1.0000000000e+00	3.4038727230e+04
1.2690008159e+07	1.0000000000e+00	3.3122998499e+04
1.2690008159e+07	1.0000000000e+00	3.1827040833e+04
1.2690008159e+07	1.0000000000e+00	3.0102068412e+04
1.2465262803e+07	1.0000000000e+00	2.8135452966e+04
1.2420807817e+07	1.0000000000e+00	2.6829191128e+04
1.2420807817e+07	1.0000000000e+00	2.5475984697e+04
1.2420807817e+07	9.9984455524e-01	2.5165483586e+04
1.2420807817e+07	9.9978112831e-01	2.5170209053e+04
1.2420807817e+07	9.9971822774e-01	2.5172928142e+04
1.2420807817e+07	9.9965525797e-01	2.5175802014e+04
1.2420807817e+07	9.9959223197e-01	2.5178864301e+04
1.2420807817e+07	9.9952924311e-01	2.5182117748e+04
1.2420807817e+07	9.9946623165e-01	2.5185554959e+04
1.2420807817e+07	9.9940316961e-01	2.5189160700e+04
1.2420807817e+07	9.9934002871e-01	2.5192919094e+04
1.2420807817e+07	9.9927678074e-01	2.5196815809e+04
1.2420807817e+07	9.9921343162e-01	2.5200836496e+04
1.2420807817e+07	9.9914996012e-01	2.5204970496e+04
1.2420807817e+07	9.9908620269e-01	2.5209214570e+04
1.2420807817e+07	9.9902152361e-01	2.5213585959e+04
1.2420807817e+07	9.9895667514e-01	2.5218046706e+04
1.2420807817e+07	9.9889167258e-01	2.5222589100e+04
1.2420807817e+07	9.9882650101e-01	2.5227208297e+04
1.2420807817e+07	9.9876114803e-01	2.5231899965e+04
1.2420807817e+07	9.9869563596e-01	2.5236657795e+04
1.2420807817e+07	9.9862995037e-01	2.5241478568e+04
1.2420807817e+07	9.9856408460e-01	2.5246358879e+04
1.2420807817e+07	9.9849803561e-01	2.5251295363e+04
1.2420807817e+07	9.9843180087e-01	2.5256284876e+04
1.2420807817e+07	9.9836537344e-01	2.5261324778e+04
1.2420807817e+07	9.9829873568e-01	2.5266413463e+04
1.2420807817e+07	9.9823097594e-01	2.5271584835e+04
1.2420807817e+07	9.9816286021e-01	2.5276805012e+04
1.2420807817e+07	9.9809454744e-01	2.5282064836e+04
1.2420807817e+07	9.9802603923e-01	2.5287361750e+04
1.2420807817e+07	9.9795729698e-01	2.5292696462e+04
1.2420807817e+07	9.9788836324e-01	2.5298063534e+04
1.2420807817e+07	9.9781921757e-01	2.5303462678e+04
1.2420807817e+07	9.9774984587e-01	2.5308893422e+04
1.2420807817e+07	9.9768029177e-01	2.5314351162e+04
1.2420807817e+07	9.9760989203e-01	2.5319864288e+04
1.2420807817e+07	9.9753854701e-01	2.5325435874e+04
1.2420807817e+07	9.9746648064e-01	2.5331058860e+04
1.2420807817e+07	9.9739346978e-01	2.5336742919e+04
1.2420807817e+07	9.9732021781e-01	2.5342463755e+04
1.2420807817e+07	9.9724674504e-01	2.5348224216e+04
1.2420807817e+07	9.9717305073e-01	2.5354030328e+04
1.2420807817e+07	9.9709913550e-01	2.5359889681e+04
1.2420807817e+07	9.9702497915e-01	2.5365813164e+04
1.2420807817e+07	9.9695064629e-01	2.5371806447e+04
1.2420807817e+07	9.9687608975e-01	2.5377885722e+04
1.2420807817e+07	9.9680129900e-01	2.5384065612e+04
1.2420807817e+07	9.9672624161e-01	2.5390363803e+04
1.2420807817e+07	9.9665098022e-01	2.5396790874e+04
1.2420807817e+07	9.9657549652e-01	2.5403364830e+04
1.2420807817e+07	9.9649979597e-01	2.5410102046e+04
1.2420807817e+07	9.9642384091e-01	2.5417023041e+04
1.2420807817e+07	9.9634766191e-01	2.5424142147e+04
1.2420807817e+07	9.9627126095e-01	2.5431475946e+04
1.2420807817e+07	9.9619462359e-01	2.5439042052e+04
1.2420807817e+07	9.9611774536e-01	2.5446856286e+04
1.2420807817e+07	9.9604065520e-01	2.5454929608e+04
1.2420807817e+07	9.9596332828e-01	2.5463276728e+04
1.2420807817e+07	9.9588572672e-01	2.5471911784e+04
1.2420807817e+07	9.9580792297e-01	2.5480833721e+04
1.2420807817e+07	9.9572987925e-01	2.5490098059e+04
1.2420807817e+07	9.9565159464e-01	2.5499699042e+04
1.2420807817e+07	9.9557304577e-01	2.5509599284e+04
1.2420807817e+07	9.9549427611e-01	2.5519786845e+04
1.2420807817e+07	9.9541526243e-01	2.5530254700e+04
1.2420807817e+07	9.9533599422e-01	2.5540991392e+04
1.2420807817e+07	9.9525645548e-01	2.5551983897e+04
1.2420807817e+07	9.9517668500e-01	2.5563209581e+04
1.2420807817e+07	9.9509666331e-01	2.5574652512e+04
1.2420807817e+07	9.9501641291e-01	2.5586289850e+04
1.2420807817e+07	9.9493588721e-01	2.5598108466e+04
1.2420807817e+07	9.9485511917e-01	2.5610083554e+04
1.2420807817e+07	9.9477409884e-01	2.5622196973e+04
1.2420807817e+07	9.9469283950e-01	2.5634427657e+04
1.2420807817e+07	9.9461131050e-01	2.5646761994e+04
1.2420807817e+07	9.9452952643e-01	2.5659180402e+04
1.2420807817e+07	9.9444748660e-01	2.5671666626e+04
1.2420807817e+07	9.9436520048e-01	2.5684203866e+04
1.2420807817e+07	9.9428264716e-01	2.5696781008e+04
1.2420807817e+07	9.9419982755e-01	2.5709384600e+04
1.2420807817e+07	9.9411674265e-01	2.5722002324e+04
1.2420807817e+07	9.9403340064e-01	2.5734623619e+04
1.2420807817e+07	9.9394980487e-01	2.5747260548e+04
1.2420807817e+07	9.9386594169e-01	2.5760157501e+04
1.2420807817e+07	9.9378178957e-01	2.5776027828e+04
1.2420807817e+07	9.9378074233e-01	2.5817349714e+04
1.2420807817e+07	9.9377852521e-01	2.5860236460e+04
1.2420807817e+07	9.9377645939e-01	2.5875053564e+04
