Index	 Radius (earth)	 P (GPa)	 M (earth)	 Density (g cm^-3)	 T (K)	 Phase
0	 0	 4799.7584	 0	 30.139741	 1186.1061	 Fe hcp (Smith)
129	 0.00018245545	 4799.7583	 3.331488e-11	 30.139741	 1186.1061	 Fe hcp (Smith)
164	 0.00036613821	 4799.7577	 2.6921727e-10	 30.13974	 1186.1061	 Fe hcp (Smith)
185	 0.00055608091	 4799.7568	 9.4315201e-10	 30.139738	 1186.106	 Fe hcp (Smith)
200	 0.00074950718	 4799.7555	 2.3093784e-09	 30.139735	 1186.106	 Fe hcp (Smith)
211	 0.00093291812	 4799.7539	 4.4534672e-09	 30.139731	 1186.1059	 Fe hcp (Smith)
220	 0.0011159024	 4799.752	 7.6216022e-09	 30.139727	 1186.1058	 Fe hcp (Smith)
228	 0.0013084779	 4799.7496	 1.2287591e-08	 30.139722	 1186.1057	 Fe hcp (Smith)
235	 0.0015040561	 4799.7467	 1.8662061e-08	 30.139715	 1186.1055	 Fe hcp (Smith)
241	 0.0016948027	 4799.7436	 2.670084e-08	 30.139708	 1186.1053	 Fe hcp (Smith)
247	 0.0019097401	 4799.7396	 3.8202363e-08	 30.139699	 1186.1051	 Fe hcp (Smith)
252	 0.0021095357	 4799.7354	 5.1490601e-08	 30.13969	 1186.1049	 Fe hcp (Smith)
257	 0.0023302337	 4799.7304	 6.9400993e-08	 30.139679	 1186.1046	 Fe hcp (Smith)
261	 0.002523304	 4799.7255	 8.8120275e-08	 30.139668	 1186.1044	 Fe hcp (Smith)
265	 0.0027323709	 4799.7199	 1.1188864e-07	 30.139655	 1186.1041	 Fe hcp (Smith)
269	 0.00295876	 4799.7132	 1.4206795e-07	 30.13964	 1186.1037	 Fe hcp (Smith)
272	 0.0031407785	 4799.7075	 1.6993338e-07	 30.139628	 1186.1034	 Fe hcp (Smith)
275	 0.0033339945	 4799.701	 2.0326438e-07	 30.139613	 1186.103	 Fe hcp (Smith)
278	 0.0035390968	 4799.6937	 2.4313295e-07	 30.139597	 1186.1026	 Fe hcp (Smith)
281	 0.0037568167	 4799.6855	 2.908214e-07	 30.139579	 1186.1022	 Fe hcp (Smith)
