Index	 Radius (earth)	 P (GPa)	 M (earth)	 Density (g cm^-3)	 T (K)	 Phase
0	 0	 11547.482	 0	 41.999343	 1570.558	 Fe hcp (Smith)
142	 0.00021158032	 11547.481	 7.2392997e-11	 41.999343	 1570.558	 Fe hcp (Smith)
177	 0.00042458388	 11547.48	 5.8500721e-10	 41.999341	 1570.5579	 Fe hcp (Smith)
198	 0.00064484663	 11547.477	 2.0494626e-09	 41.999337	 1570.5579	 Fe hcp (Smith)
213	 0.00086914902	 11547.474	 5.0182627e-09	 41.999332	 1570.5578	 Fe hcp (Smith)
224	 0.0010818373	 11547.47	 9.6773521e-09	 41.999326	 1570.5577	 Fe hcp (Smith)
233	 0.0012940309	 11547.465	 1.6561686e-08	 41.999319	 1570.5576	 Fe hcp (Smith)
241	 0.0015173467	 11547.458	 2.6700845e-08	 41.99931	 1570.5574	 Fe hcp (Smith)
248	 0.0017441445	 11547.451	 4.0552522e-08	 41.999299	 1570.5572	 Fe hcp (Smith)
254	 0.0019653396	 11547.443	 5.8020728e-08	 41.999287	 1570.557	 Fe hcp (Smith)
260	 0.0022145869	 11547.432	 8.3013449e-08	 41.999271	 1570.5568	 Fe hcp (Smith)
265	 0.0024462753	 11547.422	 1.1188869e-07	 41.999256	 1570.5565	 Fe hcp (Smith)
270	 0.0027022028	 11547.408	 1.5080782e-07	 41.999236	 1570.5562	 Fe hcp (Smith)
274	 0.0029260923	 11547.396	 1.9148467e-07	 41.999218	 1570.5559	 Fe hcp (Smith)
278	 0.0031685321	 11547.381	 2.4313313e-07	 41.999196	 1570.5555	 Fe hcp (Smith)
282	 0.003431059	 11547.364	 3.0871252e-07	 41.999171	 1570.5551	 Fe hcp (Smith)
285	 0.0036421326	 11547.349	 3.6926386e-07	 41.999149	 1570.5547	 Fe hcp (Smith)
288	 0.0038661911	 11547.332	 4.4169181e-07	 41.999125	 1570.5543	 Fe hcp (Smith)
291	 0.0041040334	 11547.313	 5.2832587e-07	 41.999097	 1570.5538	 Fe hcp (Smith)
294	 0.0043565074	 11547.291	 6.3195242e-07	 41.999066	 1570.5533	 Fe hcp (Smith)
297	 0.0046245132	 11547.267	 7.5590438e-07	 41.99903	 1570.5527	 Fe hcp (Smith)
300	 0.0049090063	 11547.24	 9.0416839e-07	 41.998991	 1570.552	 Fe hcp (Smith)
303	 0.005211001	 11547.209	 1.081513e-06	 41.998946	 1570.5513	 Fe hcp (Smith)
305	 0.005422583	 11547.187	 1.2186716e-06	 41.998913	 1570.5507	 Fe hcp (Smith)
307	 0.0056427557	 11547.162	 1.3732247e-06	 41.998878	 1570.5501	 Fe hcp (Smith)
309	 0.0058718682	 11547.136	 1.5473783e-06	 41.998839	 1570.5494	 Fe hcp (Smith)
311	 0.0061102833	 11547.107	 1.7436182e-06	 41.998797	 1570.5487	 Fe hcp (Smith)
313	 0.0063583787	 11547.076	 1.9647453e-06	 41.998752	 1570.548	 Fe hcp (Smith)
315	 0.0066165476	 11547.042	 2.2139158e-06	 41.998703	 1570.5471	 Fe hcp (Smith)
317	 0.0068851989	 11547.006	 2.4946861e-06	 41.99865	 1570.5462	 Fe hcp (Smith)
319	 0.0071647583	 11546.967	 2.8110638e-06	 41.998593	 1570.5453	 Fe hcp (Smith)
321	 0.0074556685	 11546.924	 3.1675645e-06	 41.99853	 1570.5442	 Fe hcp (Smith)
323	 0.0077583907	 11546.878	 3.5692766e-06	 41.998463	 1570.5431	 Fe hcp (Smith)
325	 0.0080734042	 11546.828	 4.0219337e-06	 41.99839	 1570.5418	 Fe hcp (Smith)
327	 0.0084012082	 11546.774	 4.5319967e-06	 41.998311	 1570.5405	 Fe hcp (Smith)
329	 0.0087423221	 11546.715	 5.1067455e-06	 41.998226	 1570.5391	 Fe hcp (Smith)
331	 0.0090972862	 11546.652	 5.7543835e-06	 41.998133	 1570.5375	 Fe hcp (Smith)
333	 0.0094666629	 11546.583	 6.4841544e-06	 41.998033	 1570.5358	 Fe hcp (Smith)
335	 0.0098510375	 11546.508	 7.3064741e-06	 41.997924	 1570.5339	 Fe hcp (Smith)
337	 0.010251019	 11546.428	 8.2330793e-06	 41.997806	 1570.532	 Fe hcp (Smith)
339	 0.010667241	 11546.34	 9.277195e-06	 41.997679	 1570.5298	 Fe hcp (Smith)
340	 0.010881647	 11546.294	 9.8479052e-06	 41.997612	 1570.5287	 Fe hcp (Smith)
341	 0.011100362	 11546.246	 1.0453724e-05	 41.997541	 1570.5275	 Fe hcp (Smith)
342	 0.011323474	 11546.196	 1.109681e-05	 41.997468	 1570.5262	 Fe hcp (Smith)
343	 0.01155107	 11546.143	 1.1779457e-05	 41.997392	 1570.5249	 Fe hcp (Smith)
344	 0.011783241	 11546.089	 1.2504099e-05	 41.997313	 1570.5236	 Fe hcp (Smith)
345	 0.012020078	 11546.032	 1.3273317e-05	 41.99723	 1570.5222	 Fe hcp (Smith)
346	 0.012261675	 11545.974	 1.4089856e-05	 41.997145	 1570.5207	 Fe hcp (Smith)
347	 0.012508129	 11545.912	 1.4956625e-05	 41.997055	 1570.5192	 Fe hcp (Smith)
348	 0.012759536	 11545.849	 1.5876714e-05	 41.996962	 1570.5177	 Fe hcp (Smith)
349	 0.013015996	 11545.782	 1.6853404e-05	 41.996866	 1570.516	 Fe hcp (Smith)
350	 0.013277611	 11545.713	 1.7890176e-05	 41.996765	 1570.5143	 Fe hcp (Smith)
351	 0.013544485	 11545.642	 1.8990726e-05	 41.99666	 1570.5125	 Fe hcp (Smith)
352	 0.013816722	 11545.567	 2.0158978e-05	 41.996551	 1570.5107	 Fe hcp (Smith)
353	 0.014094432	 11545.489	 2.1399095e-05	 41.996438	 1570.5088	 Fe hcp (Smith)
354	 0.014377723	 11545.408	 2.27155e-05	 41.99632	 1570.5068	 Fe hcp (Smith)
355	 0.014666708	 11545.324	 2.4112884e-05	 41.996197	 1570.5047	 Fe hcp (Smith)
356	 0.014961502	 11545.237	 2.5596228e-05	 41.99607	 1570.5025	 Fe hcp (Smith)
357	 0.015262221	 11545.145	 2.7170822e-05	 41.995937	 1570.5003	 Fe hcp (Smith)
358	 0.015568984	 11545.051	 2.8842277e-05	 41.995798	 1570.4979	 Fe hcp (Smith)
359	 0.015881913	 11544.952	 3.0616552e-05	 41.995655	 1570.4955	 Fe hcp (Smith)
360	 0.016201132	 11544.849	 3.2499971e-05	 41.995505	 1570.493	 Fe hcp (Smith)
361	 0.016526767	 11544.742	 3.4499249e-05	 41.995349	 1570.4903	 Fe hcp (Smith)
362	 0.016858947	 11544.631	 3.6621512e-05	 41.995187	 1570.4876	 Fe hcp (Smith)
363	 0.017197804	 11544.515	 3.8874325e-05	 41.995018	 1570.4847	 Fe hcp (Smith)
364	 0.017543471	 11544.395	 4.1265718e-05	 41.994842	 1570.4817	 Fe hcp (Smith)
365	 0.017896087	 11544.27	 4.3804217e-05	 41.99466	 1570.4787	 Fe hcp (Smith)
366	 0.01825579	 11544.139	 4.6498868e-05	 41.994469	 1570.4754	 Fe hcp (Smith)
367	 0.018622723	 11544.003	 4.9359279e-05	 41.994272	 1570.4721	 Fe hcp (Smith)
368	 0.018997031	 11543.862	 5.2395644e-05	 41.994066	 1570.4686	 Fe hcp (Smith)
369	 0.019378863	 11543.715	 5.5618787e-05	 41.993851	 1570.465	 Fe hcp (Smith)
370	 0.019768369	 11543.562	 5.9040196e-05	 41.993628	 1570.4612	 Fe hcp (Smith)
371	 0.020165704	 11543.403	 6.2672067e-05	 41.993396	 1570.4573	 Fe hcp (Smith)
372	 0.020571026	 11543.238	 6.6527344e-05	 41.993155	 1570.4532	 Fe hcp (Smith)
373	 0.020984494	 11543.065	 7.0619771e-05	 41.992904	 1570.4489	 Fe hcp (Smith)
374	 0.021406273	 11542.886	 7.4963932e-05	 41.992642	 1570.4445	 Fe hcp (Smith)
375	 0.02183653	 11542.7	 7.9575313e-05	 41.99237	 1570.4399	 Fe hcp (Smith)
376	 0.022275435	 11542.505	 8.4470348e-05	 41.992087	 1570.4351	 Fe hcp (Smith)
377	 0.022723161	 11542.303	 8.9666486e-05	 41.991792	 1570.4301	 Fe hcp (Smith)
378	 0.023179887	 11542.093	 9.5182246e-05	 41.991486	 1570.4249	 Fe hcp (Smith)
379	 0.023645793	 11541.874	 0.00010103729	 41.991167	 1570.4195	 Fe hcp (Smith)
380	 0.024121064	 11541.647	 0.00010725247	 41.990835	 1570.4139	 Fe hcp (Smith)
381	 0.024605887	 11541.41	 0.00011384996	 41.990489	 1570.408	 Fe hcp (Smith)
382	 0.025100456	 11541.163	 0.00012085326	 41.99013	 1570.4019	 Fe hcp (Smith)
383	 0.025604965	 11540.907	 0.00012828734	 41.989756	 1570.3956	 Fe hcp (Smith)
384	 0.026119614	 11540.64	 0.00013617868	 41.989367	 1570.389	 Fe hcp (Smith)
385	 0.026644608	 11540.362	 0.00014455541	 41.988962	 1570.3821	 Fe hcp (Smith)
386	 0.027180155	 11540.073	 0.00015344738	 41.98854	 1570.375	 Fe hcp (Smith)
387	 0.027726465	 11539.773	 0.00016288628	 41.988101	 1570.3675	 Fe hcp (Smith)
388	 0.028283757	 11539.46	 0.00017290575	 41.987645	 1570.3598	 Fe hcp (Smith)
389	 0.02885225	 11539.134	 0.0001835415	 41.98717	 1570.3518	 Fe hcp (Smith)
390	 0.02943217	 11538.795	 0.00019483141	 41.986676	 1570.3434	 Fe hcp (Smith)
391	 0.030023746	 11538.443	 0.00020681574	 41.986161	 1570.3347	 Fe hcp (Smith)
392	 0.030627213	 11538.076	 0.00021953717	 41.985626	 1570.3256	 Fe hcp (Smith)
393	 0.031242809	 11537.694	 0.00023304104	 41.985069	 1570.3162	 Fe hcp (Smith)
