Index	 Radius (earth)	 P (GPa)	 M (earth)	 Density (g cm^-3)	 T (K)	 Phase
311	 0.0086574803	 434.26092	 1.7435814e-06	 14.764904	 609.99096	 Fe hcp (Smith)
312	 0.0088314913	 434.25715	 1.8508418e-06	 14.764873	 609.98944	 Fe hcp (Smith)
313	 0.0090089998	 434.25322	 1.9647004e-06	 14.764841	 609.98785	 Fe hcp (Smith)
314	 0.0091900762	 434.24914	 2.0855632e-06	 14.764808	 609.9862	 Fe hcp (Smith)
315	 0.0093747922	 434.24489	 2.213861e-06	 14.764774	 609.98449	 Fe hcp (Smith)
316	 0.0095632209	 434.24046	 2.3500512e-06	 14.764738	 609.9827	 Fe hcp (Smith)
317	 0.0097554368	 434.23586	 2.4946193e-06	 14.764701	 609.98084	 Fe hcp (Smith)
318	 0.0099515163	 434.23107	 2.6480807e-06	 14.764662	 609.97891	 Fe hcp (Smith)
319	 0.010151537	 434.22609	 2.8109823e-06	 14.764622	 609.9769	 Fe hcp (Smith)
320	 0.010355578	 434.2209	 2.983905e-06	 14.76458	 609.9748	 Fe hcp (Smith)
321	 0.01056372	 434.2155	 3.1674651e-06	 14.764536	 609.97262	 Fe hcp (Smith)
322	 0.010776045	 434.20989	 3.362317e-06	 14.764491	 609.97036	 Fe hcp (Smith)
323	 0.010992639	 434.20404	 3.5691553e-06	 14.764444	 609.968	 Fe hcp (Smith)
324	 0.011213585	 434.19796	 3.7887173e-06	 14.764394	 609.96554	 Fe hcp (Smith)
325	 0.011438973	 434.19163	 4.0217857e-06	 14.764343	 609.96299	 Fe hcp (Smith)
326	 0.011668891	 434.18504	 4.2691913e-06	 14.76429	 609.96033	 Fe hcp (Smith)
327	 0.01190343	 434.17819	 4.531816e-06	 14.764235	 609.95756	 Fe hcp (Smith)
328	 0.012142683	 434.17106	 4.810596e-06	 14.764177	 609.95468	 Fe hcp (Smith)
329	 0.012386746	 434.16364	 5.106525e-06	 14.764117	 609.95169	 Fe hcp (Smith)
330	 0.012635713	 434.15592	 5.4206579e-06	 14.764054	 609.94857	 Fe hcp (Smith)
331	 0.012889685	 434.14788	 5.7541145e-06	 14.763989	 609.94533	 Fe hcp (Smith)
332	 0.013148762	 434.13952	 6.1080833e-06	 14.763922	 609.94195	 Fe hcp (Smith)
333	 0.013413046	 434.13082	 6.4838262e-06	 14.763851	 609.93844	 Fe hcp (Smith)
334	 0.013682642	 434.12177	 6.8826823e-06	 14.763778	 609.93478	 Fe hcp (Smith)
335	 0.013957657	 434.11234	 7.3060735e-06	 14.763702	 609.93098	 Fe hcp (Smith)
336	 0.014238199	 434.10254	 7.7555089e-06	 14.763623	 609.92702	 Fe hcp (Smith)
337	 0.014524381	 434.09234	 8.2325905e-06	 14.76354	 609.9229	 Fe hcp (Smith)
338	 0.014816314	 434.08172	 8.7390187e-06	 14.763454	 609.91861	 Fe hcp (Smith)
339	 0.015114116	 434.07067	 9.2765986e-06	 14.763365	 609.91415	 Fe hcp (Smith)
340	 0.015417903	 434.05918	 9.8472464e-06	 14.763272	 609.90951	 Fe hcp (Smith)
341	 0.015727796	 434.04722	 1.0452996e-05	 14.763175	 609.90468	 Fe hcp (Smith)
342	 0.016043918	 434.03477	 1.1096006e-05	 14.763075	 609.89965	 Fe hcp (Smith)
343	 0.016366394	 434.02182	 1.1778569e-05	 14.76297	 609.89442	 Fe hcp (Smith)
344	 0.016695351	 434.00834	 1.2503118e-05	 14.762861	 609.88898	 Fe hcp (Smith)
345	 0.017030921	 433.99431	 1.3272234e-05	 14.762747	 609.88332	 Fe hcp (Smith)
346	 0.017373235	 433.97971	 1.4088659e-05	 14.762629	 609.87742	 Fe hcp (Smith)
347	 0.01772243	 433.96453	 1.4955302e-05	 14.762506	 609.87129	 Fe hcp (Smith)
348	 0.018078644	 433.94872	 1.5875253e-05	 14.762379	 609.86491	 Fe hcp (Smith)
349	 0.018442017	 433.93228	 1.685179e-05	 14.762245	 609.85826	 Fe hcp (Smith)
350	 0.018812694	 433.91516	 1.7888393e-05	 14.762107	 609.85135	 Fe hcp (Smith)
351	 0.019190822	 433.89735	 1.8988757e-05	 14.761963	 609.84416	 Fe hcp (Smith)
352	 0.01957655	 433.87882	 2.0156802e-05	 14.761813	 609.83668	 Fe hcp (Smith)
353	 0.019970031	 433.85954	 2.1396692e-05	 14.761657	 609.82889	 Fe hcp (Smith)
354	 0.020371422	 433.83948	 2.2712845e-05	 14.761495	 609.82078	 Fe hcp (Smith)
355	 0.02078088	 433.8186	 2.4109951e-05	 14.761326	 609.81235	 Fe hcp (Smith)
356	 0.021198568	 433.79687	 2.5592989e-05	 14.76115	 609.80357	 Fe hcp (Smith)
357	 0.021624652	 433.77426	 2.7167243e-05	 14.760967	 609.79444	 Fe hcp (Smith)
358	 0.0220593	 433.75073	 2.8838324e-05	 14.760777	 609.78493	 Fe hcp (Smith)
359	 0.022502684	 433.72625	 3.0612185e-05	 14.760579	 609.77504	 Fe hcp (Smith)
360	 0.02295498	 433.70078	 3.2495147e-05	 14.760372	 609.76475	 Fe hcp (Smith)
361	 0.023416368	 433.67427	 3.449392e-05	 14.760158	 609.75404	 Fe hcp (Smith)
362	 0.02388703	 433.64668	 3.6615625e-05	 14.759935	 609.7429	 Fe hcp (Smith)
363	 0.024367152	 433.61798	 3.8867821e-05	 14.759702	 609.7313	 Fe hcp (Smith)
364	 0.024856924	 433.58811	 4.1258534e-05	 14.759461	 609.71923	 Fe hcp (Smith)
365	 0.025356541	 433.55703	 4.379628e-05	 14.759209	 609.70667	 Fe hcp (Smith)
366	 0.025866201	 433.52469	 4.6490101e-05	 14.758947	 609.6936	 Fe hcp (Smith)
367	 0.026386104	 433.49104	 4.9349594e-05	 14.758675	 609.68	 Fe hcp (Smith)
368	 0.026916458	 433.45602	 5.2384945e-05	 14.758391	 609.66584	 Fe hcp (Smith)
369	 0.027457472	 433.41958	 5.5606967e-05	 14.758096	 609.65111	 Fe hcp (Smith)
370	 0.028009361	 433.38166	 5.9027139e-05	 14.75779	 609.63579	 Fe hcp (Smith)
371	 0.028572343	 433.34221	 6.2657642e-05	 14.75747	 609.61983	 Fe hcp (Smith)
372	 0.029146641	 433.30115	 6.6511409e-05	 14.757138	 609.60324	 Fe hcp (Smith)
373	 0.029732482	 433.25843	 7.0602167e-05	 14.756792	 609.58596	 Fe hcp (Smith)
374	 0.0303301	 433.21397	 7.4944485e-05	 14.756432	 609.56799	 Fe hcp (Smith)
375	 0.030939729	 433.16771	 7.9553828e-05	 14.756057	 609.54928	 Fe hcp (Smith)
376	 0.031561613	 433.11958	 8.4446614e-05	 14.755667	 609.52982	 Fe hcp (Smith)
377	 0.032195997	 433.06949	 8.9640265e-05	 14.755262	 609.50956	 Fe hcp (Smith)
378	 0.032843132	 433.01737	 9.5153278e-05	 14.75484	 609.48848	 Fe hcp (Smith)
379	 0.033503275	 432.96314	 0.00010100528	 14.7544	 609.46654	 Fe hcp (Smith)
380	 0.034176687	 432.90671	 0.00010721712	 14.753943	 609.44371	 Fe hcp (Smith)
381	 0.034863636	 432.84799	 0.0001138109	 14.753468	 609.41995	 Fe hcp (Smith)
382	 0.035564392	 432.78689	 0.00012081011	 14.752973	 609.39523	 Fe hcp (Smith)
383	 0.036279235	 432.72331	 0.00012823966	 14.752458	 609.3695	 Fe hcp (Smith)
384	 0.037008446	 432.65715	 0.00013612601	 14.751922	 609.34273	 Fe hcp (Smith)
385	 0.037752316	 432.58831	 0.00014449722	 14.751364	 609.31486	 Fe hcp (Smith)
386	 0.038511137	 432.51668	 0.00015338309	 14.750783	 609.28587	 Fe hcp (Smith)
387	 0.039285212	 432.44215	 0.00016281526	 14.750179	 609.25569	 Fe hcp (Smith)
388	 0.040074847	 432.3646	 0.00017282728	 14.749551	 609.22429	 Fe hcp (Smith)
389	 0.040880354	 432.2839	 0.0001834548	 14.748896	 609.19161	 Fe hcp (Smith)
390	 0.041702053	 432.19993	 0.00019473563	 14.748216	 609.1576	 Fe hcp (Smith)
391	 0.042540269	 432.11256	 0.00020670991	 14.747507	 609.12221	 Fe hcp (Smith)
392	 0.043395334	 432.02164	 0.00021942024	 14.74677	 609.08538	 Fe hcp (Smith)
393	 0.044267587	 431.92705	 0.00023291186	 14.746003	 609.04705	 Fe hcp (Smith)
394	 0.045157374	 431.82862	 0.00024723274	 14.745205	 609.00716	 Fe hcp (Smith)
395	 0.046065046	 431.7262	 0.00026243383	 14.744374	 608.96564	 Fe hcp (Smith)
396	 0.046990965	 431.61964	 0.0002785692	 14.743509	 608.92244	 Fe hcp (Smith)
397	 0.047935495	 431.50875	 0.00029569623	 14.742609	 608.87748	 Fe hcp (Smith)
398	 0.048899013	 431.39338	 0.00031387583	 14.741673	 608.83069	 Fe hcp (Smith)
399	 0.049881899	 431.27334	 0.00033317263	 14.740699	 608.782	 Fe hcp (Smith)
400	 0.050884542	 431.14843	 0.00035365524	 14.739685	 608.73132	 Fe hcp (Smith)
401	 0.051907341	 431.01846	 0.00037539648	 14.73863	 608.67858	 Fe hcp (Smith)
402	 0.0529507	 430.88324	 0.00039847361	 14.737532	 608.62369	 Fe hcp (Smith)
403	 0.054015032	 430.74254	 0.00042296867	 14.736389	 608.56657	 Fe hcp (Smith)
404	 0.05510076	 430.59615	 0.00044896867	 14.7352	 608.50712	 Fe hcp (Smith)
405	 0.056208313	 430.44383	 0.00047656602	 14.733962	 608.44524	 Fe hcp (Smith)
406	 0.057338131	 430.28534	 0.00050585874	 14.732674	 608.38085	 Fe hcp (Smith)
407	 0.05849066	 430.12045	 0.00053695089	 14.731334	 608.31384	 Fe hcp (Smith)
408	 0.059666358	 429.94888	 0.00056995288	 14.729939	 608.24409	 Fe hcp (Smith)
409	 0.060865691	 429.77038	 0.0006049819	 14.728487	 608.1715	 Fe hcp (Smith)
410	 0.062089133	 429.58466	 0.00064216231	 14.726977	 608.09595	 Fe hcp (Smith)
411	 0.063337169	 429.39143	 0.00068162609	 14.725405	 608.01733	 Fe hcp (Smith)
412	 0.064610294	 429.19038	 0.00072351329	 14.723769	 607.93549	 Fe hcp (Smith)
413	 0.065909013	 428.98121	 0.00076797254	 14.722066	 607.85032	 Fe hcp (Smith)
414	 0.067233839	 428.76359	 0.00081516156	 14.720294	 607.76168	 Fe hcp (Smith)
415	 0.068585298	 428.53717	 0.00086524773	 14.71845	 607.66942	 Fe hcp (Smith)
416	 0.069963925	 428.30161	 0.00091840864	 14.716531	 607.5734	 Fe hcp (Smith)
417	 0.071370266	 428.05654	 0.00097483278	 14.714534	 607.47345	 Fe hcp (Smith)
418	 0.072804879	 427.80157	 0.0010347201	 14.712456	 607.36943	 Fe hcp (Smith)
419	 0.074268332	 427.53631	 0.0010982829	 14.710293	 607.26116	 Fe hcp (Smith)
420	 0.075761204	 427.26034	 0.0011657463	 14.708041	 607.14847	 Fe hcp (Smith)
421	 0.077284087	 426.97323	 0.0012373492	 14.705699	 607.03117	 Fe hcp (Smith)
422	 0.078837585	 426.67455	 0.0013133451	 14.70326	 606.90909	 Fe hcp (Smith)
423	 0.080422313	 426.36382	 0.0013940031	 14.700723	 606.78201	 Fe hcp (Smith)
424	 0.082038898	 426.04056	 0.0014796086	 14.698082	 606.64974	 Fe hcp (Smith)
425	 0.083687982	 425.70428	 0.0015704643	 14.695333	 606.51206	 Fe hcp (Smith)
426	 0.085370216	 425.35444	 0.0016668915	 14.692473	 606.36875	 Fe hcp (Smith)
427	 0.087086268	 424.99052	 0.0017692312	 14.689496	 606.21958	 Fe hcp (Smith)
428	 0.088836817	 424.61194	 0.0018778449	 14.686397	 606.0643	 Fe hcp (Smith)
429	 0.090622556	 424.21812	 0.0019931163	 14.683172	 605.90267	 Fe hcp (Smith)
430	 0.092444193	 423.80846	 0.0021154524	 14.679816	 605.73442	 Fe hcp (Smith)
431	 0.094302448	 423.38233	 0.002245285	 14.676323	 605.55927	 Fe hcp (Smith)
432	 0.096198057	 422.93906	 0.002383072	 14.672687	 605.37695	 Fe hcp (Smith)
433	 0.098131772	 422.47797	 0.0025292993	 14.668903	 605.18715	 Fe hcp (Smith)
434	 0.10010436	 421.99837	 0.0026844824	 14.664965	 604.98958	 Fe hcp (Smith)
435	 0.10211659	 421.49951	 0.0028491677	 14.660866	 604.78389	 Fe hcp (Smith)
436	 0.10416927	 420.98063	 0.0030239353	 14.6566	 604.56976	 Fe hcp (Smith)
437	 0.10626322	 420.44093	 0.0032094	 14.652159	 604.34685	 Fe hcp (Smith)
438	 0.10839924	 419.8796	 0.003406214	 14.647537	 604.11477	 Fe hcp (Smith)
439	 0.11057821	 419.29578	 0.0036150691	 14.642726	 603.87316	 Fe hcp (Smith)
440	 0.11280096	 418.68858	 0.0038366989	 14.637719	 603.62161	 Fe hcp (Smith)
441	 0.11506839	 418.05707	 0.0040718813	 14.632507	 603.35972	 Fe hcp (Smith)
442	 0.11738138	 417.40031	 0.0043214412	 14.627083	 603.08704	 Fe hcp (Smith)
443	 0.11974086	 416.71729	 0.0045862532	 14.621436	 602.80314	 Fe hcp (Smith)
444	 0.12214775	 416.00699	 0.0048672448	 14.615558	 602.50754	 Fe hcp (Smith)
445	 0.124603	 415.26833	 0.0051653992	 14.60944	 602.19975	 Fe hcp (Smith)
446	 0.12710759	 414.50022	 0.005481759	 14.603072	 601.87927	 Fe hcp (Smith)
447	 0.12966249	 413.70149	 0.0058174293	 14.596443	 601.54556	 Fe hcp (Smith)
448	 0.13226873	 412.87095	 0.0061735813	 14.589542	 601.19806	 Fe hcp (Smith)
449	 0.13492731	 412.00736	 0.006551457	 14.582359	 600.8362	 Fe hcp (Smith)
450	 0.1376393	 411.10944	 0.0069523722	 14.574882	 600.45938	 Fe hcp (Smith)
451	 0.14040575	 410.17586	 0.0073777219	 14.567098	 600.06696	 Fe hcp (Smith)
452	 0.14322776	 409.20523	 0.0078289839	 14.558995	 599.65828	 Fe hcp (Smith)
453	 0.14610643	 408.19613	 0.0083077245	 14.55056	 599.23266	 Fe hcp (Smith)
454	 0.14904289	 407.14707	 0.0088156031	 14.541779	 598.78939	 Fe hcp (Smith)
455	 0.15203829	 406.05652	 0.0093543778	 14.532637	 598.32771	 Fe hcp (Smith)
456	 0.15509381	 404.92288	 0.0099259107	 14.52312	 597.84684	 Fe hcp (Smith)
457	 0.15821064	 403.74452	 0.010532175	 14.513212	 597.34597	 Fe hcp (Smith)
458	 0.16139001	 402.51972	 0.011175258	 14.502896	 596.82425	 Fe hcp (Smith)
459	 0.16463313	 401.24672	 0.011857374	 14.492157	 596.28078	 Fe hcp (Smith)
460	 0.16794129	 399.9237	 0.012580865	 14.480976	 595.71465	 Fe hcp (Smith)
461	 0.17131577	 398.54877	 0.01334821	 14.469334	 595.12487	 Fe hcp (Smith)
462	 0.17475787	 397.11997	 0.014162034	 14.457214	 594.51044	 Fe hcp (Smith)
463	 0.17826893	 395.63529	 0.015025115	 14.444594	 593.8703	 Fe hcp (Smith)
464	 0.1818503	 394.09264	 0.015940393	 14.431454	 593.20333	 Fe hcp (Smith)
465	 0.18550337	 392.48988	 0.016910978	 14.417772	 592.50839	 Fe hcp (Smith)
466	 0.18922953	 390.82477	 0.01794016	 14.403525	 591.78426	 Fe hcp (Smith)
467	 0.19303022	 389.09503	 0.019031418	 14.388691	 591.02968	 Fe hcp (Smith)
468	 0.19690688	 387.29828	 0.02018843	 14.373244	 590.24333	 Fe hcp (Smith)
469	 0.20086098	 385.43209	 0.021415085	 14.357158	 589.42382	 Fe hcp (Smith)
470	 0.20489404	 383.49395	 0.022715494	 14.340407	 588.56972	 Fe hcp (Smith)
471	 0.20900755	 381.48127	 0.024093997	 14.322963	 587.67949	 Fe hcp (Smith)
472	 0.21320308	 379.39138	 0.025555182	 14.304796	 586.75157	 Fe hcp (Smith)
473	 0.21748218	 377.22155	 0.027103891	 14.285877	 585.7843	 Fe hcp (Smith)
474	 0.22184644	 374.96897	 0.028745237	 14.266174	 584.77593	 Fe hcp (Smith)
475	 0.22629748	 372.63074	 0.030484614	 14.245653	 583.72467	 Fe hcp (Smith)
476	 0.23083691	 370.2039	 0.032327712	 14.22428	 582.6286	 Fe hcp (Smith)
477	 0.23546639	 367.68541	 0.034280532	 14.202019	 581.48574	 Fe hcp (Smith)
478	 0.24018758	 365.07216	 0.036349397	 14.178832	 580.29399	 Fe hcp (Smith)
479	 0.24500217	 362.36097	 0.038540968	 14.154681	 579.05119	 Fe hcp (Smith)
480	 0.24991186	 359.54859	 0.04086226	 14.129525	 577.75504	 Fe hcp (Smith)
481	 0.25491835	 356.63171	 0.043320653	 14.10332	 576.40315	 Fe hcp (Smith)
482	 0.26002337	 353.60694	 0.045923911	 14.076022	 574.99299	 Fe hcp (Smith)
483	 0.26522866	 350.47084	 0.048680193	 14.047586	 573.52195	 Fe hcp (Smith)
484	 0.27053595	 347.21994	 0.051598069	 14.017962	 571.98725	 Fe hcp (Smith)
485	 0.27594699	 343.85068	 0.054686533	 13.9871	 570.38601	 Fe hcp (Smith)
486	 0.28146352	 340.3595	 0.057955017	 13.954948	 568.71519	 Fe hcp (Smith)
487	 0.28708727	 336.74279	 0.061413404	 13.92145	 566.9716	 Fe hcp (Smith)
488	 0.29281998	 332.9969	 0.065072038	 13.886549	 565.15191	 Fe hcp (Smith)
489	 0.29866337	 329.1182	 0.068941735	 13.850186	 563.25261	 Fe hcp (Smith)
490	 0.30461913	 325.10304	 0.073033793	 13.812298	 561.27002	 Fe hcp (Smith)
491	 0.31068894	 320.94779	 0.077359995	 13.77282	 559.2003	 Fe hcp (Smith)
492	 0.31687443	 316.64883	 0.081932618	 13.731685	 557.03938	 Fe hcp (Smith)
493	 0.32317722	 312.20262	 0.086764429	 13.688821	 554.78303	 Fe hcp (Smith)
494	 0.32959886	 307.60565	 0.091868687	 13.644155	 552.42677	 Fe hcp (Smith)
495	 0.33614084	 302.85452	 0.097259134	 13.597611	 549.96594	 Fe hcp (Smith)
496	 0.34280459	 297.94592	 0.10294999	 13.549108	 547.3956	 Fe hcp (Smith)
497	 0.34959147	 292.87669	 0.10895592	 13.498564	 544.71061	 Fe hcp (Smith)
498	 0.35650273	 287.64384	 0.11529203	 13.445891	 541.90555	 Fe hcp (Smith)
499	 0.36353952	 282.24455	 0.12197384	 13.390998	 538.97472	 Fe hcp (Smith)
500	 0.37070288	 276.67626	 0.12901722	 13.333793	 535.91214	 Fe hcp (Smith)
501	 0.37799371	 270.93667	 0.13643836	 13.274177	 532.71156	 Fe hcp (Smith)
502	 0.38541275	 265.02378	 0.14425374	 13.212047	 529.36636	 Fe hcp (Smith)
503	 0.39296056	 258.93595	 0.15247999	 13.147299	 525.86964	 Fe hcp (Smith)
504	 0.40063752	 252.67197	 0.16113389	 13.079821	 522.21412	 Fe hcp (Smith)
505	 0.4084438	 246.23104	 0.17023221	 13.009498	 518.39216	 Fe hcp (Smith)
506	 0.41637931	 239.6129	 0.17979164	 12.936211	 514.39574	 Fe hcp (Smith)
507	 0.4244437	 232.81784	 0.18982865	 12.859835	 510.2164	 Fe hcp (Smith)
508	 0.43236107	 226.0821	 0.2	 12.782948	 505.99424	 Fe hcp (Smith)
509	 0.43405321	 224.64892	 0.20221623	 12.766433	 505.08119	 Fe hcp (Smith)
510	 0.4442649	 215.85647	 0.21588809	 12.663868	 499.42165	 Fe hcp (Smith)
511	 0.45410501	 207.29736	 0.22955995	 12.561884	 493.76814	 Fe hcp (Smith)
512	 0.46361135	 198.95469	 0.2432318	 12.460325	 488.11251	 Fe hcp (Smith)
513	 0.47281622	 190.81378	 0.25690366	 12.359046	 482.4472	 Fe hcp (Smith)
514	 0.4817475	 182.86172	 0.27057552	 12.257914	 476.76513	 Fe hcp (Smith)
515	 0.49042944	 175.08714	 0.28424737	 12.156804	 471.0595	 Fe hcp (Smith)
516	 0.49888329	 167.47993	 0.29791923	 12.055595	 465.32376	 Fe hcp (Smith)
517	 0.50678617	 160.34028	 0.31101792	 11.95843	 459.79427	 Fe hcp (Smith)
518	 0.51292962	 154.77417	 0.32141072	 11.881131	 455.37944	 Fe hcp (Smith)
519	 0.51461089	 153.24878	 0.32428675	 11.8597	 454.15297	 Fe hcp (Smith)
520	 0.5149462	 152.94446	 0.32486195	 11.855411	 453.90742	 Fe hcp (Smith)
521	 0.51501322	 152.88363	 0.32497699	 11.854554	 453.8583	 Fe hcp (Smith)
523	 0.51502662	 152.87146	 0.325	 11.854382	 453.84848	 Fe hcp (Smith)
523	 0.51502662	 152.87146	 0.325	 5.7133847	 453.84848	 Si PPv (Sakai)
524	 0.52147444	 150.06797	 0.33039175	 5.6921781	 451.91904	 Si PPv (Sakai)
525	 0.52973354	 146.52541	 0.33746548	 5.6651477	 449.45594	 Si PPv (Sakai)
526	 0.53888623	 142.65985	 0.34552586	 5.6353468	 446.73539	 Si PPv (Sakai)
527	 0.54778357	 138.95945	 0.35358624	 5.6065103	 444.09782	 Si PPv (Sakai)
