Index	 Radius (earth)	 P (GPa)	 M (earth)	 Density (g cm^-3)	 T (K)	 Phase
0	 0	 434.35384	 0	 14.765655	 610.02846	 Fe hcp (Smith)
87	 0.00010033826	 434.35382	 2.7144426e-12	 14.765655	 610.02846	 Fe hcp (Smith)
122	 0.00020135146	 434.35379	 2.1935388e-11	 14.765655	 610.02844	 Fe hcp (Smith)
142	 0.00029978176	 434.35372	 7.2392996e-11	 14.765654	 610.02842	 Fe hcp (Smith)
157	 0.00040405735	 434.35363	 1.7725968e-10	 14.765653	 610.02838	 Fe hcp (Smith)
168	 0.0005029337	 434.35352	 3.4183233e-10	 14.765652	 610.02833	 Fe hcp (Smith)
177	 0.00060158005	 434.35339	 5.8500715e-10	 14.765651	 610.02828	 Fe hcp (Smith)
185	 0.00070539697	 434.35322	 9.431519e-10	 14.76565	 610.02821	 Fe hcp (Smith)
192	 0.00081083267	 434.35302	 1.4324338e-09	 14.765648	 610.02813	 Fe hcp (Smith)
198	 0.00091366368	 434.3528	 2.0494621e-09	 14.765647	 610.02804	 Fe hcp (Smith)
204	 0.0010295359	 434.35252	 2.9322786e-09	 14.765644	 610.02793	 Fe hcp (Smith)
209	 0.0011372451	 434.35223	 3.9522372e-09	 14.765642	 610.02781	 Fe hcp (Smith)
214	 0.0012562229	 434.35188	 5.3269763e-09	 14.765639	 610.02767	 Fe hcp (Smith)
218	 0.0013603065	 434.35154	 6.7638032e-09	 14.765636	 610.02753	 Fe hcp (Smith)
222	 0.001473014	 434.35115	 8.5881805e-09	 14.765633	 610.02737	 Fe hcp (Smith)
226	 0.0015950597	 434.35068	 1.090464e-08	 14.765629	 610.02719	 Fe hcp (Smith)
230	 0.0017272175	 434.35014	 1.3845911e-08	 14.765625	 610.02697	 Fe hcp (Smith)
233	 0.0018334733	 434.34967	 1.6561671e-08	 14.765621	 610.02678	 Fe hcp (Smith)
236	 0.0019462658	 434.34914	 1.9810104e-08	 14.765617	 610.02657	 Fe hcp (Smith)
239	 0.0020659972	 434.34854	 2.3695691e-08	 14.765612	 610.02632	 Fe hcp (Smith)
242	 0.0021930942	 434.34787	 2.8343401e-08	 14.765607	 610.02605	 Fe hcp (Smith)
245	 0.0023280101	 434.34712	 3.3902721e-08	 14.765601	 610.02575	 Fe hcp (Smith)
248	 0.0024712257	 434.34626	 4.0552453e-08	 14.765594	 610.0254	 Fe hcp (Smith)
250	 0.0025715647	 434.34564	 4.5695367e-08	 14.765589	 610.02515	 Fe hcp (Smith)
252	 0.0026759778	 434.34496	 5.1490511e-08	 14.765583	 610.02488	 Fe hcp (Smith)
254	 0.0027846303	 434.34422	 5.8020601e-08	 14.765577	 610.02458	 Fe hcp (Smith)
256	 0.0028976945	 434.34343	 6.5378845e-08	 14.765571	 610.02426	 Fe hcp (Smith)
258	 0.0030153494	 434.34256	 7.3670269e-08	 14.765564	 610.02391	 Fe hcp (Smith)
260	 0.0031377814	 434.34163	 8.3013219e-08	 14.765556	 610.02353	 Fe hcp (Smith)
262	 0.0032651845	 434.34062	 9.3541051e-08	 14.765548	 610.02313	 Fe hcp (Smith)
264	 0.0033977606	 434.33952	 1.0540403e-07	 14.765539	 610.02268	 Fe hcp (Smith)
266	 0.0035357196	 434.33834	 1.1877149e-07	 14.76553	 610.02221	 Fe hcp (Smith)
268	 0.0036792802	 434.33705	 1.3383421e-07	 14.765519	 610.02169	 Fe hcp (Smith)
270	 0.0038286698	 434.33566	 1.508072e-07	 14.765508	 610.02113	 Fe hcp (Smith)
272	 0.003984125	 434.33416	 1.6993272e-07	 14.765496	 610.02052	 Fe hcp (Smith)
274	 0.0041458922	 434.33253	 1.9148375e-07	 14.765483	 610.01986	 Fe hcp (Smith)
276	 0.0043142276	 434.33076	 2.1576789e-07	 14.765468	 610.01915	 Fe hcp (Smith)
278	 0.0044893979	 434.32885	 2.4313175e-07	 14.765453	 610.01838	 Fe hcp (Smith)
280	 0.0046716806	 434.32678	 2.7396591e-07	 14.765436	 610.01754	 Fe hcp (Smith)
282	 0.0048613646	 434.32454	 3.0871047e-07	 14.765418	 610.01664	 Fe hcp (Smith)
284	 0.0050587503	 434.32211	 3.4786133e-07	 14.765398	 610.01566	 Fe hcp (Smith)
285	 0.0051604285	 434.32082	 3.6926109e-07	 14.765388	 610.01514	 Fe hcp (Smith)
286	 0.0052641505	 434.31948	 3.9197732e-07	 14.765377	 610.0146	 Fe hcp (Smith)
287	 0.0053699571	 434.31809	 4.1609099e-07	 14.765366	 610.01403	 Fe hcp (Smith)
288	 0.0054778905	 434.31664	 4.4168808e-07	 14.765354	 610.01345	 Fe hcp (Smith)
289	 0.0055879932	 434.31513	 4.6885985e-07	 14.765342	 610.01284	 Fe hcp (Smith)
290	 0.005700309	 434.31355	 4.9770316e-07	 14.765329	 610.0122	 Fe hcp (Smith)
291	 0.0058148822	 434.31192	 5.2832084e-07	 14.765316	 610.01154	 Fe hcp (Smith)
292	 0.0059317583	 434.31022	 5.6082205e-07	 14.765302	 610.01086	 Fe hcp (Smith)
293	 0.0060509836	 434.30845	 5.9532265e-07	 14.765288	 610.01014	 Fe hcp (Smith)
294	 0.0061726052	 434.3066	 6.3194564e-07	 14.765273	 610.0094	 Fe hcp (Smith)
295	 0.0062966714	 434.30468	 6.7082159e-07	 14.765258	 610.00862	 Fe hcp (Smith)
296	 0.0064232313	 434.30269	 7.1208909e-07	 14.765241	 610.00782	 Fe hcp (Smith)
297	 0.0065523349	 434.30061	 7.5589525e-07	 14.765225	 610.00698	 Fe hcp (Smith)
298	 0.0066840334	 434.29845	 8.0239626e-07	 14.765207	 610.00611	 Fe hcp (Smith)
299	 0.0068183791	 434.2962	 8.5175788e-07	 14.765189	 610.0052	 Fe hcp (Smith)
300	 0.006955425	 434.29386	 9.0415609e-07	 14.76517	 610.00425	 Fe hcp (Smith)
301	 0.0070952255	 434.29143	 9.5977769e-07	 14.76515	 610.00327	 Fe hcp (Smith)
302	 0.0072378359	 434.28889	 1.018821e-06	 14.76513	 610.00225	 Fe hcp (Smith)
303	 0.0073833127	 434.28626	 1.0814964e-06	 14.765108	 610.00118	 Fe hcp (Smith)
304	 0.0075317135	 434.28351	 1.1480275e-06	 14.765086	 610.00008	 Fe hcp (Smith)
305	 0.0076830971	 434.28066	 1.2186513e-06	 14.765063	 609.99892	 Fe hcp (Smith)
306	 0.0078375234	 434.27769	 1.2936198e-06	 14.765039	 609.99773	 Fe hcp (Smith)
307	 0.0079950536	 434.27459	 1.3732e-06	 14.765014	 609.99648	 Fe hcp (Smith)
308	 0.0081557502	 434.27138	 1.4576758e-06	 14.764988	 609.99518	 Fe hcp (Smith)
309	 0.0083196766	 434.26803	 1.5473482e-06	 14.764961	 609.99383	 Fe hcp (Smith)
310	 0.0084868979	 434.26455	 1.642537e-06	 14.764933	 609.99242	 Fe hcp (Smith)
