# label: core_mass_fraction=0.325__planet_mass=1.0
# converged: True
# cmb_mass: 1.9412754163805345e+24
# core_mantle_mass: 1.9412754163805345e+24
# core_eos: PALEOS:iron
# mantle_eos: PALEOS:MgSiO3
# ice_layer_eos: 
# rock_solidus_id: Monteux16-solidus
# rock_liquidus_id: Monteux16-liquidus-A-chondritic
radius_m,density_kg_m3,gravity_m_s2,pressure_Pa,temperature_K,mass_enclosed_kg,main_component,phase
0,14967.91466104499,0,439273251413.43213,300,0,Fe,solid
42156.369157868947,14967.455400354369,0.17639717505432229,439217601358.56665,300,4.6969258971789261e+18,Fe,solid
84312.738315737894,14966.077404051497,0.35277483710352231,439050667541.79468,300,3.7573137403008475e+19,Fe,solid
126469.10747360684,14963.780030999305,0.52911351864502665,438772499240.00006,300,1.2679834373658226e+20,Fe,solid
168625.47663147579,14960.562211370963,0.70539379694971993,438383178577.48004,300,3.0052017540388376e+20,Fe,solid
210781.84578934475,14956.422443862766,0.88159572961035393,437882820442.92993,300,5.8684849274593798e+20,Fe,solid
252938.21494721368,14951.35879638271,1.0576998027269136,437271572835.26959,300,1.0138616884730187e+21,Fe,solid
295094.58410508261,14945.370264484431,1.2336870368807409,436549615346.07562,300,1.6096020427257167e+21,Fe,solid
337250.95326295157,14938.494034416395,1.4095382317503993,435717160357.68915,300,2.4020298272089608e+21,Fe,solid
379407.32242082054,14930.700945926737,1.5852339507842741,434774453090.38733,300,3.4190221438895884e+21,Fe,solid
421563.6915786895,14921.978739988725,1.7607545212005755,433721771602.3833,300,4.6883729249963349e+21,Fe,solid
463720.0607365584,14912.323271775531,1.936080033987335,432559426789.82617,300,6.2377929330198462e+21,Fe,solid
505876.42989442736,14901.729956337191,2.1111902249768022,431287765060.98529,300,8.0948817835530083e+21,Fe,solid
548032.79905229632,14890.195180225493,2.2860644570780133,429907182590.60016,300,1.0286959897054538e+22,Fe,solid
590189.16821016523,14877.794284316387,2.460684428676704,428418076159.97528,300,1.2841525579151797e+22,Fe,solid
632345.53736803425,14864.454812641658,2.6350317952107289,426820871145.42932,300,1.578595386564169e+22,Fe,solid
674501.90652590315,14850.161206652636,2.8090876590498097,425116030130.83099,300,1.9147407548930427e+22,Fe,solid
716658.27568377205,14834.908338740546,2.9828325694955367,423304052907.599,300,2.2952837178033602e+22,Fe,solid
758814.64484164107,14818.79879475378,3.1562465227813714,421385476474.70209,300,2.7228981058576142e+22,Fe,solid
800971.01399950997,14801.725843866176,3.3293089620726417,419360875038.65906,300,3.2002365252792283e+22,Fe,solid
843127.38315737899,14783.674766976304,3.5019987774665453,417230860013.53864,300,3.7299303579525686e+22,Fe,solid
885283.7523152479,14764.749768634329,3.6742943059921487,414996080020.95966,300,4.3145897614229253e+22,Fe,solid
927440.1214731168,14744.863295900326,3.8461733316103857,412657220890.09094,300,4.9568036688965285e+22,Fe,solid
969596.49063098582,14723.961651747382,4.0176130852140632,410215005657.65143,300,5.6591397892405475e+22,Fe,solid
1011752.8597888547,14701.886361333523,4.1885902446278518,407670194567.90991,300,6.4241446069830767e+22,Fe,solid
1053909.2289467237,14678.781313585107,4.3590809346082917,405023585072.68536,300,7.2543433823131508e+22,Fe,solid
1096065.5981045926,14654.20331547322,4.529060726843797,402276011831.34668,300,8.1522401510807348e+22,Fe,solid
1138221.9672624615,14628.355180295664,4.6985018009642037,399428336681.61163,300,9.1202806466245598e+22,Fe,solid
1180378.3364203305,14601.131707520439,4.8673679824415297,396481527283.92297,300,1.0160835698335399e+23,Fe,solid
1222534.7055781994,14572.52528631048,5.0356248170337992,393436670510.6297,300,1.1276296621358309e+23,Fe,solid
1264691.0747360685,14542.54126466759,5.2032386988277111,390294888991.28821,300,1.2469010634119416e+23,Fe,solid
1306847.4438939374,14511.17603900729,5.370176772896718,387057339686.95166,300,1.3741278930239884e+23,Fe,solid
1349003.8130518063,14478.387065534533,5.5364069353010317,383725213890.16992,300,1.5095356678535962e+23,Fe,solid
1391160.1822096752,14444.267957273431,5.7018978330876218,380299737224.98944,300,1.6533453023018943e+23,Fe,solid
1433316.5513675441,14408.684571444397,5.8666188642902126,376782169646.95343,300,1.8057731082895182e+23,Fe,solid
1475472.9205254132,14371.77963039942,6.0305401779292866,373173805443.10187,300,1.9670307952566106e+23,Fe,solid
1517629.2896832821,14333.494093860883,6.1936326740120808,369475973231.97125,300,2.1373254701628156e+23,Fe,solid
1559785.658841151,14293.871931802812,6.3558680035325903,365690035963.59491,300,2.3168596374872884e+23,Fe,solid
1601942.0279990199,14252.927916414596,6.5172185684715682,361817390919.50287,300,2.5058311992286853e+23,Fe,solid
1644098.3971568889,14210.673420466053,6.6776575217965224,357859469712.72168,300,2.7044334549051744e+23,Fe,solid
1686254.766314758,14167.184703663635,6.8371587674617196,353817738287.77478,300,2.9128551015544249e+23,Fe,solid
1728411.1354726269,14122.451869078104,6.9956969604081802,349693696920.68213,300,3.1312802337336108e+23,Fe,solid
1770567.5046304958,14076.499582756605,7.1532475065636838,345488880218.96063,300,3.3598883435194163e+23,Fe,solid
1812723.8737883647,14029.363869507444,7.3097865628427652,341204857121.62354,300,3.5988543205080285e+23,Fe,solid
1854880.2429462336,13981.161202767182,7.4652910371467183,336843230899.18109,300,3.8483484518151406e+23,Fe,solid
1897036.6121041025,13931.888890470391,7.6197385883635906,332405639153.64008,300,4.1085364220759533e+23,Fe,solid
1939192.9812619716,13881.574693745566,7.7731062706538552,327893740081.03259,300,4.3795775697404983e+23,Fe,solid
1981349.3504198405,13830.265802371881,7.925369040818576,323309120394.21027,300,4.6616199952323849e+23,Fe,solid
2023505.7195777094,13778.01075660652,8.0765139286678025,318653384875.18365,300,4.9548174952781546e+23,Fe,solid
2065662.0887355783,13724.857907198217,8.2265297071787806,313928147174.70996,300,5.2593206471517541e+23,Fe,solid
2107818.4578934475,13670.854303932583,8.3754053391937191,309135021364.86639,300,5.5752751219101776e+23,Fe,solid
2149974.8270513164,13616.044382763144,8.5231299774198046,304275621939.05072,300,5.9028216843934698e+23,Fe,solid
2192131.1962091853,13560.469273281073,8.6696929644291867,299351563811.98096,300,6.2420961932247281e+23,Fe,solid
2234287.5653670542,13504.164929940054,8.8150838326589867,294364462319.69543,300,6.5932296008100976e+23,Fe,solid
2276443.9345249231,13447.162942690731,8.9592923044112958,289315933219.55273,300,6.956347953338779e+23,Fe,solid
2318600.303682792,13389.490253243428,9.102308291853177,284207592690.23181,300,7.3315723907830185e+23,Fe,solid
2360756.6728406609,13331.271501953817,9.2441218970166545,279041057331.73187,300,7.7190191468981155e+23,Fe,solid
2402913.0419985298,13272.488727178241,9.384723411798733,273817944165.37244,300,8.1187995492224194e+23,Fe,solid
2445069.4111563987,13213.101139344479,9.5241033179613783,268539870633.79346,300,8.5310200190773299e+23,Fe,solid
2487225.7803142681,13153.109294287622,9.6622522871315297,263208454600.95493,300,8.9557820715673051e+23,Fe,solid
2529382.149472137,13092.709478970017,9.799161180801093,257825314352.13748,300,9.3931823155798332e+23,Fe,solid
2571538.5186300059,13031.748098892813,9.9348210503269456,252392068593.94189,300,9.8433124537854729e+23,Fe,solid
2613694.8877878748,12970.226967171482,10.069223136930933,246910336454.28918,300,1.0306259282637824e+24,Fe,solid
2655851.2569457437,12908.286020215439,10.202358871699875,241381737482.42078,300,1.0782104692373546e+24,Fe,solid
2698007.6261036126,12845.726597660829,10.334219875585553,235807891648.89838,300,1.1270925667012338e+24,Fe,solid
2740163.9952614815,12782.718998826253,10.464797959404724,230190419345.604,300,1.1772794284356953e+24,Fe,solid
2782320.3644193504,12719.108694279961,10.594085123839109,224530941385.74005,300,1.2287777715993199e+24,Fe,solid
2824476.7335772193,12654.87379857841,10.722073559435405,218831079003.82907,300,1.2815938227289931e+24,Fe,solid
2866633.1027350882,12590.103468661,10.848755646605273,213092453855.71405,300,1.3357333177399054e+24,Fe,solid
2908789.4718929571,12524.516656637403,10.974123955625346,207316688018.55823,300,1.3912015019255529e+24,Fe,solid
2950945.8410508265,12457.538893848108,11.098160856821552,201505537093.86884,300,1.4480017561047793e+24,Fe,solid
2993102.2102086954,12388.982574391976,11.220809451754887,195661291261.68405,300,1.5061314511022936e+24,Fe,solid
3035258.5793665643,12318.801150273917,11.342022236364308,189786181505.94424,300,1.5655879833268993e+24,Fe,solid
3077414.9485244332,12246.942961437227,11.46175334482799,183882465548.76556,300,1.6263678102764935e+24,Fe,solid
3119571.3176823021,12173.348559901076,11.579954986495654,177952474206.18805,300,1.6884659268169739e+24,Fe,solid
3161727.686840171,12097.950722338883,11.696578312402258,171998600470.57925,300,1.7518759405892821e+24,Fe,solid
3203884.0559980399,12020.673267898705,11.811573332584233,166023300534.51035,300,1.8165900254887402e+24,Fe,solid
3246040.4251559088,11941.498197607283,11.924888103270529,160029106542.71741,300,1.8825986939755566e+24,Fe,solid
3288196.7943137777,5716.71883176349,12.011869927448217,154372300031.89639,300,1.9459058108302844e+24,MgSiO3,solid
3330353.1634716466,5695.6497065924759,11.908890474823359,151495545847.09543,300,1.9790076468410268e+24,MgSiO3,solid
3372509.532629516,5674.6301383901364,11.811516967842872,148653409259.60703,300,2.0128328150845642e+24,MgSiO3,solid
3414665.9017873849,5653.6843754593947,11.719460161588236,145844370692.32346,300,2.0473862438249851e+24,MgSiO3,solid
3456822.2709452538,5632.7897480525335,11.63244913377785,143067011078.75989,300,2.0826726392855814e+24,MgSiO3,solid
3498978.6401031227,5611.9362560726258,11.5502265408974,140319981919.18976,300,2.1186965529084894e+24,MgSiO3,solid
3541135.0092609916,5591.1374726822469,11.472548615744822,137602005186.98849,300,2.1554623820735309e+24,MgSiO3,solid
3583291.3784188605,5570.3766607063408,11.399185167430291,134911873328.63336,300,2.1929743700982136e+24,MgSiO3,solid
3625447.7475767294,5549.6318510370729,11.329919581376231,132248449263.70358,300,2.2312366062377312e+24,MgSiO3,solid
3667604.1167345983,5528.9017255827603,11.264548819317309,129610666384.88028,300,2.2702530256849621e+24,MgSiO3,solid
3709760.4858924672,5508.1968228639234,11.202901277692856,126997270468.26398,300,2.3100321227978225e+24,MgSiO3,solid
3751916.8550503361,5487.4759920535262,11.144976305390161,124404734083.70911,300,2.3506247095714664e+24,MgSiO3,solid
3794073.224208205,5466.7562775152528,11.090502323804451,121833526235.28239,300,2.3920088261969775e+24,MgSiO3,solid
3836229.5933660744,5446.0627279732089,11.039156710319888,119285023083.19978,300,2.4341465302315749e+24,MgSiO3,solid
3878385.9625239433,5425.3604111225304,10.990656656139176,116760209399.67407,300,2.4770076760692359e+24,MgSiO3,solid
3920542.3316818122,5387.5778090417116,10.944759166283539,114259678568.91472,300,2.5205699149406974e+24,MgSiO3,solid
3962698.7008396811,5320.8029713952337,10.901261059592732,111783632587.12796,300,2.564818694913454e+24,MgSiO3,solid
4004855.06999755,5300.5929364762078,10.859998968725041,109331882062.51682,300,2.6097472608917602e+24,MgSiO3,solid
4047011.4391554189,5280.426987476576,10.820849340157279,106903846215.28104,300,2.6553566546166291e+24,MgSiO3,solid
4089167.8083132878,5260.2577915564416,10.783728434184793,104498552877.61714,300,2.7016557146658323e+24,MgSiO3,solid
4131324.1774711567,5240.1152665981072,10.748592324921452,102114638493.71841,300,2.7486610764539002e+24,MgSiO3,solid
4173480.5466290256,5219.9390966811679,10.715436900299661,99750348119.774872,300,2.7963971722321214e+24,MgSiO3,solid
4215636.915786895,5199.7572287898347,10.684297862070348,97403535423.973282,300,2.8448962310885444e+24,MgSiO3,solid
4257793.2849447634,5179.5230742889826,10.655250725802977,95071662686.497269,300,2.8941982789479751e+24,MgSiO3,solid
4299949.6541026328,5159.2428107763753,10.628296455461131,92753096401.551575,300,2.9443265108336833e+24,MgSiO3,solid
4342106.0232605012,5138.9245089897922,10.603185555542806,90449178716.586395,300,2.9952484418923163e+24,MgSiO3,solid
4384262.3924183706,5118.5416048965481,10.579824683585725,88159611464.966965,300,3.0469634950100634e+24,MgSiO3,solid
4426418.761576239,5098.1138115012927,10.558132907039795,85884011247.792114,300,3.0994728974867998e+24,MgSiO3,solid
4468575.1307341084,5077.6324021712571,10.538032239484064,83622015110.60965,300,3.1527776612698337e+24,MgSiO3,solid
4510731.4998919778,5057.0801266066046,10.519447640626721,81373280543.416565,300,3.2068785829538957e+24,MgSiO3,solid
4552887.8690498462,5036.4553212327264,10.502307016305096,79137485480.658981,300,3.2617762437811443e+24,MgSiO3,solid
4595044.2382077156,5015.7592484449806,10.486541218485657,76914328301.23201,300,3.3174710096411701e+24,MgSiO3,solid
4637200.607365584,4994.9912720425418,10.472084045264015,74703527828.480011,300,3.3739630310709845e+24,MgSiO3,solid
4679356.9765234534,4974.1409706806844,10.45887224086492,72504823330.196304,300,3.4312522432550314e+24,MgSiO3,solid
4721513.3456813218,4953.2021613244196,10.446845495642261,70317974518.623474,300,3.4893383660251783e+24,MgSiO3,solid
4763669.7148391912,4932.1700405556276,10.435946446079067,68142761550.453049,300,3.5482209038607243e+24,MgSiO3,solid
4805826.0839970596,4911.0409688246646,10.4261204156861,65978983739.28968,300,3.6078991269338894e+24,MgSiO3,solid
4847982.453154929,4889.8146383643689,10.417310170196691,63826432448.242996,300,3.6683717483090155e+24,MgSiO3,solid
4890138.8223127974,4868.4850406804489,10.409464687968857,61684933139.866379,300,3.7296376659414852e+24,MgSiO3,solid
4932295.1914706668,4847.0384245089963,10.40253673254484,59554335608.005089,300,3.7916956655105165e+24,MgSiO3,solid
4974451.5606285362,4825.4693057572922,10.396480179925446,57434501088.426392,300,3.8545442033143619e+24,MgSiO3,solid
5016607.9297864046,4803.7935242819149,10.391250018570048,55325302258.819435,300,3.918181406270315e+24,MgSiO3,solid
5058764.298944274,4781.9767871046815,10.386802349396577,53226623238.795074,300,3.982605071914713e+24,MgSiO3,solid
5100920.6681021424,4760.0421740276161,10.383094385781529,51138359589.886246,300,4.0478126684029263e+24,MgSiO3,solid
5143077.0372600118,4737.9613625970596,10.380084453559965,49060418315.547531,300,4.1138013345093718e+24,MgSiO3,solid
5185233.4064178802,4715.7366973601665,10.377731991025506,46992717861.155602,300,4.1805678796275003e+24,MgSiO3,solid
5227389.7755757496,4693.3680278212405,10.375997548930339,44935188114.008789,300,4.2481087837698083e+24,MgSiO3,solid
5269546.144733618,4670.8451586215788,10.374842790485213,42887770403.327484,300,4.3164201975678253e+24,MgSiO3,solid
5311702.5138914874,4648.1630654515766,10.374230491359437,40850417500.253769,300,4.3854979422721275e+24,MgSiO3,solid
5353858.8830493558,4625.3177658661243,10.374124539680889,38823093617.851761,300,4.4553375097523245e+24,MgSiO3,solid
5396015.2522072252,4602.2911565608347,10.374489936036007,36805774411.107269,300,4.5259340624970718e+24,MgSiO3,solid
5438171.6213650946,4579.0931725822911,10.375292793469788,34798446976.928116,300,4.5972824336140605e+24,MgSiO3,solid
5480327.990522963,4555.7049384171096,10.376500337485801,32801109854.143982,300,4.6693771268300205e+24,MgSiO3,solid
5522484.3596808324,4532.123088094093,10.37808090604617,30813773023.506264,300,4.7422123164907272e+24,MgSiO3,solid
5564640.7288387008,4508.3382400058617,10.380003949571588,28836457907.688446,300,4.8157818475609888e+24,MgSiO3,solid
5606797.0979965702,4484.3470487572149,10.382240030941306,26869197371.285698,300,4.8900792356246605e+24,MgSiO3,solid
5648953.4671544386,4460.1365086739115,10.384760825493142,24912035720.81517,300,4.9650976668846288e+24,MgSiO3,solid
5691109.836312308,4435.7018915820727,10.387539121023476,22965028704.715775,300,5.0408299981628293e+24,MgSiO3,solid
5733266.2054701764,4411.0301768309655,10.390548817787248,21028243513.348434,300,5.1172687569002295e+24,MgSiO3,solid
5775422.5746280458,4386.1154121887612,10.393762874818725,19101751976.752037,300,5.1944056917244109e+24,MgSiO3,solid
5817578.9437859142,4360.9442498871613,10.397150689109045,17185627029.552208,300,5.272231102002236e+24,MgSiO3,solid
5859735.3129437836,4335.5086934851352,10.400685036160889,15279963221.482954,300,5.3507353799668409e+24,MgSiO3,solid
5901891.682101653,4309.7946795197495,10.404339467227157,13384862547.170044,300,5.4299085326812071e+24,MgSiO3,solid
5944048.0512595214,4285.6938138537744,10.401163052100573,11586669744.471142,300,5.5060745015951631e+24,MgSiO3,solid
5986204.4204173908,4261.5929481877993,10.380519136145821,10022888171.813177,300,5.5733676479964416e+24,MgSiO3,solid
6028360.7895752592,4237.4920825218242,10.36000796771299,8476871200.0478649,300,5.6409739614563887e+24,MgSiO3,solid
6070517.1587331286,4213.3912168558491,10.339559995073673,6949153526.8681536,300,5.7088545055675067e+24,MgSiO3,solid
6112673.527890997,4189.2903511898739,10.314989220551174,5491640280.6433363,300,5.7746639318139393e+24,MgSiO3,solid
6154829.8970488664,4165.1894855238988,10.290436256775326,4053611398.3112068,300,5.8406533433566643e+24,MgSiO3,solid
6196986.2662067348,4141.0886198579237,10.26593291352072,2634345463.0432758,300,5.9068375097548129e+24,MgSiO3,solid
6239142.6353646042,4116.9877541919486,10.241378802240302,1234780624.3053441,300,5.9731551273247215e+24,MgSiO3,solid
6281299.0045224736,0,10.241378802240302,0,300,5.9731551273247215e+24,MgSiO3,unknown
