# label: core_mass_fraction=0.325__planet_mass=20.0
# converged: True
# cmb_mass: 3.8847335497588705e+25
# core_mantle_mass: 3.8847335497588705e+25
# core_eos: PALEOS:iron
# mantle_eos: PALEOS:MgSiO3
# ice_layer_eos: 
# rock_solidus_id: Monteux16-solidus
# rock_liquidus_id: Monteux16-liquidus-A-chondritic
radius_m,density_kg_m3,gravity_m_s2,pressure_Pa,temperature_K,mass_enclosed_kg,main_component,phase
0,43801.088164238732,0,11873333421209.979,300,0,Fe,solid
91561.989162216676,43797.903239908337,1.121177375660543,11871085203020.875,300,1.4083122422664439e+20,Fe,solid
183123.97832443335,43788.347075229016,2.2420615488734867,11864342120631.096,300,1.1265061020471936e+21,Fe,solid
274685.96748665004,43772.415475338697,3.3623572627162082,11853108877936.664,300,3.8010745365399418e+21,Fe,solid
366247.9566488667,43750.114099953455,4.4817737516798903,11837393318190.301,300,9.0073131445356939e+21,Fe,solid
457809.94581108337,43721.591820334186,5.6000219096669488,11817206380778.334,300,1.7585585117553901e+22,Fe,solid
549371.93497330009,43686.707815102913,6.7168095524728733,11792562084822.373,300,3.0373268477180937e+22,Fe,solid
640933.92413551675,43645.444833939182,7.8318401282344414,11763477615092.412,300,4.8203224019332135e+22,Fe,solid
732495.91329773341,43597.784616537807,8.9448202671719326,11729973279078.15,300,7.1905792767147614e+22,Fe,solid
824057.90245995007,43543.705890639903,10.055459513039523,11692072392093.59,300,1.0230669416880177e+23,Fe,solid
915619.89162216673,43483.26270890476,11.163466499634445,11649801337370.059,300,1.4022417905723041e+23,Fe,solid
1007181.8807843834,43416.705439725389,12.268548950797012,11603189566056.203,300,1.8646902965013076e+23,Fe,solid
1098743.8699466002,43343.690197139382,13.37041368041058,11552269597217.998,300,2.4184455954996167e+23,Fe,solid
1190305.8591088168,43264.184002006987,14.468766592401581,11497077017838.732,300,3.0714661374394329e+23,Fe,solid
1281867.8482710335,43178.554739962754,15.563312680739505,11437650482819.023,300,3.8316356860405718e+23,Fe,solid
1373429.8374332502,43086.555205179917,16.653760125461318,11374031007701.041,300,4.7066550758222097e+23,Fe,solid
1464991.8265954668,42987.99036501722,17.739822357837994,11306262545183.201,300,5.7041383273515771e+23,Fe,solid
1556553.8157576835,42883.486862837686,18.821208425617609,11234393229236.182,300,6.8317838171266708e+23,Fe,solid
1648115.8049199001,42772.373327146488,19.897627478099182,11158473854182.699,300,8.0971279497169371e+23,Fe,solid
1739677.7940821168,42655.117718657326,20.968788853718571,11078557854084.605,300,9.5075419203605452e+23,Fe,solid
1831239.7832443335,42531.419632103454,22.034402080048487,10994701302742.877,300,1.1070231714964398e+24,Fe,solid
1922801.7724065501,42401.532928537395,23.094176873798475,10906962913697.627,300,1.2792238110104126e+24,Fe,solid
2014363.7615687668,42265.184214308407,24.147823140814921,10815404040228.098,300,1.4680436673024082e+24,Fe,solid
2105925.7507309834,42122.76150975292,25.19505097608106,10720088675352.664,300,1.6741537761637356e+24,Fe,solid
2197487.7398932003,41973.779086282055,26.23557066371697,10621083451828.83,300,1.8982086524525764e+24,Fe,solid
2289049.7290554168,41818.775754143542,27.269092676979568,10518457642153.23,300,2.1408462900939826e+24,Fe,solid
2380611.7182176337,41657.393128694006,28.29532767826262,10412283158561.633,300,2.402688162079884e+24,Fe,solid
2472173.7073798501,41489.575169696414,29.313986519096723,10302634553028.936,300,2.6843392204690776e+24,Fe,solid
2563735.696542067,41315.74424271936,30.32478024014933,10189589017269.166,300,2.9863878963872392e+24,Fe,solid
2655297.6857042834,41135.599273866879,31.327420071224726,10073226382735.488,300,3.3094061000269109e+24,Fe,solid
2746859.6748665003,40949.106445170735,32.321617431264059,9953629120620.1895,300,3.6539492206475152e+24,Fe,solid
2838421.6640287167,40756.310630267479,33.307083985257108,9830882269159.5996,300,4.0205552747131883e+24,Fe,solid
