# label: core_mass_fraction=0.325__planet_mass=5.0
# converged: True
# cmb_mass: 9.7050316404954741e+24
# core_mantle_mass: 9.7050316404954741e+24
# core_eos: PALEOS:iron
# mantle_eos: PALEOS:MgSiO3
# ice_layer_eos: 
# rock_solidus_id: Monteux16-solidus
# rock_liquidus_id: Monteux16-liquidus-A-chondritic
radius_m,density_kg_m3,gravity_m_s2,pressure_Pa,temperature_K,mass_enclosed_kg,main_component,phase
0,23978.833119446346,0,2248777780278.3062,300,0,Fe,solid
65631.42630070071,23977.609841378631,0.44001254144540847,2248431509407.1733,300,2.8397707461713052e+19,Fe,solid
131262.85260140142,23973.939475440096,0.87994418107026695,2247392866240.0679,300,2.271614192631211e+20,Fe,solid
196894.27890210215,23967.820429324518,1.3197143897273522,2245662360138.3599,300,7.665506553857295e+20,Fe,solid
262525.70520280284,23959.250037409307,1.7592416675300346,2243240837380.3271,300,1.8165931874788597e+21,Fe,solid
328157.13150350354,23948.224577845554,2.198445345179743,2240129487003.3672,300,3.5470918132352586e+21,Fe,solid
393788.55780420429,23934.739256463174,2.6372443719627356,2236329837661.5371,300,6.1273574194612944e+21,Fe,solid
459419.98410490499,23918.788198088263,3.075557245033731,2231843756995.2168,300,9.7261303033111941e+21,Fe,solid
525051.41040560568,23900.36443856066,3.5133020119981686,2226673451618.5527,300,1.4511579794747001e+22,Fe,solid
590682.83670630644,23879.492157370718,3.9504001222266871,2220821449851.4351,300,2.0650836438801782e+22,Fe,solid
656314.26300700707,23856.266469522736,4.3867718852080397,2214290625476.3989,300,2.8310696582867893e+22,Fe,solid
721945.68930770783,23830.558494927747,4.8223343171159492,2207084199908.4771,300,3.765727858560473e+22,Fe,solid
787577.11560840858,23802.35683695582,5.2570050142725595,2199205721490.0293,300,4.885531837312134e+22,Fe,solid
853208.54190910922,23771.648909936586,5.6907021531484361,2190659065490.7441,300,6.2068169438976446e+22,Fe,solid
918839.96820980997,23738.597669739549,6.1233444903625713,2181448434107.6377,300,7.7457802844178565e+22,Fe,solid
984471.39451051061,23703.09300066204,6.5548513626823723,2171578356465.054,300,9.5184807217185776e+22,Fe,solid
1050102.8208112114,23665.055410481869,6.9851426870236732,2161053688614.6646,300,1.1540838875390598e+23,Fe,solid
1115734.2471119121,23624.599394006465,7.4141389604507282,2149879613535.4692,300,1.3828637121769673e+23,Fe,solid
1181365.6734126129,23581.754542743172,7.8417612601762139,2138061641133.7959,300,1.6397519593936523e+23,Fe,solid
1246997.0997133134,23536.339261610316,8.2679300594960292,2125605587426.384,300,1.9262896180250748e+23,Fe,solid
1312628.5260140141,23488.58584054399,8.6925604404763863,2112517540143.5366,300,2.243972807027637e+23,Fe,solid
1378259.9523147149,23438.330583562954,9.1155709388890092,2098804021621.8589,300,2.5943262116462781e+23,Fe,solid
1443891.3786154157,23385.597258866015,9.5368807319047093,2084471862510.1086,300,2.9788527637247852e+23,Fe,solid
1509522.8049161164,23330.480132853707,9.9564089448465278,2069528184977.0698,300,3.3990263874796904e+23,Fe,solid
1575154.2312168172,23272.816993787546,10.374074651189723,2053980402711.5518,300,3.8562919995002681e+23,Fe,solid
1640785.6575175177,23212.805008739793,10.789796872561784,2037836220922.3889,300,4.3520655087485332e+23,Fe,solid
1706417.0838182184,23150.250805968793,11.203494578742426,2021103636338.4414,300,4.8877338165592503e+23,Fe,solid
1772048.5101189192,23085.299377666059,11.615086687663581,2003790937208.5945,300,5.4646548166399217e+23,Fe,solid
1837679.9364196199,23017.881170227232,12.024492065409413,1985906703301.759,300,6.0841573950707954e+23,Fe,solid
1903311.3627203207,22947.933470714885,12.431629526216305,1967459805906.8718,300,6.7475414303048607e+23,Fe,solid
1968942.7890210212,22875.666301772162,12.836417832472865,1948459407832.8943,300,7.4560777931678501e+23,Fe,solid
2034574.215321722,22800.833323656305,13.23877569471993,1928914963408.814,300,8.2110083468582399e+23,Fe,solid
2100205.6416224227,22723.539055511887,13.638621771650557,1908836218483.6433,300,9.0135459469472562e+23,Fe,solid
2165837.0679231235,22643.876436190829,14.035874670110031,1888233210426.4204,300,9.8648744413788557e+23,Fe,solid
2231468.4942238242,22561.683041894907,14.43045294509586,1867116268126.209,300,1.0766148670469745e+24,Fe,solid
2297099.920524525,22476.975116577516,14.822275099757771,1845496011992.0981,300,1.1718494466909377e+24,Fe,solid
2362731.3468252257,22389.861580020337,15.211259585397727,1823383353953.2021,300,1.2723008655759939e+24,Fe,solid
2428362.7731259265,22300.315713805529,15.59732431507053,1800789449093.5054,300,1.3780746415408835e+24,Fe,solid
2493994.1994266268,22208.267286055459,15.980384499441017,1777725438482.3174,300,1.4892652186317802e+24,Fe,solid
2559625.6257273275,22113.724796252616,16.360358984746306,1754203028946.7776,300,1.6059709484211127e+24,Fe,solid
2625257.0520280283,22016.694541406927,16.737167038336043,1730234220859.2334,300,1.7282872440988871e+24,Fe,solid
2690888.478328729,21917.180306890208,17.110727493302818,1705831228286.0764,300,1.8563045200912967e+24,Fe,solid
2756519.9046294298,21815.183562310329,17.480958748482173,1681006478987.7437,300,1.9901081920607238e+24,Fe,solid
2822151.3309301306,21710.702998769462,17.847778768452589,1655772614418.7166,300,2.1297786769057366e+24,Fe,solid
2887782.7572308313,21603.734907283375,18.21110508353549,1630142489727.5212,300,2.2753913927610918e+24,Fe,solid
2953414.1835315321,21494.272416960441,18.570854789795245,1604129173756.7288,300,2.4270167589977324e+24,Fe,solid
3019045.6098322328,21382.306130515626,18.92694454903917,1577745949042.9548,300,2.5847201962227899e+24,Fe,solid
3084677.0361329336,21267.823320973072,19.279290588817524,1551006311816.8601,300,2.7485621262795828e+24,Fe,solid
3150308.4624336343,21150.808268464923,19.627808702423508,1523923972003.1494,300,2.9185979722476164e+24,Fe,solid
3215939.8887343346,21031.241963192806,19.972414248893269,1496512853220.5732,300,3.0948781584425827e+24,Fe,solid
3281571.3150350354,20909.101606234424,20.313022153005903,1468787092781.9263,300,3.2774481104163659e+24,Fe,solid
3347202.7413357361,20784.526775763603,20.649546905283444,1440761041694.0476,300,3.4663482549570307e+24,Fe,solid
3412834.1676364369,20657.366563890424,20.981902561990868,1412449264657.8218,300,3.6616140200888347e+24,Fe,solid
3478465.5939371376,20527.566343405993,21.310002745136103,1383866540068.1782,300,3.8632758350722193e+24,Fe,solid
3544097.0202378384,20395.246566852198,21.633760642470016,1355027860014.0903,300,4.0713591304038148e+24,Fe,solid
3609728.4465385391,20260.33581889062,21.953089007486415,1325948430278.5769,300,4.2858843378164398e+24,Fe,solid
3675359.8728392399,20122.745523755508,22.267899796991255,1296643674269.709,300,4.5068661182461226e+24,Fe,solid
3740991.2991399406,19982.635886284814,22.578105025072244,1267129131692.6577,300,4.7343083307015067e+24,Fe,solid
3806622.7254406414,19839.788591678949,22.883620074047396,1237420379870.9829,300,4.9682112568497451e+24,Fe,solid
3872254.1517413417,19694.347239889074,23.184355049385996,1207533290574.1162,300,5.2085684781986494e+24,Fe,solid
3937885.5780420424,19546.210275539466,23.480214335056612,1177484039724.6248,300,5.4553659468467265e+24,Fe,solid
4003517.0043427432,19395.298801331286,23.771106879245774,1147288828460.8521,300,5.7085840599926134e+24,Fe,solid
4069148.4306434439,19241.747108151834,24.056943293030329,1116963938623.8157,300,5.9681969864970598e+24,Fe,solid
4134779.8569441447,19085.433845979496,24.337629363681334,1086525915261.8293,300,6.2341707864790087e+24,Fe,solid
4200411.2832448455,18926.309516195284,24.613066707920694,1055991550717.7489,300,6.5064634851494016e+24,Fe,solid
4266042.7095455462,18764.358376042648,24.883160492439064,1025377656212.4625,300,6.7850268624670605e+24,Fe,solid
4331674.135846247,18599.554309551379,25.147814620740206,994701186283.45154,300,7.0698050384291682e+24,Fe,solid
4397305.5621469477,18431.860734750564,25.406925285883286,963979435858.52234,300,7.3607324071396216e+24,Fe,solid
4462936.9884476485,18261.229032712428,25.660391548707981,933229721763.59619,300,7.6577364592898118e+24,Fe,solid
4528568.4147483492,18087.598067813196,25.908109482979004,902469546472.83862,300,7.9607358755526236e+24,Fe,solid
4594199.84104905,17910.892564344998,26.149974994951453,871716506980.22144,300,8.2696411807098692e+24,Fe,solid
4659831.2673497507,17731.193390604334,26.38587748760018,840988491210.724,300,8.5843525219665592e+24,Fe,solid
4725462.6936504515,17548.283086365071,26.615707740871404,810303423042.53418,300,8.9047620142546188e+24,Fe,solid
4791094.1199511522,17362.141108283045,26.839352828637445,779679419916.82202,300,9.2307515889560138e+24,Fe,solid
4856725.546251853,17172.690730359423,27.056691707768056,749134930377.94971,300,9.5621914490197127e+24,Fe,solid
