# label: core_mass_fraction=0.325__planet_mass=5.0
# converged: True
# cmb_mass: 9.7083010509903965e+24
# core_mantle_mass: 9.7083010509903965e+24
# core_eos: PALEOS:iron
# mantle_eos: PALEOS:MgSiO3
# ice_layer_eos: 
# rock_solidus_id: Monteux16-solidus
# rock_liquidus_id: Monteux16-liquidus-A-chondritic
radius_m,density_kg_m3,gravity_m_s2,pressure_Pa,temperature_K,mass_enclosed_kg,main_component,phase
0,23929.336236215997,0,2242621393923.9233,1012.810556420053,0,Fe,solid
65665.396977325247,23928.112509423081,0.43928617887320354,2242276265319.8057,1012.810556420053,2.8380186098957222e+19,Fe,solid
131330.79395465049,23924.44079960827,0.87849136439083364,2241241048871.7915,1012.810556420053,2.2702119622720818e+20,Fe,solid
196996.19093197573,23918.325855675703,1.3175350892187816,2239516253339.3398,1012.5978767299521,7.6607722323401533e+20,Fe,solid
262661.58790930099,23909.769826708856,1.75633617573695,2237102722424.375,1012.1959936863101,1.8154712497250071e+21,Fe,solid
328326.98488662625,23898.762875917746,2.1948139964992937,2234001642373.6772,1011.6792154602014,3.5449000875200726e+21,Fe,solid
393992.38186395145,23885.300236919971,2.6328876578740505,2230214537586.4414,1011.0475061234622,6.1235690710285534e+21,Fe,solid
459657.77884127671,23869.376067630878,3.0704758776213157,2225743269561.8726,1010.3008296367781,9.7201146085433462e+21,Fe,solid
525323.17581860197,23851.000858310341,3.5074969942362815,2220590036840.8472,1009.439147360556,1.4502603023213757e+22,Fe,solid
590988.57279592718,23830.280799377259,3.943873576053595,2214757347968.6719,1008.4624136695608,2.0638049873410545e+22,Fe,solid
656653.96977325249,23807.094500370004,4.379526318999762,2208248062095.8384,1007.3705816565291,2.829317874758632e+22,Fe,solid
722319.3667505777,23781.429735219837,4.8143721069216898,2201065392659.7456,1006.1636035281821,3.7634008610554029e+22,Fe,solid
787984.7637279029,23753.27522159279,5.2483284444838922,2193212877789.8113,1004.8414263017896,4.8825175695489071e+22,Fe,solid
853650.16070522822,23722.688360556222,5.6813134571684865,2184694380307.4678,1003.4039940395444,6.2029933503929335e+22,Fe,solid
919315.55768255342,23689.756003750379,6.1132458912751968,2175514087726.1655,1001.8512465346847,7.7410152805775004e+22,Fe,solid
984980.95465987874,23654.311355139613,6.5440451139213511,2165676512251.3718,1000.1831167502731,9.5126321639288845e+22,Fe,solid
1050646.3516372039,23616.338335429056,6.9736311130418809,2155186490780.5703,998.3995324907894,1.1533754531109592e+23,Fe,solid
1116311.7486145291,23576.082610961803,7.4019244973893237,2144049184903.2617,996.50042253094512,1.382015463961838e+23,Fe,solid
1181977.1455918544,23533.311111299547,7.8288464965338278,2132270080900.9636,994.4857061093519,1.6387466473790252e+23,Fe,solid
1247642.5425691798,23488.010317120265,8.254318351092401,2119854972966.3406,992.3552956964262,1.9251118275747725e+23,Fe,solid
1313307.939546505,23440.431903941961,8.6782571007931253,2106809911749.0454,990.10909123703766,2.2426079081362528e+23,Fe,solid
1378973.3365238302,23390.262260384407,9.100581069727852,2093141386801.2114,987.74700168251502,2.5927556647116309e+23,Fe,solid
1444638.7335011554,23337.747599147624,9.5212091570024491,2078856202469.4482,985.26893934234909,2.9770562347182187e+23,Fe,solid
1510304.1304784806,23282.725359696244,9.9400602688142037,2063961453804.7458,982.67479948101425,3.3969819859876619e+23,Fe,solid
1575969.5274558058,23225.288964069518,10.357053318451804,2048464526562.4734,979.96447375538708,3.8539765167659423e+23,Fe,solid
1641634.9244331312,23165.381511624502,10.772107226295354,2032373097202.3794,977.13783926408416,4.3494546557133769e+23,Fe,solid
1707300.3214104564,23103.060789003779,11.185140919816362,2015695132888.5925,974.19476701269946,4.8848024619046148e+23,Fe,solid
1772965.7183877816,23038.221767295538,11.596073333577753,1998438891489.6211,971.1351122080714,5.4613772248286429e+23,Fe,solid
1838631.1153651068,22971.045055045019,12.004823409233852,1980612921578.353,967.9587328499133,6.0805074643887828e+23,Fe,solid
1904296.512342432,22901.2831063866,12.411310095530402,1962226062432.0554,964.66546534716861,6.7434929309026914e+23,Fe,solid
1969961.9093197575,22829.203228195147,12.815452348304554,1943287444032.3755,961.25514504188243,7.4516046051023643e+23,Fe,solid
2035627.3062970827,22754.622315038305,13.217169130484862,1923806487065.3398,957.72759233250974,8.2060846981341195e+23,Fe,solid
2101292.7032744079,22677.501282343303,13.616379412091298,1903792902921.3552,954.08261592629106,9.0081466515586245e+23,Fe,solid
2166958.1002517333,22598.063479965422,14.013002170235243,1883256693695.2073,950.32002466790993,9.858975137350876e+23,Fe,solid
2232623.4972290583,22516.135774033079,14.406956389119479,1862208152186.0623,946.43961373388436,1.0759726057900197e+24,Fe,solid
2298288.8942063837,22431.695664031475,14.798161060038208,1840657861897.4648,942.44116104089926,1.1711526546010268e+24,Fe,solid
2363954.2911837087,22344.760139251317,15.186535181377034,1818616697037.3401,938.3244393158343,1.2715474964899075e+24,Fe,solid
2429619.6881610341,22255.471075475925,15.571995332882913,1796095665097.6711,934.0891886648252,1.377259594626606e+24,Fe,solid
2495285.0851383596,22163.703490101194,15.954457166132977,1773105951726.7742,929.73511120057071,1.4883852625931935e+24,Fe,solid
2560950.4821156845,22069.445849026073,16.333840889028068,1749659261524.4766,925.2619399223812,1.6050244370372818e+24,Fe,solid
2626615.87909301,21972.705676414647,16.710066297411604,1725767521037.5808,920.66938674115636,1.7272722499656859e+24,Fe,solid
2692281.2760703349,21873.485084747266,17.083052686645249,1701442873302.7266,915.95713417532761,1.8552188733589452e+24,Fe,solid
2757946.6730476604,21771.785507968583,17.452718851608939,1676697677846.3909,911.12483955660002,1.988949519171331e+24,Fe,solid
2823612.0700249858,21667.607652126775,17.81898308670085,1651544510684.8882,906.17213709508599,2.1285444393308393e+24,Fe,solid
2889277.4670023108,21560.945382665079,18.181763185837418,1625996164324.3706,901.09862637006097,2.2740789257391938e+24,Fe,solid
2954942.8639796362,21451.793195057668,18.540976442453349,1600065647760.8262,895.90388095348203,2.4256233102718484e+24,Fe,solid
3020608.2609569612,21340.143098547043,18.89653964950158,1573766186480.0825,890.58744617138973,2.583242964777983e+24,Fe,solid
3086273.6579342866,21225.978680500117,19.248369099453331,1547111222457.8022,885.14882489847218,2.7469983010805079e+24,Fe,solid
3151939.0549116116,21109.28844863144,19.596380584298061,1520114414159.4873,879.58749573328419,2.9169447709760562e+24,Fe,solid
3217604.451888937,20990.05112084913,19.940489395543491,1492789636540.4751,873.90289365737272,3.0931328662349949e+24,Fe,solid
3283269.8488662625,20868.3211606933,20.280610324215598,1465150981045.9421,868.09442817033027,3.275608118601415e+24,Fe,solid
3348935.2458435874,20744.105285515332,20.616657660858611,1437212755610.9011,862.16146524038845,3.464411099793135e+24,Fe,solid
3414600.6428209129,20617.287791925643,20.948545195535022,1408989484660.2021,856.10331638999492,3.6595774215017054e+24,Fe,solid
3480266.0397982378,20487.837938980956,21.276186217825575,1380495909108.5332,849.91925570652472,3.8611377353923982e+24,Fe,solid
3545931.4367755633,20355.962526680523,21.599493516829277,1351746986360.4194,843.6085197445949,4.0691177331042208e+24,Fe,solid
3611596.8337528887,20221.412909672672,21.91837938116338,1322757890310.2227,837.17027990488134,4.2835381462499021e+24,Fe,solid
3677262.2307302137,20084.274602005764,22.232753255773918,1293543959040.9004,830.60364382252908,4.5044093883296104e+24,Fe,solid
3742927.6277075391,19944.537286681807,22.542525239600391,1264120607119.1262,823.90763342858952,4.7317317323859067e+24,Fe,solid
3808593.0246848641,19802.15054754923,22.847612004142576,1234503469508.8645,817.08119800172528,4.9655103170578372e+24,Fe,solid
3874258.4216621895,19657.093885086906,23.147928397264131,1204708347636.634,810.1232050784173,5.2057427334818432e+24,Fe,solid
3939923.818639515,19509.427397671137,23.443387221986821,1174751206647.6328,803.03244347726559,5.4524186280865747e+24,Fe,solid
4005589.2156168399,19358.991298122201,23.733899236490522,1144648175405.7363,795.80758447965127,5.7055197025928969e+24,Fe,solid
4071254.6125941654,19205.844751730139,24.019373154113218,1114415546493.4968,788.44720656728907,5.9650197140138907e+24,Fe,solid
4136920.0095714903,19050.015580561678,24.299715643350993,1084069776212.1451,780.94976921878572,6.2308844746548455e+24,Fe,solid
4202585.4065488158,18891.382202195069,24.57483132785805,1053627484581.5892,773.31360414888491,6.5030718521132733e+24,Fe,solid
4268250.8035261407,18729.927281588127,24.844622786446688,1023105455340.4156,765.5368993376311,6.7815317692788889e+24,Fe,solid
4333916.2005034667,18565.624042080344,25.108990553087327,992520635945.88721,757.61768401693109,7.0662062043336328e+24,Fe,solid
4399581.5974807916,18398.438318511697,25.367833116908482,961890137573.94617,749.55382623518028,7.3570291907516445e+24,Fe,solid
4465246.9944581166,18228.32168438012,25.621046922196779,931231235119.21118,741.34300221937735,7.65392681729929e+24,Fe,solid
4530912.3914354416,18055.211405140501,25.86852636839696,900561367194.97876,732.98266344443118,7.9568172280351426e+24,Fe,solid
4596577.7884127675,17879.071612024105,26.110163810111867,869898136133.22327,724.47004233960786,8.2656106223099992e+24,Fe,solid
4662243.1853900924,17699.929924864256,26.345849557102447,839259307984.59741,715.80211506170815,8.5802092547668479e+24,Fe,solid
4727908.5823674174,17517.566411870321,26.575471874287764,808662812518.43091,706.97553724566831,8.9005074353409122e+24,Fe,solid
4793573.9793447433,17332.031099468146,26.798917096300382,778126795953.72546,697.98666116068102,9.2263886809104049e+24,Fe,solid
4859239.3763220683,17143.145648903279,27.016077762274399,747669337813.55884,688.83137204972502,9.5577246910410525e+24,Fe,solid
4924904.7732993932,8385.0793039591899,26.961116637127958,726022710913.54163,682.22343479176345,9.7978137601249254e+24,MgSiO3,solid
4990570.1702767191,8334.9046996794714,26.710667733738813,711291281799.69702,678.18286543244164,9.9673732028427263e+24,MgSiO3,solid
5056235.5672540441,8284.9479331046496,26.473116237598941,696781005710.55542,674.15923632444844,1.0140411572549337e+25,MgSiO3,solid
5121900.9642313691,8235.1440832089229,26.247757420379131,682483250818.63745,670.14210908943949,1.0316937936320311e+25,MgSiO3,solid
5187566.3612086941,8185.5329194076139,26.033931420669319,668389989112.16382,666.12981902033698,1.0496959617160169e+25,MgSiO3,solid
5253231.75818602,8136.0637057335807,25.831009851895438,654493588126.12109,662.12071198358638,1.0680482719130895e+25,MgSiO3,solid
5318897.1551633449,8086.6836531544686,25.638395802319415,640786810942.26233,658.11315442986017,1.0867512127351931e+25,MgSiO3,solid
5384562.5521406699,8037.4650602941101,25.455523835039163,627262816189.1062,654.10556008832714,1.1058051508000188e+25,MgSiO3,solid
5450227.9491179958,7988.2985941328398,25.281859987988597,613915158041.93713,650.09635243037519,1.1252103308310042e+25,MgSiO3,solid
5515893.3460953208,7939.206766074476,25.11690177393762,600737786222.80676,646.0840023896659,1.1449668756573321e+25,MgSiO3,solid
5581558.7430726457,7890.1799029911799,24.960178180492129,587725046000.53149,642.06701719232933,1.1650747862139329e+25,MgSiO3,solid
5647224.1400499716,7841.1556426311699,24.811249670094014,574871678190.69446,638.04394032677101,1.1855339415414828e+25,MgSiO3,solid
5712889.5370272966,7792.1991370471242,24.669708180021164,562172819155.6449,634.01337878141544,1.2063440987864039e+25,MgSiO3,solid
5778554.9340046216,7743.1948687655349,24.535170840066442,549623937187.62048,629.97394753274727,1.2275048775347852e+25,MgSiO3,solid
5844220.3309819466,7694.2360344835033,24.407241188327326,537220465745.69019,625.92420394438943,1.2490156473058533e+25,MgSiO3,solid
5909885.7279592725,7645.1970900861106,24.285574424286434,524958472947.76825,621.8628050017777,1.2708756805010981e+25,MgSiO3,solid
5975551.1249365974,7596.1719409176694,24.169847153592301,512834304785.60974,617.78846252827077,1.2930841033367581e+25,MgSiO3,solid
6041216.5219139224,7547.0408248195617,24.059747893528591,500844484671.92688,613.69984649118248,1.3156398745576461e+25,MgSiO3,solid
6106881.9188912483,7497.8924280185583,23.954977073014099,488985713440.3894,609.5956444813005,1.3385417854371479e+25,MgSiO3,solid
6172547.3158685733,7448.6269019815954,23.855247032602751,477254869345.62531,605.47451225028829,1.3617884597772214e+25,MgSiO3,solid
6238212.7128458982,7399.27995095805,23.760282024483605,465649008063.21942,601.33510649249695,1.385378353908398e+25,MgSiO3,solid
6303878.1098232232,7349.8292035579443,23.669818212480848,454165362689.71448,597.17607520381239,1.4093097566897822e+25,MgSiO3,solid
6369543.5068005491,7300.2260699530798,23.583603672053798,442801343742.61072,592.99604240790802,1.4335807895090521e+25,MgSiO3,solid
6435208.9037778741,7250.5251664485877,23.501398390296906,431554539160.36615,588.79364416577403,1.4581894062824576e+25,MgSiO3,solid
6500874.300755199,7200.663241781107,23.422974265939743,420422714302.39624,584.56749189901302,1.4831333934548221e+25,MgSiO3,solid
6566539.6977325249,7150.6232657784713,23.348115109347027,409403811949.07385,580.31618498073578,1.5084103699995424e+25,MgSiO3,solid
6632205.0947098499,7100.4113772324608,23.276616642518594,398495952301.72986,576.03831660303615,1.5340177874185878e+25,MgSiO3,solid
6697870.4916871749,7050.0335796940981,23.208286499089414,387697432982.65247,571.73248132968183,1.5599529297425009e+25,MgSiO3,solid
6763535.8886645008,6999.4433960036822,23.142944224329593,377006729035.08728,567.39724832192428,1.5862129135303975e+25,MgSiO3,solid
6829201.2856418258,6948.6339065058874,23.080421275144356,366422492923.23792,563.03118048235865,1.6127946878699656e+25,MgSiO3,solid
6894866.6826191507,6897.5927697368015,23.020551003817797,355943453816.17444,558.63279556692373,1.6396948843669371e+25,MgSiO3,solid
6960532.0795964757,6846.3108596066886,22.963150557142356,345568226158.82098,554.20047464767617,1.6669096510689987e+25,MgSiO3,solid
7026197.4765738016,6794.7734587661544,22.908066487246543,335295762986.40405,549.7326188067625,1.6944353476361833e+25,MgSiO3,solid
7091862.8735511266,6742.9701721482979,22.855151289135833,325125127158.17169,545.22760013735353,1.7222680828891473e+25,MgSiO3,solid
7157528.2705284515,6690.8834206822285,22.804261227174848,315055469794.88123,540.6837242893198,1.7504036782917532e+25,MgSiO3,solid
7223193.6675057774,6638.4996406547089,22.755256335087367,305086030278.79956,536.09923143150536,1.7788376679510683e+25,MgSiO3,solid
7288859.0644831024,6585.7991235226618,22.708000415956324,295216136253.7041,531.47228483378956,1.8075652986173635e+25,MgSiO3,solid
7354524.4614604274,6532.7633212409155,22.662361042223797,285445203624.88116,526.80096722182464,1.836581529684116e+25,MgSiO3,solid
7420189.8584377533,6479.3701010936602,22.618209555691017,275772736559.12708,522.08327110782284,1.8658810331880077e+25,MgSiO3,solid
7485855.2554150783,6425.63197514483,22.575421067518381,266198327484.74811,517.31710972892358,1.8954581938089243e+25,MgSiO3,solid
7551520.6523924032,6371.5134728530793,22.533874458225416,256721657091.56,512.50028438715594,1.9253071088699575e+25,MgSiO3,solid
7617186.0493697282,6316.9653794542191,22.493452377690822,247342494330.88824,507.63046325012618,1.9554215883374037e+25,MgSiO3,solid
7682851.4463470541,6262.0395613514502,22.454041245152435,238060696415.56802,502.70523441017554,1.9857951548207637e+25,MgSiO3,solid
7748516.8433243791,6206.6358155053913,22.415531249207252,228876208819.94455,497.72199935905411,2.0164210435727432e+25,MgSiO3,solid
7814182.240301704,6150.802131496419,22.377816347811425,219789065279.87241,492.67805071906525,2.0472922024892531e+25,MgSiO3,solid
7879847.6372790299,6094.4724767257321,22.340794268280245,210799387792.71591,487.57048678352641,2.0784012921094098e+25,MgSiO3,solid
7945513.0342563549,6037.6273548324616,22.304366507288172,201907386617.34943,482.39622042494312,2.1097406856155327e+25,MgSiO3,solid
8011178.4312336799,5980.2481289229618,22.268438330868804,193113360274.1568,477.15195976421751,2.1413024688331477e+25,MgSiO3,solid
8076843.8282110058,5922.3141148652012,22.232918774414898,184417695545.03137,471.83418727421787,2.1730784402309859e+25,MgSiO3,solid
8142509.2251883307,5863.7960312403302,22.197717160455628,175820847971.21857,466.43911244148325,2.2050599172212156e+25,MgSiO3,solid
8208174.6221656557,5804.6561577982138,22.16273014700732,167323274318.86914,460.96258784085728,2.2372370111390031e+25,MgSiO3,solid
8273840.0191429807,5744.8468301391258,22.127863405295745,158925562953.20779,455.40014101021933,2.2695997936065783e+25,MgSiO3,solid
8339505.4161203066,5684.3551385910096,22.093024756436229,150628394825.7399,449.74693765889958,2.3021378912476909e+25,MgSiO3,solid
8405170.8130976316,5623.0904613265084,22.058122715452665,142432535168.06943,443.99764672513817,2.3348404040350877e+25,MgSiO3,solid
8470836.2100749575,5561.0445401218803,22.023121539135825,134337370132.71204,438.14523543133515,2.3677021535973668e+25,MgSiO3,solid
8536501.6070522815,5498.1515059884441,21.988285320080539,126334313009.41687,432.17640688372472,2.4007516239133005e+25,MgSiO3,solid
8602167.0040296074,5434.5352573091941,21.952398123621013,118454177929.78764,426.10884061650063,2.4338484718120823e+25,MgSiO3,solid
8667832.4010069333,5307.4654830029467,21.914602125641547,110718756494.24103,420.17192885927739,2.4668907902303102e+25,MgSiO3,solid
8733497.7979842573,5244.0045064508467,21.874925368279527,103126838296.99887,414.1100580687268,2.4998748686536559e+25,MgSiO3,solid
8799163.1949615832,5179.9504362681255,21.834281759925407,95654210926.087555,407.89716286301035,2.5328951931168668e+25,MgSiO3,solid
8864828.5919389091,5115.0668176716463,21.793411701046331,88280674489.332138,401.50647414200279,2.5660284760805368e+25,MgSiO3,solid
8930493.9889162332,5049.2994410739866,21.751944603954243,81014467730.924271,394.93267657599864,2.5992294352418595e+25,MgSiO3,solid
8996159.3858935591,4982.5914375853436,21.7097964527958,73856727081.858963,388.1639660159488,2.6324831442914089e+25,MgSiO3,solid
9061824.7828708831,4914.8774673513763,21.666881027008859,66808708669.016975,381.18748287564426,2.6657737413878392e+25,MgSiO3,solid
9127490.179848209,4846.0777785381752,21.623109899846398,59871788352.594414,373.9886862084129,2.6990844289968579e+25,MgSiO3,solid
9193155.5768255349,4776.0888753306854,21.578391451301798,53047485280.933823,366.55121470954742,2.7323972818883832e+25,MgSiO3,solid
9258820.973802859,4704.8016955969342,21.532631151964885,46337447420.663269,358.85653009550612,2.7656933337918486e+25,MgSiO3,solid
9324486.3707801849,4632.1008815328569,21.485730819923738,39743469339.460266,350.88350545793793,2.7989524500044111e+25,MgSiO3,solid
9390151.7677575108,4557.8394832957883,21.437584802254378,33267588765.386173,342.60790601168594,2.8321525712592378e+25,MgSiO3,solid
9455817.1647348348,4481.8385017589662,21.38807990679188,26912088288.56255,334.00172679923628,2.8652697002281352e+25,MgSiO3,solid
9521482.5617121607,4403.8980972909794,21.337095402130366,20679495361.170662,325.03230008084131,2.8982779015215523e+25,MgSiO3,solid
9587147.9586894866,4323.7792764886017,21.28450301762302,14572582297.452576,315.67123665279166,2.931149301688575e+25,MgSiO3,solid
9652813.3556668106,4259.3104320990014,21.208394218180942,9149441627.9407978,308.55241591419684,2.9608143140312976e+25,MgSiO3,solid
9718478.7526441365,4194.8415877094012,21.109003335866952,4418316670.5214996,300,2.9871695541508909e+25,MgSiO3,solid
9784144.1496214624,0,21.109003335866952,0,300,2.9871695541508909e+25,MgSiO3,unknown
