# label: core_mass_fraction=0.325__planet_mass=20.0
# converged: True
# cmb_mass: 3.8829740323169258e+25
# core_mantle_mass: 3.8829740323169258e+25
# core_eos: PALEOS:iron
# mantle_eos: PALEOS:MgSiO3
# ice_layer_eos: 
# rock_solidus_id: Monteux16-solidus
# rock_liquidus_id: Monteux16-liquidus-A-chondritic
radius_m,density_kg_m3,gravity_m_s2,pressure_Pa,temperature_K,mass_enclosed_kg,main_component,phase
0,43728.034221931375,0,11851052322463.971,1716.6491464146616,0,Fe,solid
91580.766263046884,43724.850341600672,1.1196048012953181,11848810406512.703,1716.6491464146616,1.4069138001004945e+20,Fe,solid
183161.53252609377,43715.297320076177,2.2389164325376445,11842086228454.809,1716.6491464146616,1.1253872986636275e+21,Fe,solid
274742.29878914065,43699.463701340901,3.3576426625009006,11830884469159.266,1716.1648731087889,3.7973013708173476e+21,Fe,solid
366323.06505218754,43677.325574648028,4.4754950736602774,11815212909489.904,1715.2939371965167,8.998383589443285e+21,Fe,solid
457903.83131523442,43648.84556610429,5.592182040086052,11795082442488.598,1714.1739652189306,1.7568168969453861e+22,Fe,solid
549484.5975782813,43614.011100922064,6.7074097539305955,11770507059500.555,1712.8048712107447,3.0343204510416989e+22,Fe,solid
641065.36384132819,43572.806819351681,7.8208830702477954,11741503882413.514,1711.1865676977627,4.8155540271629683e+22,Fe,solid
732646.13010437507,43525.214589953066,8.9323087875244376,11708093181175.812,1709.3189650156471,7.1834689346305203e+22,Fe,solid
824226.89636742196,43471.213333846317,10.041394843207653,11670298260284.93,1707.2019654711405,1.0220551478238808e+23,Fe,solid
915807.66263046884,43411.067144873086,11.147849764973781,11628145446865.346,1704.835465799956,1.4008544728583683e+23,Fe,solid
1007388.4288935157,43344.606155518879,12.251382670728358,11581664090668.557,1702.2193546007197,1.8628448522062383e+23,Fe,solid
1098969.1951565626,43271.696976253843,13.351703268606114,11530886564073.066,1699.3535128955602,2.4160519460873547e+23,Fe,solid
1190549.9614196094,43192.36002016702,14.44852185697099,11475848262084.393,1696.2378172708484,3.06842709130172e+23,Fe,solid
1282130.7276826564,43107.008657658291,15.54154932441612,11416587602335.057,1692.8721413025009,3.8278473012294795e+23,Fe,solid
1373711.4939457034,43015.142698263691,16.630495143344536,11353145668940.607,1689.2563323624022,4.7020375906169938e+23,Fe,solid
1465292.2602087501,42916.919554568602,17.715065348956855,11285566515247.494,1685.3902348103527,5.6986127798191154e+23,Fe,solid
1556873.0264717969,42812.577241421728,18.794968547903352,11213897901496.756,1681.2737329484742,6.8252372971521821e+23,Fe,solid
1648453.7927348439,42701.628223574124,19.869913777721372,11138190279413.523,1676.9066889345829,8.0894202813537333e+23,Fe,solid
1740034.5589978909,42584.74889054706,20.939610423399117,11058496769551.184,1672.2889552261902,9.4985108703449959e+23,Fe,solid
1831615.3252609377,42461.234336085028,22.003768217375629,10974873161291.381,1667.4203562258615,1.1059698201230891e+24,Fe,solid
1923196.0915239844,42331.739354094039,23.062097239540812,10887377912844.02,1662.3007132192859,1.2780011410300036e+24,Fe,solid
2014776.8577870314,42195.609898094532,24.114307917235422,10796072151247.26,1656.9298238537128,1.4666319633024755e+24,Fe,solid
2106357.6240500784,42053.580549039631,25.160111025251055,10701019672367.525,1651.3074848591173,1.6725332004061047e+24,Fe,solid
2197938.3903131252,41905.016426196322,26.199217685830167,10602286940899.492,1645.4334760894278,1.89635976572486e+24,Fe,solid
2289519.156576172,41750.245728298949,27.231339368666063,10499943090366.098,1639.3075662307906,2.1387505725610821e+24,Fe,solid
2381099.9228392188,41589.305791258506,28.25618789090289,10394059923118.539,1632.929530913073,2.4003285341354795e+24,Fe,solid
2472680.689102266,41421.93923481855,29.273475417135661,10284711910336.268,1626.299131673102,2.6817005635871314e+24,Fe,solid
2564261.4553653128,41248.362919453037,30.282914459410229,10171976192027,1619.4161278509844,2.9834575739734829e+24,Fe,solid
2655842.2216283595,41068.680772229549,31.284217877223305,10055932577026.703,1612.2802882037906,3.3061744782703524e+24,Fe,solid
2747422.9878914068,40882.664942101706,32.277097075329074,9936662951441.4434,1604.8913456617604,3.6504022173417015e+24,Fe,solid
2839003.7541544535,40690.351630105622,33.26125959301487,9814249799256.3535,1597.2489105756049,4.0166460383392872e+24,Fe,solid
2930584.5204175003,40491.774802292202,34.236423608586094,9688780401785.1875,1589.3527282763046,4.4054214021353473e+24,Fe,solid
