Phi_global	fO2_shift_IW_derived
1.0000000000e+00	-6.1851338858e+00
1.0000000000e+00	-6.1851338858e+00
1.0000000000e+00	-6.1851338858e+00
1.0000000000e+00	-6.1851338858e+00
1.0000000000e+00	-6.1842952471e+00
1.0000000000e+00	-6.1843868129e+00
1.0000000000e+00	-6.1844776165e+00
1.0000000000e+00	-6.1853809331e+00
1.0000000000e+00	-6.1868159415e+00
1.0000000000e+00	-6.1890831865e+00
1.0000000000e+00	-6.1926083838e+00
1.0000000000e+00	-6.1980082644e+00
1.0000000000e+00	-6.2076924985e+00
1.0000000000e+00	-6.2126729410e+00
1.0000000000e+00	-6.2107296681e+00
9.9984059842e-01	-6.1994694964e+00
9.9978631629e-01	-6.1994853863e+00
9.9973264754e-01	-6.1995057980e+00
9.9967884726e-01	-6.1995332352e+00
9.9962505675e-01	-6.1995683568e+00
9.9957062032e-01	-6.1996107484e+00
9.9951611880e-01	-6.1996595490e+00
9.9946105287e-01	-6.1997139614e+00
9.9940486325e-01	-6.1997733042e+00
9.9934804678e-01	-6.1998369567e+00
9.9929061198e-01	-6.1999044338e+00
9.9923258933e-01	-6.1999753342e+00
9.9917438094e-01	-6.2000493004e+00
9.9911587206e-01	-6.2001260581e+00
9.9905636718e-01	-6.2002054088e+00
9.9899571321e-01	-6.2002871533e+00
9.9893467290e-01	-6.2003710635e+00
9.9887296516e-01	-6.2004569950e+00
9.9881054177e-01	-6.2005448060e+00
9.9874714544e-01	-6.2006343813e+00
9.9868249250e-01	-6.2007256187e+00
9.9861627143e-01	-6.2008184267e+00
9.9854981729e-01	-6.2009126222e+00
9.9848312888e-01	-6.2010081086e+00
9.9841620497e-01	-6.2011047947e+00
9.9834904435e-01	-6.2012025932e+00
9.9828164575e-01	-6.2013014209e+00
9.9821400794e-01	-6.2014011979e+00
9.9814612968e-01	-6.2015018477e+00
9.9807800968e-01	-6.2016032981e+00
9.9800964671e-01	-6.2017054817e+00
