Phi_global	P_surf	H2O_kg_total	H2O_vmr	CO2_kg_total	CO2_vmr	O2_kg_total	O2_vmr	H2_vmr	CH4_vmr	CO_kg_total	CO_vmr	N2_vmr	S2_vmr	SO2_vmr	H2S_vmr
1.0000000000e+00	3.3538524635e+02	1.3458899024e+22	3.1714755556e-03	6.9497947665e+19	1.1382701393e-02	8.1816697879e+16	2.6528405466e-05	2.9010370176e-02	6.6217214179e-08	3.0626812797e+21	9.5151387234e-01	4.8887597611e-03	9.0014738382e-08	2.9816457668e-33	5.6889541172e-06
1.0000000000e+00	3.3538524472e+02	1.3458899022e+22	3.1714756045e-03	6.9497947107e+19	1.1382701386e-02	8.1816697879e+16	2.6528405595e-05	2.9010370624e-02	6.6217215544e-08	3.0626812626e+21	9.5151387183e-01	4.8887597771e-03	9.0014739797e-08	2.9816457812e-33	5.6889542359e-06
1.0000000000e+00	3.3538524472e+02	1.3458899022e+22	3.1714756046e-03	6.9497947107e+19	1.1382701386e-02	8.1816697879e+16	2.6528405595e-05	2.9010370624e-02	6.6217215544e-08	3.0626812626e+21	9.5151387183e-01	4.8887597771e-03	9.0014739797e-08	2.9816457812e-33	5.6889542359e-06
1.0000000000e+00	3.3538524472e+02	1.3458899022e+22	3.1714756046e-03	6.9497947107e+19	1.1382701386e-02	8.1816697879e+16	2.6528405595e-05	2.9010370624e-02	6.6217215544e-08	3.0626812626e+21	9.5151387183e-01	4.8887597771e-03	9.0014739797e-08	2.9816457812e-33	5.6889542359e-06
1.0000000000e+00	3.3538631514e+02	1.3456459424e+22	3.1703166837e-03	6.9372402444e+19	1.1361842774e-02	8.4179490208e+16	2.7294434872e-05	2.9028027418e-02	6.5697151453e-08	3.0626994339e+21	9.5151652802e-01	4.8896973485e-03	9.0911225824e-08	2.9816362650e-33	5.6903009442e-06
1.0000000000e+00	3.3538619833e+02	1.3456674026e+22	3.1704193107e-03	6.9383399322e+19	1.1363670999e-02	8.3969923416e+16	2.7226494226e-05	2.9026480051e-02	6.5742453563e-08	3.0626976208e+21	9.5151629439e-01	4.8896155158e-03	9.0832443638e-08	2.9816373035e-33	5.6901853075e-06
1.0000000000e+00	3.3538610478e+02	1.3456887646e+22	3.1705207396e-03	6.9394360344e+19	1.1365492032e-02	8.3761664360e+16	2.7158975672e-05	2.9024933390e-02	6.5787612250e-08	3.0626960517e+21	9.5151606795e-01	4.8895337511e-03	9.0753996704e-08	2.9816381351e-33	5.6900682311e-06
1.0000000000e+00	3.3538516027e+02	1.3459006592e+22	3.1715274548e-03	6.9503498388e+19	1.1383625357e-02	8.1713437639e+16	2.6494930965e-05	2.9009598418e-02	6.6240445103e-08	3.0626800790e+21	9.5151374308e-01	4.8887184220e-03	8.9975174595e-08	2.9816465320e-33	5.6888957808e-06
1.0000000000e+00	3.3538367698e+02	1.3462378861e+22	3.1731294257e-03	6.9678788965e+19	1.1412750980e-02	7.8519118106e+16	2.5459310910e-05	2.8985196158e-02	6.6979845424e-08	3.0626539724e+21	9.5150976941e-01	4.8874037097e-03	8.8733058408e-08	2.9816597188e-33	5.6869813561e-06
1.0000000000e+00	3.3538133235e+02	1.3467727775e+22	3.1756711501e-03	6.9960978491e+19	1.1459643512e-02	7.3615223995e+16	2.3869422161e-05	2.8946509526e-02	6.8202260478e-08	3.0626103285e+21	9.5150274334e-01	4.8852741648e-03	8.6756211560e-08	2.9816805634e-33	5.6838217767e-06
1.0000000000e+00	3.3537767967e+02	1.3476099552e+22	3.1796511932e-03	7.0413440681e+19	1.1534843889e-02	6.6333142793e+16	2.1508472665e-05	2.8886006511e-02	7.0247934357e-08	3.0625362113e+21	9.5148987826e-01	4.8818261558e-03	8.3645502254e-08	2.9817130376e-33	5.6785575465e-06
1.0000000000e+00	3.3537204811e+02	1.3489073539e+22	3.1858238899e-03	7.1143096575e+19	1.1656148855e-02	5.5966880744e+16	1.8147524563e-05	2.8792357409e-02	7.3782386460e-08	3.0624060453e+21	9.5146506260e-01	4.8761795299e-03	7.8783299550e-08	2.9817631065e-33	5.6695618409e-06
