R_int	Phi_global	P_surf
1.0732396988e+07	9.9508735027e-01	6.6564793149e+03
1.0732396988e+07	9.9500415848e-01	6.6630308601e+03
1.0732396988e+07	9.9492064716e-01	6.6696979414e+03
1.0732396988e+07	9.9483681562e-01	6.6764657177e+03
1.0732396988e+07	9.9475266304e-01	6.6833199019e+03
1.0732396988e+07	9.9466818673e-01	6.6902470911e+03
1.0732396988e+07	9.9458338489e-01	6.6972346495e+03
1.0732396988e+07	9.9449825489e-01	6.7042709169e+03
1.0732396988e+07	9.9441279664e-01	6.7113449450e+03
1.0732396988e+07	9.9432700738e-01	6.7184469066e+03
1.0732396988e+07	9.9424088525e-01	6.7255677848e+03
1.0732396988e+07	9.9415442785e-01	6.7326994479e+03
1.0732396988e+07	9.9406763435e-01	6.7398606494e+03
1.0732396988e+07	9.9398050234e-01	6.7470787124e+03
1.0732396988e+07	9.9389302990e-01	6.7542881108e+03
1.0732396988e+07	9.9380521495e-01	6.7614929713e+03
1.0732396988e+07	9.9371705411e-01	6.7687943293e+03
1.0732396988e+07	9.9362852944e-01	6.7773288255e+03
1.0732396988e+07	9.9360496012e-01	6.7984768402e+03
1.0732396988e+07	9.9360129556e-01	6.8358954908e+03
1.0732396988e+07	9.9359789111e-01	6.8491104415e+03
1.0732396988e+07	9.9359451078e-01	6.8583982124e+03
1.0732396988e+07	9.9359114927e-01	6.8639925587e+03
1.0732396988e+07	9.9358780094e-01	6.8672603499e+03
1.0732396988e+07	9.9358446245e-01	6.8693339724e+03
1.0732396988e+07	9.9358112744e-01	6.8708003603e+03
1.0732396988e+07	9.9357779454e-01	6.8719900108e+03
1.0732396988e+07	9.9357446319e-01	6.8730289981e+03
1.0732396988e+07	9.9357113889e-01	6.8740399063e+03
1.0732396988e+07	9.9356781577e-01	6.8749766552e+03
1.0732396988e+07	9.9356449379e-01	6.8758579868e+03
1.0732396988e+07	9.9356117304e-01	6.8766927296e+03
1.0732396988e+07	9.9355785997e-01	6.8775386741e+03
1.0732396988e+07	9.9355454931e-01	6.8783256066e+03
1.0732396988e+07	9.9355124214e-01	6.8790282092e+03
1.0732396988e+07	9.9354794250e-01	6.8796059282e+03
1.0732396988e+07	9.9354465994e-01	6.8799564460e+03
1.0732396988e+07	9.9354139896e-01	6.8798185578e+03
1.0732396988e+07	9.9353858983e-01	6.8789714712e+03
1.0732396988e+07	9.9353613899e-01	6.8771211824e+03
1.0732396988e+07	9.9353395627e-01	6.8737306646e+03
1.0732396988e+07	9.9353194499e-01	6.8679117619e+03
1.0732396988e+07	9.9353014398e-01	6.8582275658e+03
1.0732396988e+07	9.9352864251e-01	6.8423662693e+03
1.0732396988e+07	9.9352774837e-01	6.8166091850e+03
1.0732396988e+07	9.9352759747e-01	6.7749647613e+03
1.0705093066e+07	9.9352849026e-01	6.7375080744e+03
1.0705093066e+07	9.9065001332e-01	6.7278286639e+03
1.0705093066e+07	9.9057953891e-01	6.7279819260e+03
1.0705093066e+07	9.9050879206e-01	6.7281393704e+03
1.0705093066e+07	9.9043777131e-01	6.7282974401e+03
1.0705093066e+07	9.9036648084e-01	6.7284561082e+03
1.0705093066e+07	9.9029491725e-01	6.7286152696e+03
1.0705093066e+07	9.9022307771e-01	6.7287744924e+03
1.0705093066e+07	9.9015095616e-01	6.7289326479e+03
1.0705093066e+07	9.9007854966e-01	6.7290853239e+03
1.0705093066e+07	9.9000585233e-01	6.7292081093e+03
1.0705093066e+07	9.8993286336e-01	6.7292314685e+03
1.0705093066e+07	9.8985957625e-01	6.7291143094e+03
1.0705093066e+07	9.8978598705e-01	6.7289865528e+03
1.0705093066e+07	9.8971210426e-01	6.7291291206e+03
1.0705093066e+07	9.8963793150e-01	6.7298249250e+03
1.0705093066e+07	9.8956346733e-01	6.7312557964e+03
1.0705093066e+07	9.8948871088e-01	6.7334876425e+03
1.0705093066e+07	9.8941366120e-01	6.7365001201e+03
1.0705093066e+07	9.8933831722e-01	6.7402227448e+03
1.0705093066e+07	9.8926267674e-01	6.7445660101e+03
1.0705093066e+07	9.8918673865e-01	6.7494806084e+03
1.0705093066e+07	9.8911048303e-01	6.7554511667e+03
1.0705093066e+07	9.8907606564e-01	6.7689556276e+03
1.0705093066e+07	9.8907252438e-01	6.8087275521e+03
1.0705093066e+07	9.8906955567e-01	6.8205031665e+03
1.0705093066e+07	9.8906662278e-01	6.8287232971e+03
1.0705093066e+07	9.8906371716e-01	6.8337058055e+03
1.0705093066e+07	9.8906082850e-01	6.8366816433e+03
1.0705093066e+07	9.8905795030e-01	6.8386437637e+03
1.0705093066e+07	9.8905507744e-01	6.8400769339e+03
1.0705093066e+07	9.8905220793e-01	6.8412605690e+03
