Phi_global	P_surf	H2O_kg_total	H2O_vmr	CO2_kg_total	CO2_vmr	O2_kg_total	O2_vmr	H2_vmr	CH4_vmr	CO_kg_total	CO_vmr	N2_vmr	S2_vmr	SO2_vmr	H2S_vmr
1.0000000000e+00	3.4094557368e+02	1.9227304474e+22	6.3630880938e-03	1.6301469280e+21	2.6272576004e-01	8.1820728820e+19	2.6097039590e-02	1.8406048389e-03	6.3579861240e-12	2.2783345066e+21	6.9450248412e-01	8.4046941243e-03	5.7149922048e-05	2.9330194529e-33	9.1697461712e-06
1.0000000000e+00	3.4094557421e+02	1.9227304474e+22	6.3630880498e-03	1.6301469328e+21	2.6272576006e-01	8.1820728820e+19	2.6097039549e-02	1.8406048262e-03	6.3579860565e-12	2.2783345106e+21	6.9450248418e-01	8.4046941293e-03	5.7149921770e-05	2.9330194484e-33	9.1697460926e-06
1.0000000000e+00	3.4094557421e+02	1.9227304474e+22	6.3630880498e-03	1.6301469328e+21	2.6272576006e-01	8.1820728820e+19	2.6097039549e-02	1.8406048262e-03	6.3579860565e-12	2.2783345106e+21	6.9450248418e-01	8.4046941293e-03	5.7149921770e-05	2.9330194484e-33	9.1697460926e-06
1.0000000000e+00	3.4094557421e+02	1.9227304474e+22	6.3630880498e-03	1.6301469328e+21	2.6272576006e-01	8.1820728820e+19	2.6097039549e-02	1.8406048262e-03	6.3579860565e-12	2.2783345106e+21	6.9450248418e-01	8.4046941293e-03	5.7149921770e-05	2.9330194484e-33	9.1697460926e-06
1.0000000000e+00	3.4125624057e+02	1.9226466657e+22	6.3567418996e-03	1.6282384565e+21	2.6217607911e-01	8.4199387589e+19	2.6831273610e-02	1.8405727156e-03	6.3096627019e-12	2.2798376430e+21	6.9433210938e-01	8.3966591450e-03	5.7409255362e-05	2.9303493420e-33	9.1453713292e-06
1.0000000000e+00	3.4123975075e+02	1.9226510867e+22	6.3570778129e-03	1.6283388918e+21	2.6220508315e-01	8.4072825603e+19	2.6792237547e-02	1.8405747832e-03	6.3121860709e-12	2.2797586583e+21	6.9434138948e-01	8.3970853513e-03	5.7395704897e-05	2.9304909460e-33	9.1466567478e-06
1.0000000000e+00	3.4122326832e+02	1.9226555060e+22	6.3574141053e-03	1.6284392566e+21	2.6223407817e-01	8.3946418504e+19	2.6753246494e-02	1.8405769811e-03	6.3147124705e-12	2.2796795984e+21	6.9435063354e-01	8.3975111066e-03	5.7382147523e-05	2.9306325003e-33	9.1479429198e-06
1.0000000000e+00	3.4106085936e+02	1.9226992217e+22	6.3607303927e-03	1.6294340697e+21	2.6252089321e-01	8.2702332776e+19	2.6369314208e-02	1.8405953502e-03	6.3398552271e-12	2.2788959426e+21	6.9444033982e-01	8.4017096147e-03	5.7247216723e-05	2.9320280312e-33	9.1606628729e-06
1.0000000000e+00	3.4080450417e+02	1.9227688587e+22	6.3659758467e-03	1.6310262252e+21	2.6297778131e-01	8.0744224781e+19	2.5764344687e-02	1.8406123847e-03	6.3804868442e-12	2.2776414417e+21	6.9457671744e-01	8.4083486794e-03	5.7029186732e-05	2.9342335203e-33	9.1809167729e-06
1.0000000000e+00	3.4040266219e+02	1.9228796251e+22	6.3742247857e-03	1.6335781333e+21	2.6370461108e-01	7.7689128494e+19	2.4818770266e-02	1.8406085074e-03	6.4466307763e-12	2.2756301668e+21	6.9477710244e-01	8.4187857754e-03	5.6674466133e-05	2.9376973540e-33	9.2131095185e-06
