# MAGRATHEA mode2 layer_index=2 (core+mantle) CMF=0.325, isothermal; cols: mass_Mearth radius_Rearth
0.5 	0.804734
1 	0.983952
1.5 	1.10416
2 	1.19655
2.5 	1.27224
3 	1.33664
3.5 	1.39282
4 	1.44273
4.5 	1.48768
5 	1.52857
5.5 	1.56611
6 	1.6008
6.5 	1.63306
7 	1.66319
7.5 	1.69147
8 	1.71811
8.5 	1.74328
9 	1.76714
9.5 	1.78981
10 	1.8114
10.5 	1.83201
11 	1.85172
11.5 	1.8706
12 	1.88872
12.5 	1.90613
13 	1.92289
13.5 	1.93903
14 	1.9546
14.5 	1.96964
15 	1.98418
15.5 	1.99824
16 	2.01187
16.5 	2.02507
17 	2.03788
17.5 	2.05032
18 	2.0624
18.5 	2.07414
19 	2.08557
19.5 	2.09669
20 	2.10752
