Phi_global	P_surf	H2O_kg_total	H2O_vmr	CO2_kg_total	CO2_vmr	O2_kg_total	O2_vmr	H2_vmr	CH4_vmr	CO_kg_total	CO_vmr	N2_vmr	S2_vmr	SO2_vmr	H2S_vmr
1.0000000000e+00	3.4831769213e+02	1.8011735302e+22	5.4668920853e-03	6.9154927195e+20	1.1169903993e-01	2.3542939502e+18	7.6884939729e-04	4.8389123088e-03	2.7112029817e-10	2.7853013985e+21	8.6948496963e-01	7.7261753941e-03	5.5948856565e-06	2.8709423109e-33	9.5214098199e-06
9.9986073560e-01	3.4823378129e+02	1.8016938726e+22	5.4728861700e-03	6.9760118370e+20	1.1272886357e-01	1.9514140279e+18	6.3743315644e-04	4.8254171385e-03	2.8735503079e-10	2.7817762891e+21	8.6858937396e-01	7.7312465051e-03	5.2321073108e-06	2.8716340968e-33	9.5017744599e-06
9.9980635335e-01	3.4823612812e+02	1.8016929604e+22	5.4734356096e-03	6.9758288506e+20	1.1272823327e-01	1.9515976566e+18	6.3748884291e-04	4.8259106283e-03	2.8740808355e-10	2.7817867683e+21	8.6858891546e-01	7.7312344937e-03	5.2328137939e-06	2.8716147442e-33	9.5032562270e-06
9.9975266607e-01	3.4823840211e+02	1.8016919600e+22	5.4739805732e-03	6.9756345634e+20	1.1272741342e-01	1.9518495178e+18	6.3756694998e-04	4.8264035364e-03	2.8745749825e-10	2.7817972778e+21	8.6858862996e-01	7.7312216224e-03	5.2335825896e-06	2.8715959927e-33	9.5047317304e-06
9.9969891019e-01	3.4824070760e+02	1.8016907882e+22	5.4745248372e-03	6.9754195335e+20	1.1272624623e-01	1.9522258582e+18	6.3768565891e-04	4.8269019652e-03	2.8750132332e-10	2.7818089917e+21	8.6858864793e-01	7.7312070504e-03	5.2344722329e-06	2.8715769816e-33	9.5062174700e-06
9.9964528255e-01	3.4824304145e+02	1.8016894178e+22	5.4750661338e-03	6.9751807546e+20	1.1272467187e-01	1.9527483572e+18	6.3785205608e-04	4.8274049835e-03	2.8753834721e-10	2.7818220875e+21	8.6858902558e-01	7.7311905193e-03	5.2355016935e-06	2.8715577369e-33	9.5077094974e-06
9.9959103137e-01	3.4824543355e+02	1.8016878462e+22	5.4756121973e-03	6.9749168971e+20	1.1272270234e-01	1.9534122303e+18	6.3806452281e-04	4.8279191738e-03	2.8756964490e-10	2.7818366315e+21	8.6858973825e-01	7.7311719631e-03	5.2366736928e-06	2.8715380122e-33	9.5092279449e-06
9.9953662164e-01	3.4824786119e+02	1.8016861001e+22	5.4761584640e-03	6.9746318208e+20	1.1272038150e-01	1.9542022331e+18	6.3831812036e-04	4.8284397593e-03	2.8759538902e-10	2.7818524061e+21	8.6859075610e-01	7.7311516718e-03	5.2379689264e-06	2.8715179946e-33	9.5107591809e-06
9.9948149316e-01	3.4825034370e+02	1.8016841952e+22	5.4767108536e-03	6.9743266596e+20	1.1271775420e-01	1.9551019728e+18	6.3860745784e-04	4.8289711491e-03	2.8761696909e-10	2.7818693373e+21	8.6859202922e-01	7.7311297703e-03	5.2393770267e-06	2.8714975250e-33	9.5123173838e-06
9.9942493350e-01	3.4825290715e+02	1.8016821426e+22	5.4772768204e-03	6.9740017824e+20	1.1271485931e-01	1.9560970608e+18	6.3892778669e-04	4.8295192050e-03	2.8763585647e-10	2.7818873931e+21	8.6859351007e-01	7.7311063297e-03	5.2408910592e-06	2.8714763882e-33	9.5139210183e-06
