Time	R_int	R_core	R_solvus	T_surf	T_magma	T_cmb	gravity	Phi_global	RF_depth	M_mantle_solid	M_mantle_liquid	R_obs	P_surf	fO2_shift_IW_derived
1.9692398893e+04	1.0964633001e+07	5.0972708600e+06	0.0000000000e+00	3.5276862867e+03	3.8947383519e+03	8.8149228733e+03	1.6517891616e+01	1.0000000000e+00	5.3511705686e-01	4.1992346851e+22	2.0028883239e+25	1.1271322471e+07	2.9225320494e+03	4.0000000000e+00
2.1103301768e+04	1.0964633001e+07	5.0972708600e+06	0.0000000000e+00	3.5106215515e+03	3.8681643137e+03	8.7567596214e+03	1.6517891616e+01	9.9988072066e-01	5.3511705686e-01	1.4057704322e+22	2.0056817882e+25	1.1268327256e+07	2.6621602727e+03	4.0000000000e+00
2.1103308547e+04	1.0964633001e+07	5.0972708600e+06	0.0000000000e+00	3.5109430676e+03	3.8681871511e+03	8.7273867634e+03	1.6517891616e+01	9.9982660146e-01	5.3511705686e-01	1.5395305142e+22	2.0055480281e+25	1.1268332514e+07	2.6623747440e+03	4.0000000000e+00
2.1103311723e+04	1.0964633001e+07	5.0972708600e+06	0.0000000000e+00	3.5109430753e+03	3.8682240972e+03	8.6980139072e+03	1.6517891616e+01	9.9977281367e-01	5.3511705686e-01	1.6734594251e+22	2.0054140992e+25	1.1268340894e+07	2.6627267532e+03	4.0000000000e+00
2.1103313852e+04	1.0964633001e+07	5.0972708600e+06	0.0000000000e+00	3.5109430879e+03	3.8682799852e+03	8.6686410477e+03	1.6517891616e+01	9.9971911811e-01	5.3511705686e-01	1.8079197866e+22	2.0052796388e+25	1.1268353597e+07	2.6632564182e+03	4.0000000000e+00
2.1103315460e+04	1.0964633001e+07	5.0972708600e+06	0.0000000000e+00	3.5109431067e+03	3.8683557959e+03	8.6392681878e+03	1.6517891616e+01	9.9966495852e-01	5.3511705686e-01	1.9436475841e+22	2.0051439110e+25	1.1268370847e+07	2.6639730966e+03	4.0000000000e+00
2.1103316755e+04	1.0964633001e+07	5.0972708600e+06	0.0000000000e+00	3.5109431330e+03	3.8684499125e+03	8.6098953258e+03	1.6517891616e+01	9.9961056346e-01	5.3511705686e-01	2.0801234849e+22	2.0050074351e+25	1.1268392275e+07	2.6648617351e+03	4.0000000000e+00
2.1103317839e+04	1.0964633001e+07	5.0972708600e+06	0.0000000000e+00	3.5109431679e+03	3.8685599841e+03	8.5805224637e+03	1.6517891616e+01	9.9955494613e-01	5.3511705686e-01	2.2188781633e+22	2.0048686805e+25	1.1268417343e+07	2.6659005336e+03	4.0000000000e+00
2.1103318773e+04	1.0964633001e+07	5.0972708600e+06	0.0000000000e+00	3.5109432123e+03	3.8686837937e+03	8.5511495996e+03	1.6517891616e+01	9.9949849326e-01	5.3511705686e-01	2.3592134285e+22	2.0047283452e+25	1.1268445543e+07	2.6670687978e+03	4.0000000000e+00
2.1103319593e+04	1.0964633001e+07	5.0972708600e+06	0.0000000000e+00	3.5109432671e+03	3.8688194836e+03	8.5217767433e+03	1.6517891616e+01	9.9944188844e-01	5.3511705686e-01	2.4999568635e+22	2.0045876018e+25	1.1268476453e+07	2.6683491631e+03	4.0000000000e+00
2.1103320325e+04	1.0964633001e+07	5.0972708600e+06	0.0000000000e+00	3.5109433331e+03	3.8689655485e+03	8.4924038778e+03	1.6517891616e+01	9.9938483316e-01	5.3511705686e-01	2.6415692740e+22	2.0044459893e+25	1.1268509728e+07	2.6697276622e+03	4.0000000000e+00
2.1103320987e+04	1.0964633001e+07	5.0972708600e+06	0.0000000000e+00	3.5109434109e+03	3.8691207710e+03	8.4630310111e+03	1.6517891616e+01	9.9932703882e-01	5.3511705686e-01	2.7845015778e+22	2.0043030570e+25	1.1268545090e+07	2.6711930217e+03	4.0000000000e+00
2.1103321590e+04	1.0964633001e+07	5.0972708600e+06	0.0000000000e+00	3.5109435013e+03	3.8692841582e+03	8.4336581445e+03	1.6517891616e+01	9.9926903495e-01	5.3511705686e-01	2.9278590799e+22	2.0041596995e+25	1.1268582311e+07	2.6727359764e+03	4.0000000000e+00
2.1103322145e+04	1.0964633001e+07	5.0972708600e+06	0.0000000000e+00	3.5109436051e+03	3.8694548889e+03	8.4042852876e+03	1.6517891616e+01	9.9920979996e-01	5.3511705686e-01	3.0732990406e+22	2.0040142596e+25	1.1268621203e+07	2.6743490278e+03	4.0000000000e+00
2.1103322659e+04	1.0964633001e+07	5.0972708600e+06	0.0000000000e+00	3.5109437230e+03	3.8696322744e+03	8.3749124313e+03	1.6517891616e+01	9.9914948521e-01	5.3511705686e-01	3.2205695748e+22	2.0038669890e+25	1.1268661608e+07	2.6760257909e+03	4.0000000000e+00
