Phi_global	fO2_shift_IW_derived
9.9205854772e-01	-5.3927665505e-02
9.9198853337e-01	-5.3898147588e-02
9.9191826941e-01	-5.3868450925e-02
9.9184775454e-01	-5.3838588445e-02
9.9177698540e-01	-5.3808571271e-02
9.9170595757e-01	-5.3778408296e-02
9.9163466913e-01	-5.3748105944e-02
9.9156312036e-01	-5.3717667242e-02
9.9149131126e-01	-5.3687090391e-02
9.9141924157e-01	-5.3656367653e-02
9.9134690824e-01	-5.3625483614e-02
9.9127431253e-01	-5.3594414706e-02
9.9120145003e-01	-5.3563126647e-02
9.9112832213e-01	-5.3531574701e-02
9.9105492493e-01	-5.3499701507e-02
9.9098125816e-01	-5.3467437882e-02
9.9090732035e-01	-5.3434702332e-02
9.9083310769e-01	-5.3401401727e-02
9.9075862126e-01	-5.3367433595e-02
9.9068385705e-01	-5.3332686644e-02
9.9060881399e-01	-5.3297043948e-02
9.9053349159e-01	-5.3260385158e-02
9.9045788439e-01	-5.3222588435e-02
9.9038199463e-01	-5.3183534824e-02
9.9030581734e-01	-5.3143109349e-02
9.9022935272e-01	-5.3101205773e-02
9.9015259766e-01	-5.3057728944e-02
9.9007555123e-01	-5.3012599024e-02
9.8999821020e-01	-5.2965754513e-02
9.8992057450e-01	-5.2917155828e-02
9.8984264002e-01	-5.2866786925e-02
9.8976440479e-01	-5.2814657389e-02
9.8968586636e-01	-5.2760802079e-02
9.8960701910e-01	-5.2705279633e-02
9.8952786116e-01	-5.2648170709e-02
9.8944839987e-01	-5.2589575348e-02
9.8936863548e-01	-5.2529606861e-02
9.8928856649e-01	-5.2468388226e-02
9.8920819135e-01	-5.2406048135e-02
9.8912750851e-01	-5.2342717174e-02
9.8904651638e-01	-5.2278524569e-02
9.8896521334e-01	-5.2213595540e-02
9.8888359781e-01	-5.2148049345e-02
9.8880166811e-01	-5.2081997893e-02
9.8871942252e-01	-5.2015544948e-02
9.8863685930e-01	-5.1948785747e-02
9.8855397658e-01	-5.1881807016e-02
9.8847077263e-01	-5.1814687125e-02
9.8838724566e-01	-5.1747496554e-02
9.8830339385e-01	-5.1680016143e-02
9.8821921543e-01	-5.1612190869e-02
9.8813470854e-01	-5.1544468809e-02
9.8804987136e-01	-5.1476895577e-02
9.8796470198e-01	-5.1409502430e-02
9.8787919811e-01	-5.1342212267e-02
9.8779335335e-01	-5.1273821180e-02
9.8770711856e-01	-5.1191134368e-02
9.8769728799e-01	-5.0976223036e-02
9.8769354801e-01	-5.0744979653e-02
9.8769012593e-01	-5.0645370982e-02
9.8768674748e-01	-5.0576345732e-02
9.8768340191e-01	-5.0534997501e-02
9.8768007685e-01	-5.0510705449e-02
9.8767676453e-01	-5.0495145590e-02
9.8767345918e-01	-5.0483991106e-02
9.8767015898e-01	-5.0474922368e-02
9.8766686403e-01	-5.0467084198e-02
9.8766357879e-01	-5.0459836816e-02
9.8766030332e-01	-5.0453771932e-02
9.8765704327e-01	-5.0449277349e-02
9.8765380953e-01	-5.0447213177e-02
9.8765063289e-01	-5.0449645933e-02
9.8764754935e-01	-5.0460556752e-02
9.8764463618e-01	-5.0486937280e-02
9.8764206162e-01	-5.0543777734e-02
9.8764019707e-01	-5.0664694692e-02
9.8763965891e-01	-5.0907002809e-02
9.8764121292e-01	-5.1303915007e-02
9.8764545598e-01	-5.1949926683e-02
9.8765189601e-01	-5.3009719766e-02
9.8754030343e-01	-5.3748009278e-02
9.8754223481e-01	-5.3751796916e-02
9.8754419085e-01	-5.3755537149e-02
9.8754611992e-01	-5.3759368267e-02
9.8754777240e-01	-5.3763249973e-02
9.8749139809e-01	-5.3753938201e-02
9.8743535425e-01	-5.3743031137e-02
9.8737913287e-01	-5.3730299003e-02
9.8732289853e-01	-5.3715508087e-02
9.8726596252e-01	-5.3698740479e-02
9.8720894017e-01	-5.3680362389e-02
9.8715093981e-01	-5.3660525026e-02
9.8709187315e-01	-5.3639427903e-02
9.8703200323e-01	-5.3617267365e-02
9.8697119529e-01	-5.3594153095e-02
9.8691018823e-01	-5.3570279138e-02
9.8684878227e-01	-5.3545701139e-02
9.8678634457e-01	-5.3520405460e-02
9.8672275453e-01	-5.3494432599e-02
9.8665862883e-01	-5.3467908263e-02
9.8659328992e-01	-5.3440787488e-02
9.8652754211e-01	-5.3413208175e-02
9.8646010350e-01	-5.3385039467e-02
9.8639089295e-01	-5.3356299537e-02
9.8632107770e-01	-5.3327162301e-02
9.8625101683e-01	-5.3297697002e-02
9.8618070909e-01	-5.3267925432e-02
9.8611015319e-01	-5.3237867939e-02
9.8603934788e-01	-5.3207543741e-02
9.8596829188e-01	-5.3176971095e-02
9.8589698391e-01	-5.3146167444e-02
9.8582542266e-01	-5.3115149472e-02
9.8575360681e-01	-5.3083933144e-02
9.8568153505e-01	-5.3052533593e-02
9.8560920416e-01	-5.3020964711e-02
9.8553660497e-01	-5.2989238316e-02
9.8546373501e-01	-5.2957365315e-02
9.8539059575e-01	-5.2925354737e-02
9.8531718895e-01	-5.2893212470e-02
9.8524351516e-01	-5.2860940092e-02
9.8516957074e-01	-5.2828533297e-02
9.8509535778e-01	-5.2795981845e-02
9.8502087155e-01	-5.2763266556e-02
9.8494611478e-01	-5.2730359584e-02
9.8487108017e-01	-5.2697220856e-02
9.8479577153e-01	-5.2663799763e-02
9.8472018388e-01	-5.2630031743e-02
9.8464431602e-01	-5.2595839850e-02
9.8456816863e-01	-5.2561134809e-02
9.8449173355e-01	-5.2525814826e-02
9.8441501517e-01	-5.2489769908e-02
9.8433800794e-01	-5.2452881274e-02
9.8426070998e-01	-5.2415025700e-02
9.8418312176e-01	-5.2376078214e-02
9.8410523589e-01	-5.2335913943e-02
9.8402705693e-01	-5.2294413941e-02
9.8394857520e-01	-5.2251465459e-02
9.8386979556e-01	-5.2206969197e-02
9.8379071057e-01	-5.2160839734e-02
9.8371132013e-01	-5.2113011723e-02
9.8363162151e-01	-5.2063441867e-02
9.8355161029e-01	-5.2012111430e-02
9.8347128221e-01	-5.1959027971e-02
9.8339063000e-01	-5.1904225036e-02
9.8330966006e-01	-5.1847762860e-02
9.8322838182e-01	-5.1789724579e-02
9.8314679389e-01	-5.1730210652e-02
9.8306489488e-01	-5.1669336002e-02
9.8298268338e-01	-5.1607225531e-02
9.8290015791e-01	-5.1544009666e-02
9.8281731694e-01	-5.1479820406e-02
9.8273415896e-01	-5.1414787910e-02
9.8265068238e-01	-5.1349037777e-02
9.8256688560e-01	-5.1282689074e-02
9.8248276690e-01	-5.1215852910e-02
9.8239832446e-01	-5.1148631721e-02
9.8231355642e-01	-5.1081118893e-02
9.8222846103e-01	-5.1013398724e-02
9.8214303649e-01	-5.0945547165e-02
9.8205728100e-01	-5.0877228955e-02
9.8197119276e-01	-5.0808628138e-02
9.8188476993e-01	-5.0740080400e-02
9.8179801060e-01	-5.0671634638e-02
9.8171091297e-01	-5.0603334496e-02
9.8162347510e-01	-5.0535217750e-02
9.8153569500e-01	-5.0467304990e-02
9.8144756988e-01	-5.0399470752e-02
9.8135908859e-01	-5.0330050490e-02
9.8127249721e-01	-5.0241348356e-02
9.8127114030e-01	-4.9980706313e-02
9.8126731067e-01	-4.9815874318e-02
9.8126371693e-01	-4.9721423801e-02
9.8126019167e-01	-4.9656815789e-02
9.8125672416e-01	-4.9618194567e-02
9.8125330646e-01	-4.9595188288e-02
9.8124994733e-01	-4.9580086472e-02
9.8124666845e-01	-4.9568994132e-02
9.8124351660e-01	-4.9559868571e-02
9.8124057980e-01	-4.9551935868e-02
9.8123807644e-01	-4.9544658736e-02
9.8123628212e-01	-4.9538681080e-02
9.8123570781e-01	-4.9534497830e-02
9.8123645897e-01	-4.9533163488e-02
9.8123799745e-01	-4.9533365606e-02
9.8123994377e-01	-4.9534372403e-02
9.8124208967e-01	-4.9535910227e-02
9.8124437864e-01	-4.9537845405e-02
9.8124680155e-01	-4.9540028188e-02
9.8124932785e-01	-4.9542381152e-02
9.8125191492e-01	-4.9544935616e-02
9.8125455331e-01	-4.9547670206e-02
9.8125724176e-01	-4.9550538229e-02
9.8125999417e-01	-4.9553399553e-02
9.8126277637e-01	-4.9556387196e-02
9.8126558563e-01	-4.9559495045e-02
9.8126841973e-01	-4.9562717756e-02
9.8126898693e-01	-4.9577568232e-02
9.8133270525e-01	-4.9601550837e-02
9.8141539494e-01	-4.9628877552e-02
9.8149808277e-01	-4.9657050053e-02
9.8158068201e-01	-4.9686019838e-02
9.8166316283e-01	-4.9715754681e-02
9.8174553285e-01	-4.9746233069e-02
9.8182780798e-01	-4.9776962295e-02
9.8190995979e-01	-4.9807133218e-02
9.8199204279e-01	-4.9836803642e-02
9.8207416166e-01	-4.9866094253e-02
9.8215646935e-01	-4.9895165917e-02
9.8223923449e-01	-4.9924233528e-02
9.8230405157e-01	-4.9946956508e-02
9.8235730668e-01	-4.9965695490e-02
9.8240214808e-01	-4.9981586987e-02
9.8243910183e-01	-4.9994803540e-02
9.8246971949e-01	-5.0005907531e-02
9.8249573059e-01	-5.0015563175e-02
9.8251755411e-01	-5.0023932592e-02
9.8253518095e-01	-5.0030953598e-02
9.8254944115e-01	-5.0036898929e-02
9.8256125949e-01	-5.0042137655e-02
9.8257096127e-01	-5.0046774167e-02
9.8257877123e-01	-5.0050845462e-02
9.8258489986e-01	-5.0054321188e-02
9.8258979939e-01	-5.0057466845e-02
9.8259360062e-01	-5.0060322502e-02
9.8259641399e-01	-5.0062921428e-02
9.8258513178e-01	-5.0070585733e-02
9.8262750901e-01	-5.0083070898e-02
9.8267997578e-01	-5.0095572877e-02
9.8272631421e-01	-5.0106419121e-02
9.8276791269e-01	-5.0116017930e-02
9.8280567958e-01	-5.0124634486e-02
9.8284023376e-01	-5.0132451191e-02
9.8287200317e-01	-5.0139598351e-02
9.8290130428e-01	-5.0146172300e-02
9.8292836984e-01	-5.0152245812e-02
9.8295222606e-01	-5.0157729543e-02
9.8295093851e-01	-5.0159858553e-02
9.8294834612e-01	-5.0161841846e-02
9.8294436961e-01	-5.0163674070e-02
9.8293891654e-01	-5.0165348294e-02
9.8293187293e-01	-5.0166854700e-02
9.8292306721e-01	-5.0168175396e-02
9.8291217420e-01	-5.0169271632e-02
9.8289860035e-01	-5.0170075656e-02
9.8288053740e-01	-5.0170472965e-02
9.8286078463e-01	-5.0170405587e-02
9.8287050362e-01	-5.0173215708e-02
9.8286713897e-01	-5.0173039509e-02
9.8284891522e-01	-5.0166756967e-02
9.8276849518e-01	-5.0128977938e-02
9.8268386079e-01	-5.0095774824e-02
9.8259916191e-01	-5.0073686822e-02
9.8251525196e-01	-5.0064210740e-02
9.8243182069e-01	-5.0068030958e-02
9.8234855026e-01	-5.0087412221e-02
9.8226534573e-01	-5.0127301369e-02
9.8218229262e-01	-5.0195120343e-02
9.8209958779e-01	-5.0299925190e-02
9.8201746372e-01	-5.0450773770e-02
9.8193610956e-01	-5.0654242215e-02
9.8185559457e-01	-5.0912210674e-02
9.8177533067e-01	-5.1222430572e-02
9.8169539644e-01	-5.1583233176e-02
9.8161528516e-01	-5.1993357315e-02
9.8152503032e-01	-5.2472148096e-02
9.8128717695e-01	-5.2965027868e-02
9.8122992237e-01	-5.2953207796e-02
9.8117247560e-01	-5.2939310390e-02
9.8111482936e-01	-5.2923094651e-02
9.8105657722e-01	-5.2904759166e-02
9.8099800446e-01	-5.2884693285e-02
9.8093848612e-01	-5.2863119995e-02
9.8087752799e-01	-5.2840208252e-02
9.8081571198e-01	-5.2816207200e-02
9.8075334790e-01	-5.2791290211e-02
9.8069077453e-01	-5.2765605270e-02
9.8062716332e-01	-5.2739130694e-02
9.8056255774e-01	-5.2711940737e-02
9.8049694875e-01	-5.2684091585e-02
9.8043036405e-01	-5.2655635412e-02
9.8036317883e-01	-5.2626661984e-02
9.8029438214e-01	-5.2597078995e-02
9.8022360250e-01	-5.2566871456e-02
9.8015206567e-01	-5.2536224712e-02
9.8008027736e-01	-5.2505229577e-02
9.8000823630e-01	-5.2473910006e-02
9.7993594121e-01	-5.2442288170e-02
9.7986339079e-01	-5.2410384804e-02
9.7979058377e-01	-5.2378219479e-02
9.7971751878e-01	-5.2345810758e-02
9.7964419454e-01	-5.2313176415e-02
9.7957060968e-01	-5.2280333451e-02
9.7949676288e-01	-5.2247298116e-02
9.7942264538e-01	-5.2214084868e-02
9.7934824666e-01	-5.2180706898e-02
9.7927356599e-01	-5.2147177240e-02
9.7919860891e-01	-5.2113507926e-02
9.7912337620e-01	-5.2079707833e-02
9.7904786749e-01	-5.2045782393e-02
9.7897208441e-01	-5.2011732903e-02
9.7889602047e-01	-5.1977554003e-02
9.7881968051e-01	-5.1943234758e-02
9.7874305706e-01	-5.1908754175e-02
9.7866615326e-01	-5.1874082455e-02
9.7858896512e-01	-5.1839177471e-02
9.7851148991e-01	-5.1803984609e-02
9.7843373055e-01	-5.1768436609e-02
9.7835567577e-01	-5.1732450906e-02
9.7827733252e-01	-5.1695934222e-02
9.7819869358e-01	-5.1658779741e-02
9.7811975728e-01	-5.1620871433e-02
9.7804052402e-01	-5.1582086176e-02
9.7796098514e-01	-5.1542295223e-02
9.7788114610e-01	-5.1501370522e-02
9.7780099542e-01	-5.1459184297e-02
9.7772053842e-01	-5.1415617157e-02
9.7763976735e-01	-5.1370558279e-02
9.7755868010e-01	-5.1323911847e-02
9.7747727446e-01	-5.1275600343e-02
9.7739554483e-01	-5.1225567794e-02
9.7731348587e-01	-5.1173783170e-02
9.7723108598e-01	-5.1120241579e-02
9.7714836151e-01	-5.1064969149e-02
9.7706532184e-01	-5.1008017888e-02
9.7698196575e-01	-5.0949462708e-02
9.7689829206e-01	-5.0889399589e-02
9.7681429944e-01	-5.0827940864e-02
9.7672998656e-01	-5.0765210678e-02
9.7664535195e-01	-5.0701340175e-02
9.7656039432e-01	-5.0636463355e-02
9.7647511213e-01	-5.0570712949e-02
9.7638950378e-01	-5.0504217541e-02
9.7630356761e-01	-5.0437099215e-02
9.7621730182e-01	-5.0369471956e-02
9.7613070449e-01	-5.0301440637e-02
9.7604377389e-01	-5.0233100554e-02
9.7595650821e-01	-5.0164537658e-02
9.7586890567e-01	-5.0095517815e-02
9.7578096445e-01	-5.0026042043e-02
9.7569268268e-01	-4.9956550890e-02
9.7560405850e-01	-4.9887099034e-02
9.7551508997e-01	-4.9817734886e-02
9.7542577520e-01	-4.9748501446e-02
9.7533611228e-01	-4.9679436898e-02
9.7524609920e-01	-4.9610574301e-02
9.7515573393e-01	-4.9541932189e-02
9.7506501350e-01	-4.9473406892e-02
9.7497392565e-01	-4.9403608145e-02
9.7488236258e-01	-4.9317465348e-02
9.7487600476e-01	-4.9084470493e-02
9.7487174419e-01	-4.8887113361e-02
9.7486795514e-01	-4.8796952712e-02
9.7486423976e-01	-4.8735978996e-02
9.7486057682e-01	-4.8699557743e-02
9.7485694130e-01	-4.8677535883e-02
9.7485331735e-01	-4.8662726910e-02
9.7484969725e-01	-4.8651592896e-02
9.7484607256e-01	-4.8642303614e-02
9.7484243226e-01	-4.8634123353e-02
9.7483875253e-01	-4.8626555981e-02
9.7483500675e-01	-4.8620222913e-02
9.7483114042e-01	-4.8615591050e-02
9.7482704834e-01	-4.8613654208e-02
9.7482248225e-01	-4.8616835484e-02
9.7481709267e-01	-4.8629646579e-02
9.7481021971e-01	-4.8660155665e-02
9.7480048695e-01	-4.8727315127e-02
9.7478506389e-01	-4.8874348917e-02
9.7476950853e-01	-4.9060371315e-02
9.7475285019e-01	-4.9301889051e-02
9.7475394617e-01	-4.9620702393e-02
9.7476765190e-01	-5.0115237262e-02
9.7478456136e-01	-5.0915290915e-02
9.7478788284e-01	-5.1314518411e-02
9.7475959897e-01	-5.1757508576e-02
9.7470970248e-01	-5.2002941696e-02
9.7471157525e-01	-5.2007721804e-02
9.7470720654e-01	-5.2029709502e-02
9.7476345361e-01	-5.2060137063e-02
9.7483949099e-01	-5.2093843205e-02
9.7491500669e-01	-5.2127422111e-02
9.7499015960e-01	-5.2160351249e-02
9.7493993250e-01	-5.2152684696e-02
9.7488149772e-01	-5.2139626973e-02
