R_int	Phi_global	P_surf
1.2929576427e+07	1.0000000000e+00	9.5534154809e+03
1.2929576427e+07	1.0000000000e+00	9.5534160544e+03
1.2929576427e+07	1.0000000000e+00	9.5534160544e+03
1.2929576427e+07	1.0000000000e+00	9.5534160544e+03
1.2929576427e+07	1.0000000000e+00	9.9050486938e+03
1.2929576427e+07	1.0000000000e+00	9.8895288167e+03
1.2929576427e+07	1.0000000000e+00	9.8738272272e+03
1.2929576427e+07	1.0000000000e+00	9.7179541630e+03
1.2929576427e+07	1.0000000000e+00	9.4744473809e+03
1.2929576427e+07	1.0000000000e+00	9.1005160468e+03
1.2929576427e+07	1.0000000000e+00	8.5480505663e+03
1.2929576427e+07	1.0000000000e+00	8.1783926152e+03
1.2929576427e+07	1.0000000000e+00	7.9107083680e+03
1.2929576427e+07	1.0000000000e+00	7.7090433360e+03
1.2929576427e+07	1.0000000000e+00	7.5548062683e+03
1.2929576427e+07	1.0000000000e+00	7.3185233537e+03
1.2929576427e+07	1.0000000000e+00	6.9629963666e+03
1.2929576427e+07	1.0000000000e+00	6.4422591125e+03
1.2929576427e+07	1.0000000000e+00	5.6990465847e+03
1.2929576427e+07	1.0000000000e+00	4.6731496145e+03
1.2687348423e+07	1.0000000000e+00	3.3648061568e+03
1.2662614482e+07	1.0000000000e+00	2.8214395297e+03
1.2662614482e+07	1.0000000000e+00	2.3612858070e+03
1.2662614482e+07	9.9981015957e-01	2.1852171427e+03
1.2662614482e+07	9.9974691713e-01	2.1852894003e+03
1.2662614482e+07	9.9968423760e-01	2.1854200212e+03
1.2662614482e+07	9.9962196039e-01	2.1856466625e+03
1.2662614482e+07	9.9955990696e-01	2.1859993684e+03
1.2662614482e+07	9.9949796226e-01	2.1864896784e+03
1.2662614482e+07	9.9943605599e-01	2.1871153449e+03
1.2662614482e+07	9.9937414242e-01	2.1878675602e+03
1.2662614482e+07	9.9931218971e-01	2.1887355145e+03
1.2662614482e+07	9.9924953301e-01	2.1897085296e+03
1.2662614482e+07	9.9918657975e-01	2.1907768171e+03
1.2662614482e+07	9.9912351538e-01	2.1919317092e+03
1.2662614482e+07	9.9906032978e-01	2.1931656177e+03
1.2662614482e+07	9.9899701438e-01	2.1944719093e+03
1.2662614482e+07	9.9893356183e-01	2.1958447680e+03
1.2662614482e+07	9.9886996570e-01	2.1972790660e+03
1.2662614482e+07	9.9880622026e-01	2.1987702515e+03
1.2662614482e+07	9.9874232033e-01	2.2003142528e+03
1.2662614482e+07	9.9867826121e-01	2.2019073987e+03
1.2662614482e+07	9.9861403923e-01	2.2035463472e+03
1.2662614482e+07	9.9854964975e-01	2.2052280232e+03
1.2662614482e+07	9.9848487990e-01	2.2069496064e+03
1.2662614482e+07	9.9841911142e-01	2.2087085014e+03
1.2662614482e+07	9.9835315920e-01	2.2105022313e+03
1.2662614482e+07	9.9828702029e-01	2.2123284602e+03
1.2662614482e+07	9.9821996422e-01	2.2141849715e+03
1.2662614482e+07	9.9815202700e-01	2.2160696275e+03
1.2662614482e+07	9.9808389342e-01	2.2179803701e+03
1.2662614482e+07	9.9801556158e-01	2.2199152641e+03
1.2662614482e+07	9.9794702964e-01	2.2218724773e+03
1.2662614482e+07	9.9787829596e-01	2.2238503273e+03
1.2662614482e+07	9.9780935898e-01	2.2258473259e+03
1.2662614482e+07	9.9774021738e-01	2.2278622351e+03
1.2662614482e+07	9.9767087034e-01	2.2298941434e+03
1.2662614482e+07	9.9760098214e-01	2.2319425773e+03
1.2662614482e+07	9.9753003642e-01	2.2340076211e+03
1.2662614482e+07	9.9745888297e-01	2.2360900072e+03
1.2662614482e+07	9.9738752230e-01	2.2381913136e+03
1.2662614482e+07	9.9731595531e-01	2.2403141019e+03
1.2662614482e+07	9.9724418366e-01	2.2424620421e+03
1.2662614482e+07	9.9717220767e-01	2.2446400307e+03
1.2662614482e+07	9.9710003125e-01	2.2468542720e+03
1.2662614482e+07	9.9702755593e-01	2.2491122749e+03
1.2662614482e+07	9.9695356462e-01	2.2514228707e+03
1.2662614482e+07	9.9687935572e-01	2.2537960364e+03
1.2662614482e+07	9.9680492809e-01	2.2562428477e+03
1.2662614482e+07	9.9673028069e-01	2.2587752765e+03
1.2662614482e+07	9.9665541246e-01	2.2614060100e+03
1.2662614482e+07	9.9658032229e-01	2.2641482691e+03
1.2662614482e+07	9.9650500926e-01	2.2670156272e+03
1.2662614482e+07	9.9642947226e-01	2.2700218652e+03
1.2662614482e+07	9.9635371023e-01	2.2731807983e+03
1.2662614482e+07	9.9627772215e-01	2.2765061156e+03
1.2662614482e+07	9.9620150691e-01	2.2800111336e+03
1.2662614482e+07	9.9612506362e-01	2.2837085523e+03
1.2662614482e+07	9.9604839118e-01	2.2876101355e+03
1.2662614482e+07	9.9597148854e-01	2.2917263264e+03
1.2662614482e+07	9.9589435483e-01	2.2960658373e+03
1.2662614482e+07	9.9581698897e-01	2.3006352355e+03
1.2662614482e+07	9.9573938996e-01	2.3054386172e+03
1.2662614482e+07	9.9566155684e-01	2.3105146477e+03
1.2662614482e+07	9.9558348860e-01	2.3158515879e+03
1.2662614482e+07	9.9550518424e-01	2.3214210782e+03
1.2662614482e+07	9.9542664273e-01	2.3272160840e+03
1.2662614482e+07	9.9534786315e-01	2.3332271018e+03
1.2662614482e+07	9.9526884445e-01	2.3394425285e+03
1.2662614482e+07	9.9518958560e-01	2.3458490448e+03
1.2662614482e+07	9.9511008566e-01	2.3524320294e+03
1.2662614482e+07	9.9503034357e-01	2.3591760143e+03
1.2662614482e+07	9.9495035828e-01	2.3660649651e+03
1.2662614482e+07	9.9487012878e-01	2.3730827170e+03
1.2662614482e+07	9.9478965401e-01	2.3802132230e+03
1.2662614482e+07	9.9470893294e-01	2.3874407828e+03
1.2662614482e+07	9.9462796450e-01	2.3947502175e+03
1.2662614482e+07	9.9454674760e-01	2.4021270006e+03
1.2662614482e+07	9.9446528123e-01	2.4095573673e+03
1.2662614482e+07	9.9438356429e-01	2.4170282512e+03
1.2662614482e+07	9.9430159569e-01	2.4245274452e+03
1.2662614482e+07	9.9421937433e-01	2.4320435543e+03
1.2662614482e+07	9.9413689913e-01	2.4395661823e+03
1.2662614482e+07	9.9405416893e-01	2.4470876013e+03
1.2662614482e+07	9.9397118239e-01	2.4546227002e+03
1.2662614482e+07	9.9388793599e-01	2.4624251645e+03
1.2662614482e+07	9.9381207205e-01	2.4733083794e+03
1.2662614482e+07	9.9381169279e-01	2.5130655968e+03
1.2662614482e+07	9.9380962790e-01	2.5411550276e+03
1.2662614482e+07	9.9380766478e-01	2.5536916834e+03
1.2662614482e+07	9.9380571612e-01	2.5632586327e+03
1.2662614482e+07	9.9380378038e-01	2.5697874655e+03
1.2662614482e+07	9.9380185418e-01	2.5739466087e+03
1.2662614482e+07	9.9379993419e-01	2.5765545933e+03
1.2662614482e+07	9.9379801893e-01	2.5783543263e+03
1.2662614482e+07	9.9379610613e-01	2.5796126449e+03
1.2662614482e+07	9.9379419487e-01	2.5805966545e+03
1.2662614482e+07	9.9379228481e-01	2.5814263966e+03
1.2662614482e+07	9.9379037585e-01	2.5821540444e+03
1.2662614482e+07	9.9378846891e-01	2.5828265119e+03
1.2662614482e+07	9.9378656441e-01	2.5834439930e+03
1.2662614482e+07	9.9378466208e-01	2.5839743251e+03
1.2662614482e+07	9.9378276287e-01	2.5843964643e+03
1.2662614482e+07	9.9378086825e-01	2.5846698179e+03
1.2662614482e+07	9.9377898188e-01	2.5847236000e+03
1.2662614482e+07	9.9377710995e-01	2.5844011683e+03
1.2662614482e+07	9.9377525810e-01	2.5834671202e+03
1.2662614482e+07	9.9377343850e-01	2.5815535885e+03
1.2662614482e+07	9.9377167086e-01	2.5780643853e+03
1.2662614482e+07	9.9377000106e-01	2.5716776190e+03
1.2662614482e+07	9.9376849936e-01	2.5602483334e+03
1.2662614482e+07	9.9376726870e-01	2.5406155442e+03
1.2662614482e+07	9.9376649269e-01	2.5072204225e+03
1.2662614482e+07	9.9376649681e-01	2.4529433863e+03
1.2662614482e+07	9.9376776650e-01	2.3651327505e+03
1.2662614482e+07	9.9369235153e-01	2.2235787293e+03
1.2662614482e+07	9.9356825329e-01	2.1854045094e+03
1.2662614482e+07	9.9350366817e-01	2.1855346971e+03
1.2662614482e+07	9.9343966730e-01	2.1857588588e+03
1.2662614482e+07	9.9337603096e-01	2.1861224916e+03
1.2662614482e+07	9.9331257846e-01	2.1866482974e+03
1.2662614482e+07	9.9324920341e-01	2.1873363337e+03
1.2662614482e+07	9.9318584202e-01	2.1881751384e+03
1.2662614482e+07	9.9312245280e-01	2.1891498792e+03
1.2662614482e+07	9.9305827984e-01	2.1902460667e+03
1.2662614482e+07	9.9299382911e-01	2.1914507442e+03
1.2662614482e+07	9.9292926603e-01	2.1927527363e+03
1.2662614482e+07	9.9286457913e-01	2.1941424944e+03
1.2662614482e+07	9.9279975885e-01	2.1956118502e+03
1.2662614482e+07	9.9273479710e-01	2.1971537772e+03
1.2662614482e+07	9.9266968685e-01	2.1987621823e+03
1.2662614482e+07	9.9260442197e-01	2.2004317341e+03
1.2662614482e+07	9.9253899691e-01	2.2021577265e+03
1.2662614482e+07	9.9247340727e-01	2.2039359619e+03
1.2662614482e+07	9.9240764829e-01	2.2057626484e+03
1.2662614482e+07	9.9234158264e-01	2.2076343630e+03
1.2662614482e+07	9.9227436817e-01	2.2095480167e+03
1.2662614482e+07	9.9220696639e-01	2.2115007070e+03
1.2662614482e+07	9.9213937421e-01	2.2134897278e+03
1.2662614482e+07	9.9207054413e-01	2.2155125452e+03
1.2662614482e+07	9.9200104695e-01	2.2175667155e+03
1.2662614482e+07	9.9193134915e-01	2.2196499101e+03
1.2662614482e+07	9.9186144871e-01	2.2217599164e+03
1.2662614482e+07	9.9179134363e-01	2.2238946278e+03
1.2662614482e+07	9.9172103199e-01	2.2260520535e+03
1.2662614482e+07	9.9165051198e-01	2.2282303436e+03
1.2662614482e+07	9.9157978207e-01	2.2304278217e+03
1.2662614482e+07	9.9150876278e-01	2.2326430508e+03
1.2662614482e+07	9.9143634255e-01	2.2348749269e+03
1.2662614482e+07	9.9136370825e-01	2.2371226981e+03
1.2662614482e+07	9.9129085938e-01	2.2393861659e+03
1.2662614482e+07	9.9121779578e-01	2.2416657942e+03
1.2662614482e+07	9.9114451692e-01	2.2439628696e+03
1.2662614482e+07	9.9107101945e-01	2.2462796459e+03
1.2662614482e+07	9.9099730660e-01	2.2486195202e+03
1.2662614482e+07	9.9092294562e-01	2.2509871709e+03
1.2662614482e+07	9.9084734758e-01	2.2533886356e+03
1.2662614482e+07	9.9077152740e-01	2.2558313654e+03
1.2662614482e+07	9.9069548384e-01	2.2583242348e+03
1.2662614482e+07	9.9061921571e-01	2.2608774561e+03
1.2662614482e+07	9.9054272181e-01	2.2635024477e+03
1.2662614482e+07	9.9046600105e-01	2.2662116549e+03
1.2662614482e+07	9.9038905211e-01	2.2690183483e+03
1.2662614482e+07	9.9031187381e-01	2.2719363947e+03
1.2662614482e+07	9.9023446490e-01	2.2749800404e+03
1.2662614482e+07	9.9015682439e-01	2.2781636880e+03
1.2662614482e+07	9.9007895106e-01	2.2815016947e+03
1.2662614482e+07	9.9000084380e-01	2.2850081353e+03
1.2662614482e+07	9.8992250159e-01	2.2886965378e+03
1.2662614482e+07	9.8984392340e-01	2.2925795722e+03
1.2662614482e+07	9.8976510818e-01	2.2966687035e+03
1.2662614482e+07	9.8968605509e-01	2.3009737518e+03
1.2662614482e+07	9.8960676305e-01	2.3055025342e+03
1.2662614482e+07	9.8952723121e-01	2.3102933738e+03
1.2662614482e+07	9.8944745871e-01	2.3153440330e+03
1.2662614482e+07	9.8936744453e-01	2.3206294015e+03
1.2662614482e+07	9.8928718781e-01	2.3261464063e+03
1.2662614482e+07	9.8920668761e-01	2.3318891247e+03
1.2662614482e+07	9.8912594293e-01	2.3378490063e+03
1.2662614482e+07	9.8904495297e-01	2.3440151886e+03
1.2662614482e+07	9.8896371671e-01	2.3503749397e+03
1.2662614482e+07	9.8888223320e-01	2.3569140302e+03
1.2662614482e+07	9.8880050148e-01	2.3636172280e+03
1.2662614482e+07	9.8871852055e-01	2.3704686973e+03
1.2662614482e+07	9.8863628938e-01	2.3774523714e+03
1.2662614482e+07	9.8855380697e-01	2.3845522814e+03
1.2662614482e+07	9.8847107243e-01	2.3917527399e+03
1.2662614482e+07	9.8838808463e-01	2.3990386393e+03
1.2662614482e+07	9.8830484253e-01	2.4063955433e+03
1.2662614482e+07	9.8822134508e-01	2.4138097839e+03
1.2662614482e+07	9.8813759121e-01	2.4212685157e+03
1.2662614482e+07	9.8805357984e-01	2.4287597341e+03
1.2662614482e+07	9.8796930988e-01	2.4362723127e+03
1.2662614482e+07	9.8788478023e-01	2.4437958482e+03
1.2662614482e+07	9.8779998979e-01	2.4513207940e+03
1.2662614482e+07	9.8771493741e-01	2.4588386241e+03
1.2662614482e+07	9.8762962192e-01	2.4663446626e+03
1.2662614482e+07	9.8754404146e-01	2.4738694201e+03
1.2662614482e+07	9.8745818713e-01	2.4818194008e+03
1.2662614482e+07	9.8739649764e-01	2.4945935153e+03
1.2662614482e+07	9.8739530033e-01	2.5461048559e+03
1.2662614482e+07	9.8739319347e-01	2.5594218267e+03
1.2662614482e+07	9.8739111137e-01	2.5706359555e+03
1.2662614482e+07	9.8738905584e-01	2.5788930506e+03
1.2662614482e+07	9.8738702257e-01	2.5844047041e+03
1.2662614482e+07	9.8738500505e-01	2.5878974032e+03
1.2662614482e+07	9.8738299721e-01	2.5901503745e+03
1.2662614482e+07	9.8738099496e-01	2.5917363648e+03
1.2662614482e+07	9.8737899672e-01	2.5929019174e+03
1.2662614482e+07	9.8737700123e-01	2.5938486634e+03
1.2662614482e+07	9.8737500801e-01	2.5946636200e+03
1.2662614482e+07	9.8737301703e-01	2.5953863644e+03
1.2662614482e+07	9.8737102880e-01	2.5960687528e+03
1.2662614482e+07	9.8736904423e-01	2.5966831238e+03
1.2662614482e+07	9.8736706462e-01	2.5972046621e+03
1.2662614482e+07	9.8736509219e-01	2.5976061915e+03
1.2662614482e+07	9.8736313049e-01	2.5978384928e+03
1.2662614482e+07	9.8736118788e-01	2.5978111576e+03
1.2662614482e+07	9.8735927626e-01	2.5973349321e+03
1.2662614482e+07	9.8735741258e-01	2.5961360873e+03
1.2662614482e+07	9.8735562617e-01	2.5937754149e+03
1.2662614482e+07	9.8735396461e-01	2.5895400021e+03
1.2662614482e+07	9.8735255094e-01	2.5816341473e+03
1.2662614482e+07	9.8735153630e-01	2.5677498692e+03
1.2662614482e+07	9.8735118574e-01	2.5439046934e+03
1.2662614482e+07	9.8735190678e-01	2.5051745843e+03
1.2662614482e+07	9.8735431640e-01	2.4425560190e+03
1.2662614482e+07	9.8735941224e-01	2.3411936626e+03
1.2662614482e+07	9.8717418670e-01	2.1855618586e+03
1.2662614482e+07	9.8710798935e-01	2.1857353803e+03
1.2662614482e+07	9.8704243036e-01	2.1860272331e+03
1.2662614482e+07	9.8697727017e-01	2.1864896592e+03
1.2662614482e+07	9.8691230254e-01	2.1871435649e+03
1.2662614482e+07	9.8684741019e-01	2.1879825352e+03
1.2662614482e+07	9.8678252527e-01	2.1889886693e+03
1.2662614482e+07	9.8671730308e-01	2.1901422671e+03
1.2662614482e+07	9.8665133596e-01	2.1914254481e+03
1.2662614482e+07	9.8658526227e-01	2.1928229515e+03
1.2662614482e+07	9.8651906759e-01	2.1943220258e+03
1.2662614482e+07	9.8645274036e-01	2.1959120155e+03
1.2662614482e+07	9.8638627099e-01	2.1975839563e+03
1.2662614482e+07	9.8631965139e-01	2.1993302336e+03
1.2662614482e+07	9.8625287457e-01	2.2011443090e+03
1.2662614482e+07	9.8618593435e-01	2.2030205061e+03
1.2662614482e+07	9.8611882598e-01	2.2049538407e+03
1.2662614482e+07	9.8605154406e-01	2.2069398751e+03
1.2662614482e+07	9.8598365592e-01	2.2089746746e+03
1.2662614482e+07	9.8591484000e-01	2.2110547090e+03
1.2662614482e+07	9.8584583167e-01	2.2131767090e+03
1.2662614482e+07	9.8577638350e-01	2.2153376648e+03
1.2662614482e+07	9.8570537349e-01	2.2175347607e+03
1.2662614482e+07	9.8563415969e-01	2.2197652950e+03
1.2662614482e+07	9.8556273993e-01	2.2220267387e+03
1.2662614482e+07	9.8549111213e-01	2.2243166826e+03
1.2662614482e+07	9.8541927423e-01	2.2266328305e+03
1.2662614482e+07	9.8534722418e-01	2.2289729977e+03
1.2662614482e+07	9.8527496012e-01	2.2313351209e+03
1.2662614482e+07	9.8520244262e-01	2.2337172848e+03
1.2662614482e+07	9.8512840117e-01	2.2361177951e+03
