Phi_global	fO2_shift_IW_derived
9.9202555150e-01	-1.0481805699e+00
9.9195487280e-01	-1.0481545215e+00
9.9188394304e-01	-1.0481282990e+00
9.9181276091e-01	-1.0481019150e+00
9.9174132508e-01	-1.0480753812e+00
9.9166963194e-01	-1.0480487073e+00
9.9159767718e-01	-1.0480219014e+00
9.9152545889e-01	-1.0479949691e+00
9.9145297748e-01	-1.0479679130e+00
9.9138023293e-01	-1.0479407311e+00
9.9130722499e-01	-1.0479134163e+00
9.9123395057e-01	-1.0478859541e+00
9.9116041073e-01	-1.0478583230e+00
9.9108660131e-01	-1.0478304914e+00
9.9101252357e-01	-1.0478024185e+00
9.9093817349e-01	-1.0477740519e+00
9.9086355108e-01	-1.0477453285e+00
9.9078865456e-01	-1.0477161740e+00
9.9071348032e-01	-1.0476865037e+00
9.9063802936e-01	-1.0476562244e+00
9.9056229743e-01	-1.0476252349e+00
9.9048628387e-01	-1.0475934291e+00
9.9040998772e-01	-1.0475606977e+00
9.9033340397e-01	-1.0475269301e+00
9.9025653461e-01	-1.0474920184e+00
9.9017937453e-01	-1.0474558582e+00
9.9010192428e-01	-1.0474183533e+00
9.9002418039e-01	-1.0473794172e+00
9.8994614235e-01	-1.0473389778e+00
9.8986780641e-01	-1.0472969792e+00
9.8978917279e-01	-1.0472533856e+00
9.8971023773e-01	-1.0472081825e+00
9.8963099867e-01	-1.0471613787e+00
9.8955145301e-01	-1.0471130056e+00
9.8947159572e-01	-1.0470631163e+00
9.8939142478e-01	-1.0470117836e+00
9.8931094764e-01	-1.0469590980e+00
9.8923016422e-01	-1.0469051615e+00
9.8914907295e-01	-1.0468500852e+00
9.8906767227e-01	-1.0467939852e+00
9.8898596068e-01	-1.0467369792e+00
9.8890393655e-01	-1.0466791839e+00
9.8882159823e-01	-1.0466207121e+00
9.8873894414e-01	-1.0465616715e+00
9.8865597258e-01	-1.0465021630e+00
9.8857268182e-01	-1.0464422804e+00
9.8848907011e-01	-1.0463821096e+00
9.8840513556e-01	-1.0463217291e+00
9.8832087640e-01	-1.0462612096e+00
9.8823629084e-01	-1.0462006151e+00
9.8815137707e-01	-1.0461397207e+00
9.8806613327e-01	-1.0460785258e+00
9.8798055759e-01	-1.0460174132e+00
9.8789464818e-01	-1.0459564245e+00
9.8780840312e-01	-1.0458955870e+00
9.8772182006e-01	-1.0458348190e+00
9.8763489213e-01	-1.0457729000e+00
9.8754756549e-01	-1.0456964918e+00
9.8754136135e-01	-1.0454871466e+00
9.8753764657e-01	-1.0452935312e+00
9.8753420017e-01	-1.0452025650e+00
9.8753079762e-01	-1.0451394078e+00
9.8752742829e-01	-1.0451015231e+00
9.8752407973e-01	-1.0450792944e+00
9.8752074416e-01	-1.0450650878e+00
9.8751741575e-01	-1.0450549446e+00
9.8751409272e-01	-1.0450467270e+00
9.8751077519e-01	-1.0450396684e+00
9.8750746811e-01	-1.0450331865e+00
9.8750417189e-01	-1.0450278669e+00
9.8750089300e-01	-1.0450241269e+00
9.8749764342e-01	-1.0450228639e+00
9.8749445817e-01	-1.0450262464e+00
9.8749137806e-01	-1.0450383092e+00
9.8748849024e-01	-1.0450662068e+00
9.8748598056e-01	-1.0451250132e+00
9.8748427082e-01	-1.0452492892e+00
9.8748405083e-01	-1.0454970522e+00
9.8748613180e-01	-1.0459020430e+00
9.8749094185e-01	-1.0465584997e+00
9.8747081328e-01	-1.0476330158e+00
9.8736998214e-01	-1.0480197671e+00
9.8737165215e-01	-1.0480236355e+00
9.8737332923e-01	-1.0480275039e+00
9.8737496999e-01	-1.0480314676e+00
9.8731851465e-01	-1.0480243355e+00
9.8726239831e-01	-1.0480148481e+00
9.8720620234e-01	-1.0480037461e+00
9.8715002865e-01	-1.0479908044e+00
9.8709229054e-01	-1.0479760014e+00
9.8703409621e-01	-1.0479597127e+00
9.8697491793e-01	-1.0479421181e+00
9.8691551565e-01	-1.0479234876e+00
9.8685572740e-01	-1.0479039498e+00
9.8679502197e-01	-1.0478835615e+00
9.8673411944e-01	-1.0478624897e+00
9.8667233128e-01	-1.0478407333e+00
9.8660879820e-01	-1.0478182599e+00
9.8654504391e-01	-1.0477952829e+00
9.8648106497e-01	-1.0477718445e+00
9.8641590749e-01	-1.0477478792e+00
9.8635001299e-01	-1.0477234664e+00
