Phi_global	P_surf	H2O_kg_total	H2O_vmr	CO2_kg_total	CO2_vmr	O2_kg_total	O2_vmr	H2_vmr	CH4_vmr	CO_kg_total	CO_vmr	N2_vmr	S2_vmr	SO2_vmr	H2S_vmr
1.0000000000e+00	3.3543016817e+02	7.4130406672e+21	9.6263209542e-04	6.6460775492e+18	1.0883848430e-03	8.1816350749e+14	2.6524853647e-07	8.8054638845e-02	5.8347508375e-06	2.9299375096e+21	9.0981327126e-01	7.2956263459e-05	9.0014740491e-10	2.9812464557e-33	1.7268733445e-06
1.0000000000e+00	3.3543016660e+02	7.4130406650e+21	9.6263210942e-04	6.6460774916e+18	1.0883848415e-03	8.1816350749e+14	2.6524853772e-07	8.8054640126e-02	5.8347509442e-06	2.9299374912e+21	9.0981326997e-01	7.2956264632e-05	9.0014741855e-10	2.9812464697e-33	1.7268733787e-06
1.0000000000e+00	3.3543016660e+02	7.4130406650e+21	9.6263210942e-04	6.6460774916e+18	1.0883848415e-03	8.1816350749e+14	2.6524853772e-07	8.8054640126e-02	5.8347509442e-06	2.9299374912e+21	9.0981326997e-01	7.2956264632e-05	9.0014741855e-10	2.9812464697e-33	1.7268733787e-06
1.0000000000e+00	3.3543016660e+02	7.4130406650e+21	9.6263210942e-04	6.6460774916e+18	1.0883848415e-03	8.1816350749e+14	2.6524853772e-07	8.8054640126e-02	5.8347509442e-06	2.9299374912e+21	9.0981326997e-01	7.2956264632e-05	9.0014741855e-10	2.9812464697e-33	1.7268733787e-06
1.0000000000e+00	3.3543117586e+02	7.4106567363e+21	9.6201042449e-04	6.6338772499e+18	1.0863587797e-03	8.4175961570e+14	2.7289757283e-07	8.8083404970e-02	5.7855483106e-06	2.9298627215e+21	9.0978711729e-01	7.3033958667e-05	9.0910080002e-10	2.9812374996e-33	1.7267965499e-06
1.0000000000e+00	3.3543105742e+02	7.4108848314e+21	9.6207010113e-04	6.6350398554e+18	1.0865519561e-03	8.3948307178e+14	2.7215961581e-07	8.8080669975e-02	5.7902117294e-06	2.9298696237e+21	9.0978960284e-01	7.3026569568e-05	9.0824482559e-10	2.9812385522e-33	1.7268047684e-06
1.0000000000e+00	3.3543096189e+02	7.4111115613e+21	9.6212920663e-04	6.6361970382e+18	1.0867441168e-03	8.3722434453e+14	2.7142741588e-07	8.8077932677e-02	5.7948546719e-06	2.9298767464e+21	9.0979209228e-01	7.3019202200e-05	9.0739375149e-10	2.9812394013e-33	1.7268123445e-06
1.0000000000e+00	3.3542999444e+02	7.4133636729e+21	9.6271657427e-04	6.6477372230e+18	1.0886606260e-03	8.1499853535e+14	2.6422258964e-07	8.8050759940e-02	5.8415036403e-06	2.9299472478e+21	9.0981679466e-01	7.2945700409e-05	8.9893311688e-10	2.9812479998e-33	1.7268835398e-06
1.0000000000e+00	3.3542847240e+02	7.4169475178e+21	9.6365147952e-04	6.6662791146e+18	1.0917400730e-03	7.8041283972e+14	2.5301105244e-07	8.8007513048e-02	5.9177722835e-06	2.9300595175e+21	9.0985607956e-01	7.2827446461e-05	8.8544321066e-10	2.9812615275e-33	1.7269794304e-06
1.0000000000e+00	3.3542605912e+02	7.4226309147e+21	9.6513502372e-04	6.6961462053e+18	1.0967010236e-03	7.2750867126e+14	2.3586113594e-07	8.7938949596e-02	6.0441321826e-06	2.9302372405e+21	9.0991827884e-01	7.2636586284e-05	8.6398376672e-10	2.9812829767e-33	1.7270871043e-06
1.0000000000e+00	3.3542228897e+02	7.4315114394e+21	9.6745541471e-04	6.7440198535e+18	1.1046544489e-03	6.4950835525e+14	2.1057549748e-07	8.7831863217e-02	6.2560637268e-06	2.9305141161e+21	9.1001520957e-01	7.2329708607e-05	8.3028594489e-10	2.9813164863e-33	1.7271400050e-06
1.0000000000e+00	3.3541645342e+02	7.4452572869e+21	9.7105259923e-04	6.8213157204e+18	1.1174999924e-03	5.3958762053e+14	1.7494141150e-07	8.7666220989e-02	6.6242687048e-06	2.9309405171e+21	9.1016457119e-01	7.1831861142e-05	7.7771054133e-10	2.9813683551e-33	1.7269175589e-06
1.0000000000e+00	3.4950527096e+02	7.4688262757e+21	9.3784695415e-04	7.1081259782e+18	1.1426900693e-03	3.8051132773e+14	1.2359981293e-07	8.3957328439e-02	7.3360473461e-06	2.9416575179e+21	9.1388530890e-01	6.7418905441e-05	6.6926174518e-10	2.8611871783e-33	1.6574729686e-06
1.0000000000e+00	3.4950370547e+02	7.4810947748e+21	9.4091010713e-04	7.1900201100e+18	1.1560472761e-03	3.1169690656e+14	1.0124758213e-07	8.3812683180e-02	7.8229542562e-06	2.9420553291e+21	9.1401357627e-01	6.6909401205e-05	6.2299320982e-10	2.8611999940e-33	1.6562046833e-06
1.0000000000e+00	3.4949977173e+02	7.4901399785e+21	9.4319577142e-04	7.2538178823e+18	1.1664721379e-03	2.6622957874e+14	8.6479538169e-08	8.3708129539e-02	8.2367785366e-06	2.9423155878e+21	9.1410541564e-01	6.6512214935e-05	5.8852871970e-10	2.8612321978e-33	1.6550188498e-06
1.0000000000e+00	3.4949658116e+02	7.4974451198e+21	9.4504386079e-04	7.3078544503e+18	1.1753048354e-03	2.3263302284e+14	7.5567035534e-08	8.3623737897e-02	8.6123321257e-06	2.9425240950e+21	9.1417909772e-01	6.6174844390e-05	5.6044251493e-10	2.8612583181e-33	1.6538431362e-06
9.9985939331e-01	3.4949568190e+02	7.5062479699e+21	9.4753172685e-04	7.3761678473e+18	1.1865509258e-03	1.9550129964e+14	6.3505565498e-08	8.3543212690e-02	9.1322935006e-06	2.9427113916e+21	9.1424579267e-01	6.5760612079e-05	5.2620485811e-10	2.8612656802e-33	1.6527801590e-06
9.9980503929e-01	3.4949692911e+02	7.5062238891e+21	9.4762470873e-04	7.3758830337e+18	1.1865332249e-03	1.9552189027e+14	6.3512027395e-08	8.3551586228e-02	9.1337689049e-06	2.9426878804e+21	9.1423733512e-01	6.5767544046e-05	5.2628013917e-10	2.8612554695e-33	1.6530351622e-06
9.9975139281e-01	3.4949807813e+02	7.5061980909e+21	9.4771670572e-04	7.3755833136e+18	1.1865131540e-03	1.9554985087e+14	6.3520901099e-08	8.3559935729e-02	9.1351140127e-06	2.9426636934e+21	9.1422890503e-01	6.5774537502e-05	5.2636235768e-10	2.8612460628e-33	1.6532889661e-06
9.9969762433e-01	3.4949923114e+02	7.5061691571e+21	9.4780814592e-04	7.3752582367e+18	1.1864890007e-03	1.9559011825e+14	6.3533771642e-08	8.3568340993e-02	9.1362702717e-06	2.9426393609e+21	9.1422042384e-01	6.5781702720e-05	5.2645680083e-10	2.8612366235e-33	1.6535440611e-06
9.9964400156e-01	3.4950038263e+02	7.5061366925e+21	9.4789843719e-04	7.3749051038e+18	1.1864601786e-03	1.9564464271e+14	6.3551273503e-08	8.3576766414e-02	9.1371982133e-06	2.9426149887e+21	9.1421192836e-01	6.5789031180e-05	5.2656510969e-10	2.8612271966e-33	1.6537992931e-06
9.9958971443e-01	3.4950154985e+02	7.5061005395e+21	9.4798902786e-04	7.3745212601e+18	1.1864266905e-03	1.9571293041e+14	6.3573243090e-08	8.3585335461e-02	9.1379326732e-06	2.9425902180e+21	9.1420329356e-01	6.5796616861e-05	5.2668762335e-10	2.8612176410e-33	1.6540584466e-06
9.9953530214e-01	3.4950272113e+02	7.5060612559e+21	9.4807906865e-04	7.3741121239e+18	1.1863891312e-03	1.9579351977e+14	6.3599207716e-08	8.3593960773e-02	9.1384788353e-06	2.9425653001e+21	9.1419460712e-01	6.5804374433e-05	5.2682235127e-10	2.8612080523e-33	1.6543189057e-06
