config,Phi_global,H2O_vmr,CO2_vmr,O2_vmr,H2_vmr,CH4_vmr,CO_vmr,N2_vmr,S2_vmr,SO2_vmr,H2S_vmr,P_surf,fO2_shift_IW_derived,O_kg_total,O_res
S2_m5_IW0_fixed,4.9569780392e-01,1.5052573943e-02,1.3139766965e-01,6.0135937017e-06,1.2867626906e-02,1.8982223765e-08,8.3292594625e-01,7.6353335896e-03,2.7926468091e-06,6.4376785541e-05,4.7232461496e-05,4.7684760478e+02,0.0000000000e+00,1.8097930924e+22,0.0000000000e+00
S2_m5_IW0_fixed,4.9565938270e-01,1.5054910170e-02,1.3133801307e-01,6.0945982730e-06,1.2869261608e-02,1.8887302907e-08,8.3298128155e-01,7.6351481625e-03,2.8076983126e-06,6.4795796532e-05,4.7253753962e-05,4.7684859112e+02,0.0000000000e+00,1.8097808659e+22,0.0000000000e+00
S2_m5_IW0_fixed,4.9562132628e-01,1.5057219998e-02,1.3128027453e-01,6.1739988048e-06,1.2870892231e-02,1.8796100996e-08,8.3303473768e-01,7.6349678274e-03,2.8223438616e-06,6.5203768985e-05,4.7274602985e-05,4.7684963512e+02,0.0000000000e+00,1.8097689326e+22,0.0000000000e+00
S2_m5_IW0_fixed,4.9558348563e-01,1.5059512532e-02,1.3122424459e-01,6.2519997451e-06,1.2872524691e-02,1.8708236194e-08,8.3308650809e-01,7.6347919260e-03,2.8366303819e-06,6.5601970439e-05,4.7295087024e-05,4.7685074149e+02,0.0000000000e+00,1.8097572546e+22,0.0000000000e+00
S2_m5_IW0_fixed,4.9554572354e-01,1.5061796143e-02,1.3116973403e-01,6.3287920474e-06,1.2874164502e-02,1.8623367563e-08,8.3313676728e-01,7.6346198606e-03,2.8506007772e-06,6.5991562216e-05,4.7315277729e-05,4.7685191478e+02,0.0000000000e+00,1.8097457971e+22,0.0000000000e+00
S2_m5_IW0_fixed,4.9550794932e-01,1.5064076517e-02,1.3111656554e-01,6.4045637037e-06,1.2875815040e-02,1.8541173998e-08,8.3318568260e-01,7.6344511058e-03,2.8642955880e-06,6.6373652382e-05,4.7335232018e-05,4.7685315542e+02,0.0000000000e+00,1.8097345285e+22,0.0000000000e+00
S2_m5_IW0_fixed,4.9547015123e-01,1.5066354799e-02,1.3106457693e-01,6.4794945379e-06,1.2877475966e-02,1.8461353096e-08,8.3323341460e-01,7.6342852464e-03,2.8777518350e-06,6.6749268685e-05,4.7354982665e-05,4.7685445665e+02,0.0000000000e+00,1.8097234226e+22,0.0000000000e+00
S2_m5_IW0_fixed,4.9543223111e-01,1.5068637822e-02,1.3101328515e-01,6.5542489397e-06,1.2879150149e-02,1.8383095152e-08,8.3328043365e-01,7.6341209782e-03,2.8910898121e-06,6.7121799065e-05,4.7374644486e-05,4.7685580499e+02,0.0000000000e+00,1.8097123895e+22,0.0000000000e+00
S2_m5_IW0_fixed,4.9539396511e-01,1.5070939648e-02,1.3096216231e-01,6.6295875116e-06,1.2880846613e-02,1.8305553818e-08,8.3332724123e-01,7.6339567658e-03,2.9044443828e-06,6.7495034713e-05,4.7394374701e-05,4.7685719752e+02,0.0000000000e+00,1.8097013237e+22,0.0000000000e+00
S2_m5_IW0_fixed,4.9535522883e-01,1.5073265908e-02,1.3091182157e-01,6.7045784740e-06,1.2882573326e-02,1.8229742982e-08,8.3337321483e-01,7.6337940403e-03,2.9176583966e-06,6.7864464578e-05,4.7414095377e-05,4.7685867621e+02,0.0000000000e+00,1.8096903350e+22,0.0000000000e+00
S2_m5_IW0_fixed,4.9531593683e-01,1.5075621818e-02,1.3086214244e-01,6.7793739617e-06,1.2884333898e-02,1.8155460303e-08,8.3341846546e-01,7.6336324211e-03,2.9307613471e-06,6.8230900795e-05,4.7433851918e-05,4.7686024382e+02,0.0000000000e+00,1.8096793995e+22,0.0000000000e+00
S2_m5_IW0_fixed,4.9527600840e-01,1.5078012298e-02,1.3081301257e-01,6.8541213731e-06,1.2886131782e-02,1.8082519686e-08,8.3346309648e-01,7.6334715519e-03,2.9437811242e-06,6.8595113330e-05,4.7453687010e-05,4.7686190300e+02,0.0000000000e+00,1.8096684944e+22,0.0000000000e+00
S2_m5_IW0_fixed,4.9523536668e-01,1.5080442031e-02,1.3076432636e-01,6.9289647803e-06,1.2887970308e-02,1.8010748785e-08,8.3350720484e-01,7.6333110966e-03,2.9567443207e-06,6.8957838316e-05,4.7473641105e-05,4.7686365636e+02,0.0000000000e+00,1.8096575981e+22,0.0000000000e+00
S2_m5_IW0_fixed,4.9519393780e-01,1.5082915515e-02,1.3071598376e-01,7.0040463221e-06,1.2889852714e-02,1.7939986782e-08,8.3355088227e-01,7.6331507356e-03,2.9696765194e-06,6.9319785897e-05,4.7493752875e-05,4.7686550647e+02,0.0000000000e+00,1.8096466897e+22,0.0000000000e+00
S2_m5_IW0_fixed,4.9515165020e-01,1.5085437101e-02,1.3066788920e-01,7.0795074764e-06,1.2891782176e-02,1.7870082502e-08,8.3359421623e-01,7.6329901621e-03,2.9826025465e-06,6.9681647161e-05,4.7514059591e-05,4.7686745590e+02,0.0000000000e+00,1.8096357489e+22,0.0000000000e+00
S2_m5_IW0_fixed,4.9510843376e-01,1.5088011050e-02,1.3061995029e-01,7.1554907316e-06,1.2893761844e-02,1.7800892339e-08,8.3363729111e-01,7.6328290785e-03,2.9955467779e-06,7.0044102645e-05,4.7534597592e-05,4.7686950725e+02,0.0000000000e+00,1.8096247555e+22,0.0000000000e+00
S2_m5_IW0_fixed,4.9506421955e-01,1.5090641548e-02,1.3057207736e-01,7.2321402876e-06,1.2895794851e-02,1.7732279265e-08,8.3368018867e-01,7.6326671947e-03,3.0085332689e-06,7.0407825892e-05,4.7555402453e-05,4.7687166312e+02,0.0000000000e+00,1.8096136899e+22,0.0000000000e+00
S2_m5_IW0_fixed,4.9501893860e-01,1.5093332777e-02,1.3052418184e-01,7.3096044851e-06,1.2897884368e-02,1.7664110421e-08,8.3372298954e-01,7.6325042231e-03,3.0215861645e-06,7.0773494958e-05,4.7576509595e-05,4.7687392619e+02,0.0000000000e+00,1.8096025322e+22,0.0000000000e+00
S2_m5_IW0_fixed,4.9497252164e-01,1.5096088937e-02,1.3047617568e-01,7.3880368447e-06,1.2900033620e-02,1.7596256143e-08,8.3376577372e-01,7.6323398767e-03,3.0347298607e-06,7.1141796956e-05,4.7597954487e-05,4.7687629919e+02,0.0000000000e+00,1.8095912622e+22,0.0000000000e+00
S2_m5_IW0_fixed,4.9492489869e-01,1.5098914266e-02,1.3042797074e-01,7.4675972303e-06,1.2902245895e-02,1.7528589002e-08,8.3380862121e-01,7.6321738673e-03,3.0479891762e-06,7.1513432945e-05,4.7619772860e-05,4.7687878492e+02,0.0000000000e+00,1.8095798593e+22,0.0000000000e+00
S2_m5_IW0_fixed,4.9487599794e-01,1.5101813112e-02,1.3037947728e-01,7.5484545231e-06,1.2904524605e-02,1.7460981697e-08,8.3385161330e-01,7.6320059006e-03,3.0613897638e-06,7.1889129576e-05,4.7642001293e-05,4.7688138633e+02,0.0000000000e+00,1.8095683025e+22,0.0000000000e+00
S2_m5_IW0_fixed,4.9482574579e-01,1.5104789926e-02,1.3033060389e-01,7.6307872394e-06,1.2906873281e-02,1.7393306857e-08,8.3389483275e-01,7.6318356761e-03,3.0749581651e-06,7.2269640781e-05,4.7664677220e-05,4.7688410644e+02,0.0000000000e+00,1.8095565698e+22,0.0000000000e+00
S2_m5_IW0_fixed,4.9477406582e-01,1.5107849328e-02,1.3028125636e-01,7.7147857700e-06,1.2909295625e-02,1.7325435658e-08,8.3393836469e-01,7.6316628832e-03,3.0887221261e-06,7.2655756758e-05,4.7687839427e-05,4.7688694845e+02,0.0000000000e+00,1.8095446381e+22,0.0000000000e+00
