Phi_global	fO2_shift_IW_derived
1.0000000000e+00	-2.0187314619e+00
1.0000000000e+00	-2.0187314619e+00
1.0000000000e+00	-2.0187314619e+00
1.0000000000e+00	-2.0187314619e+00
1.0000000000e+00	-2.0178762789e+00
1.0000000000e+00	-2.0179517614e+00
1.0000000000e+00	-2.0180268898e+00
1.0000000000e+00	-2.0187722854e+00
1.0000000000e+00	-2.0199592286e+00
1.0000000000e+00	-2.0218435816e+00
1.0000000000e+00	-2.0247969008e+00
1.0000000000e+00	-2.0293841212e+00
1.0000000000e+00	-2.0363530707e+00
1.0000000000e+00	-2.0477401475e+00
1.0000000000e+00	-2.0526973650e+00
9.9991402041e-01	-2.0545802523e+00
9.9979644774e-01	-2.0547385325e+00
9.9973985095e-01	-2.0547306159e+00
9.9968371964e-01	-2.0547217606e+00
9.9962761286e-01	-2.0547116254e+00
9.9957124287e-01	-2.0547001531e+00
9.9951447425e-01	-2.0546874452e+00
9.9945762946e-01	-2.0546736847e+00
9.9939996124e-01	-2.0546589317e+00
9.9934171447e-01	-2.0546433278e+00
9.9928252914e-01	-2.0546269301e+00
9.9922247189e-01	-2.0546098232e+00
9.9916210368e-01	-2.0545921293e+00
9.9910154187e-01	-2.0545739138e+00
9.9904038525e-01	-2.0545551798e+00
9.9897852408e-01	-2.0545359546e+00
9.9891603992e-01	-2.0545162798e+00
9.9885265356e-01	-2.0544961557e+00
9.9878832788e-01	-2.0544756043e+00
9.9872359428e-01	-2.0544547044e+00
9.9865863014e-01	-2.0544334956e+00
9.9859272915e-01	-2.0544119236e+00
9.9852523992e-01	-2.0543899381e+00
9.9845747514e-01	-2.0543676929e+00
9.9838752087e-01	-2.0543450039e+00
9.9831728974e-01	-2.0543220857e+00
9.9824681067e-01	-2.0542989555e+00
9.9817608234e-01	-2.0542756269e+00
9.9810510349e-01	-2.0542521128e+00
9.9803387278e-01	-2.0542284257e+00
9.9796238889e-01	-2.0542045770e+00
9.9789065053e-01	-2.0541805777e+00
9.9781865633e-01	-2.0541564372e+00
9.9774640492e-01	-2.0541321634e+00
9.9767389428e-01	-2.0541077622e+00
9.9760112242e-01	-2.0540832364e+00
9.9752808776e-01	-2.0540585853e+00
9.9745478918e-01	-2.0540338036e+00
9.9738122567e-01	-2.0540088801e+00
9.9730739589e-01	-2.0539837972e+00
9.9723329820e-01	-2.0539585291e+00
9.9715893152e-01	-2.0539330412e+00
9.9708429395e-01	-2.0539072893e+00
9.9700938425e-01	-2.0538812195e+00
9.9693420093e-01	-2.0538547677e+00
9.9685874199e-01	-2.0538278606e+00
9.9678300654e-01	-2.0538004163e+00
9.9670699209e-01	-2.0537723457e+00
9.9663069755e-01	-2.0537435540e+00
9.9655412147e-01	-2.0537139428e+00
9.9647726115e-01	-2.0536834112e+00
9.9640011610e-01	-2.0536518587e+00
9.9632268374e-01	-2.0536191863e+00
9.9624496265e-01	-2.0535852996e+00
9.9616695150e-01	-2.0535501106e+00
9.9608864761e-01	-2.0535135409e+00
9.9601005056e-01	-2.0534755244e+00
9.9593115695e-01	-2.0534360099e+00
9.9585196657e-01	-2.0533949645e+00
9.9577247644e-01	-2.0533523746e+00
9.9569268519e-01	-2.0533082480e+00
9.9561259088e-01	-2.0532626136e+00
9.9553219099e-01	-2.0532155201e+00
9.9545148305e-01	-2.0531670344e+00
9.9537046387e-01	-2.0531172389e+00
9.9528913095e-01	-2.0530662279e+00
9.9520748709e-01	-2.0530141055e+00
9.9512553142e-01	-2.0529609803e+00
9.9504326226e-01	-2.0529069633e+00
9.9496067791e-01	-2.0528521649e+00
9.9487777666e-01	-2.0527966927e+00
9.9479455680e-01	-2.0527406500e+00
9.9471101657e-01	-2.0526841344e+00
9.9462715427e-01	-2.0526272371e+00
9.9454296811e-01	-2.0525700424e+00
9.9445845629e-01	-2.0525126277e+00
9.9437361690e-01	-2.0524550637e+00
9.9428844810e-01	-2.0523974147e+00
9.9420294807e-01	-2.0523397384e+00
9.9411711493e-01	-2.0522819090e+00
9.9403094681e-01	-2.0522237477e+00
9.9394444181e-01	-2.0521656915e+00
9.9385759775e-01	-2.0521076531e+00
9.9377040991e-01	-2.0520483000e+00
9.9368284666e-01	-2.0519730709e+00
9.9368211984e-01	-2.0517547232e+00
9.9367864896e-01	-2.0515889464e+00
9.9367528394e-01	-2.0514968494e+00
9.9367194332e-01	-2.0514319570e+00
9.9366862171e-01	-2.0513929173e+00
9.9366531347e-01	-2.0513703333e+00
9.9366201534e-01	-2.0513562989e+00
9.9365872119e-01	-2.0513465819e+00
9.9365542992e-01	-2.0513388511e+00
9.9365214152e-01	-2.0513322998e+00
9.9364886283e-01	-2.0513263273e+00
9.9364558982e-01	-2.0513214953e+00
9.9364232590e-01	-2.0513182092e+00
9.9363907717e-01	-2.0513173416e+00
9.9363586629e-01	-2.0513210101e+00
9.9363271048e-01	-2.0513331135e+00
9.9362965480e-01	-2.0513605657e+00
9.9362679363e-01	-2.0514174925e+00
9.9362435117e-01	-2.0515375923e+00
9.9362267693e-01	-2.0517760712e+00
9.9362239459e-01	-2.0521656147e+00
9.9362349069e-01	-2.0527954036e+00
9.9356616239e-01	-2.0538240439e+00
9.9342357563e-01	-2.0540709668e+00
9.9336604693e-01	-2.0540623134e+00
9.9330875208e-01	-2.0540524527e+00
9.9325155546e-01	-2.0540410848e+00
9.9319373905e-01	-2.0540281799e+00
9.9313575465e-01	-2.0540139648e+00
9.9307729804e-01	-2.0539985974e+00
9.9301823238e-01	-2.0539822248e+00
9.9295783982e-01	-2.0539649009e+00
9.9289671957e-01	-2.0539467915e+00
9.9283504181e-01	-2.0539279969e+00
9.9277316447e-01	-2.0539086219e+00
9.9271072487e-01	-2.0538886836e+00
9.9264748247e-01	-2.0538682034e+00
9.9258351509e-01	-2.0538472291e+00
9.9251866952e-01	-2.0538257790e+00
9.9245270022e-01	-2.0538038573e+00
9.9238644206e-01	-2.0537815784e+00
9.9231994663e-01	-2.0537589716e+00
9.9225172700e-01	-2.0537359020e+00
9.9218257595e-01	-2.0537124729e+00
9.9211217429e-01	-2.0536886690e+00
9.9204040150e-01	-2.0536644947e+00
9.9196837587e-01	-2.0536400838e+00
9.9189609608e-01	-2.0536154516e+00
9.9182356083e-01	-2.0535906127e+00
9.9175076879e-01	-2.0535655808e+00
9.9167771864e-01	-2.0535403695e+00
9.9160440901e-01	-2.0535149912e+00
9.9153083856e-01	-2.0534894579e+00
9.9145700593e-01	-2.0534637804e+00
9.9138290725e-01	-2.0534379681e+00
9.9130853837e-01	-2.0534120282e+00
9.9123389741e-01	-2.0533859661e+00
9.9115898482e-01	-2.0533597839e+00
9.9108380042e-01	-2.0533334797e+00
9.9100834389e-01	-2.0533070463e+00
9.9093261221e-01	-2.0532804699e+00
9.9085660618e-01	-2.0532537295e+00
9.9078032178e-01	-2.0532267951e+00
9.9070376014e-01	-2.0531996275e+00
9.9062691707e-01	-2.0531721765e+00
9.9054979279e-01	-2.0531443821e+00
9.9047238522e-01	-2.0531161735e+00
9.9039469102e-01	-2.0530874700e+00
9.9031671102e-01	-2.0530581832e+00
9.9023844077e-01	-2.0530282169e+00
9.9015987985e-01	-2.0529974704e+00
9.9008102698e-01	-2.0529658400e+00
9.9000187736e-01	-2.0529332212e+00
9.8992243281e-01	-2.0528995117e+00
9.8984268797e-01	-2.0528646128e+00
9.8976264373e-01	-2.0528284335e+00
9.8968229599e-01	-2.0527908924e+00
9.8960164472e-01	-2.0527519215e+00
9.8952068556e-01	-2.0527114684e+00
9.8943941890e-01	-2.0526694998e+00
9.8935784109e-01	-2.0526260027e+00
9.8927594903e-01	-2.0525809858e+00
9.8919373995e-01	-2.0525344796e+00
9.8911120933e-01	-2.0524865349e+00
9.8902835218e-01	-2.0524372208e+00
9.8894517398e-01	-2.0523866231e+00
9.8886167920e-01	-2.0523348390e+00
9.8877786628e-01	-2.0522819739e+00
9.8869373359e-01	-2.0522281375e+00
9.8860927951e-01	-2.0521734413e+00
9.8852450238e-01	-2.0521179952e+00
9.8843940053e-01	-2.0520619061e+00
9.8835397232e-01	-2.0520052755e+00
9.8826821602e-01	-2.0519481985e+00
9.8818212985e-01	-2.0518907638e+00
9.8809571197e-01	-2.0518330523e+00
9.8800896037e-01	-2.0517751379e+00
9.8792187329e-01	-2.0517170876e+00
9.8783444884e-01	-2.0516589616e+00
9.8774668515e-01	-2.0516005226e+00
9.8765858034e-01	-2.0515418174e+00
9.8757013251e-01	-2.0514831849e+00
9.8748133973e-01	-2.0514246643e+00
9.8739220002e-01	-2.0513662803e+00
9.8730271091e-01	-2.0513079437e+00
9.8721286498e-01	-2.0512483701e+00
9.8712260344e-01	-2.0511735738e+00
9.8712000109e-01	-2.0509618624e+00
9.8711622004e-01	-2.0507952842e+00
9.8711266020e-01	-2.0507088882e+00
9.8710914496e-01	-2.0506489103e+00
9.8710566361e-01	-2.0506129441e+00
9.8710220348e-01	-2.0505918537e+00
9.8709875670e-01	-2.0505783861e+00
9.8709531730e-01	-2.0505687733e+00
9.8709188354e-01	-2.0505609912e+00
9.8708845569e-01	-2.0505543218e+00
9.8708503915e-01	-2.0505482381e+00
9.8708163470e-01	-2.0505433230e+00
9.8707824968e-01	-2.0505400265e+00
9.8707489777e-01	-2.0505392963e+00
9.8707161835e-01	-2.0505434434e+00
9.8706845808e-01	-2.0505566462e+00
9.8706551591e-01	-2.0505863881e+00
9.8706300319e-01	-2.0506484762e+00
9.8706139871e-01	-2.0507790734e+00
9.8706148795e-01	-2.0510389824e+00
9.8706415013e-01	-2.0514635780e+00
9.8706946299e-01	-2.0521506535e+00
9.8697498650e-01	-2.0532708724e+00
9.8693953183e-01	-2.0533756461e+00
9.8694118048e-01	-2.0533796943e+00
9.8694281956e-01	-2.0533837796e+00
9.8694426255e-01	-2.0533879476e+00
9.8688529360e-01	-2.0533799559e+00
9.8682682833e-01	-2.0533704371e+00
9.8676829423e-01	-2.0533594043e+00
9.8670977575e-01	-2.0533466389e+00
9.8665059607e-01	-2.0533322072e+00
9.8659133226e-01	-2.0533164115e+00
9.8653110965e-01	-2.0532993812e+00
9.8646997218e-01	-2.0532812984e+00
9.8640786051e-01	-2.0532622945e+00
9.8634484489e-01	-2.0532424838e+00
9.8628162413e-01	-2.0532220254e+00
9.8621799716e-01	-2.0532009663e+00
9.8615335016e-01	-2.0531792979e+00
9.8608803577e-01	-2.0531571046e+00
9.8602171259e-01	-2.0531343903e+00
9.8595421840e-01	-2.0531111727e+00
9.8588642125e-01	-2.0530875741e+00
9.8581837022e-01	-2.0530636267e+00
9.8574816319e-01	-2.0530391525e+00
9.8567734417e-01	-2.0530143374e+00
9.8560461144e-01	-2.0529890632e+00
9.8553105177e-01	-2.0529634638e+00
9.8545723302e-01	-2.0529376169e+00
9.8538315391e-01	-2.0529115388e+00
9.8530881305e-01	-2.0528852450e+00
9.8523420912e-01	-2.0528587503e+00
9.8515934076e-01	-2.0528320688e+00
9.8508420661e-01	-2.0528052141e+00
9.8500880528e-01	-2.0527781989e+00
9.8493313348e-01	-2.0527510351e+00
9.8485718178e-01	-2.0527237328e+00
9.8478094786e-01	-2.0526963011e+00
9.8470443322e-01	-2.0526687478e+00
9.8462763956e-01	-2.0526410778e+00
9.8455056740e-01	-2.0526132924e+00
9.8447321293e-01	-2.0525853879e+00
9.8439557827e-01	-2.0525573555e+00
9.8431765848e-01	-2.0525291787e+00
9.8423945635e-01	-2.0525008336e+00
9.8416096459e-01	-2.0524722860e+00
9.8408218692e-01	-2.0524434923e+00
9.8400311822e-01	-2.0524143973e+00
9.8392375725e-01	-2.0523849348e+00
9.8384410477e-01	-2.0523550285e+00
9.8376415264e-01	-2.0523245909e+00
9.8368390513e-01	-2.0522935274e+00
9.8360335666e-01	-2.0522617362e+00
9.8352250524e-01	-2.0522291113e+00
9.8344135133e-01	-2.0521955450e+00
9.8335988760e-01	-2.0521609299e+00
9.8327811836e-01	-2.0521251633e+00
9.8319603388e-01	-2.0520881479e+00
9.8311363890e-01	-2.0520497976e+00
9.8303092584e-01	-2.0520100384e+00
9.8294789466e-01	-2.0519688130e+00
9.8286454247e-01	-2.0519260832e+00
9.8278086461e-01	-2.0518818318e+00
9.8269685668e-01	-2.0518360640e+00
9.8261251151e-01	-2.0517888073e+00
9.8252782591e-01	-2.0517401111e+00
9.8244281573e-01	-2.0516900462e+00
9.8235748237e-01	-2.0516386981e+00
9.8227182435e-01	-2.0515861643e+00
9.8218584020e-01	-2.0515325510e+00
9.8209952836e-01	-2.0514779695e+00
9.8201288729e-01	-2.0514225325e+00
9.8192591536e-01	-2.0513663511e+00
9.8183861100e-01	-2.0513095328e+00
9.8175097257e-01	-2.0512521796e+00
9.8166299825e-01	-2.0511943868e+00
9.8157468612e-01	-2.0511362422e+00
9.8148603421e-01	-2.0510778261e+00
9.8139704071e-01	-2.0510192111e+00
9.8130770374e-01	-2.0509604625e+00
9.8121802143e-01	-2.0509012935e+00
9.8112799190e-01	-2.0508418570e+00
9.8103761322e-01	-2.0507824459e+00
9.8094688345e-01	-2.0507231025e+00
9.8085580066e-01	-2.0506638647e+00
9.8076436285e-01	-2.0506047655e+00
9.8067256794e-01	-2.0505458228e+00
9.8058041310e-01	-2.0504869283e+00
9.8048788719e-01	-2.0504266400e+00
9.8039733620e-01	-2.0503496209e+00
9.8039595019e-01	-2.0501234767e+00
9.8039197107e-01	-2.0499804195e+00
9.8038823363e-01	-2.0498983983e+00
9.8038456577e-01	-2.0498421992e+00
9.8038095637e-01	-2.0498085785e+00
9.8037739648e-01	-2.0497885936e+00
9.8037389341e-01	-2.0497755146e+00
9.8037046689e-01	-2.0497659454e+00
9.8036716068e-01	-2.0497581043e+00
9.8036405663e-01	-2.0497513444e+00
9.8036138744e-01	-2.0497452305e+00
9.8035947792e-01	-2.0497403993e+00
9.8035880216e-01	-2.0497373958e+00
9.8035953155e-01	-2.0497369529e+00
9.8036105689e-01	-2.0497379350e+00
9.8036306548e-01	-2.0497396428e+00
9.8036530898e-01	-2.0497418154e+00
9.8036770222e-01	-2.0497443556e+00
9.8037020882e-01	-2.0497471926e+00
9.8037283947e-01	-2.0497501363e+00
9.8037554767e-01	-2.0497532242e+00
9.8037830920e-01	-2.0497564882e+00
9.8038111673e-01	-2.0497599152e+00
9.8038397717e-01	-2.0497634045e+00
9.8038688943e-01	-2.0497668888e+00
9.8038982979e-01	-2.0497704975e+00
9.8039279602e-01	-2.0497742263e+00
9.8039578629e-01	-2.0497780714e+00
9.8039587319e-01	-2.0497960196e+00
9.8046655892e-01	-2.0498225796e+00
9.8055328563e-01	-2.0498518067e+00
9.8063998892e-01	-2.0498819273e+00
9.8072659875e-01	-2.0499129174e+00
9.8081313631e-01	-2.0499447569e+00
9.8089955857e-01	-2.0499774329e+00
9.8098583951e-01	-2.0500101628e+00
9.8107199681e-01	-2.0500422238e+00
9.8115809970e-01	-2.0500737168e+00
9.8124427161e-01	-2.0501047979e+00
9.8133069134e-01	-2.0501356709e+00
9.8141244674e-01	-2.0501647131e+00
9.8147668591e-01	-2.0501875563e+00
9.8152974359e-01	-2.0502065303e+00
9.8157428729e-01	-2.0502226028e+00
9.8161026314e-01	-2.0502357041e+00
9.8164119430e-01	-2.0502471798e+00
9.8166751567e-01	-2.0502572103e+00
9.8168952839e-01	-2.0502659070e+00
9.8170698953e-01	-2.0502730669e+00
9.8172158762e-01	-2.0502793914e+00
9.8173367964e-01	-2.0502849985e+00
9.8174358975e-01	-2.0502899927e+00
9.8175139866e-01	-2.0502942541e+00
9.8175767780e-01	-2.0502980596e+00
9.8176267242e-01	-2.0503015266e+00
9.8176651822e-01	-2.0503046963e+00
9.8175929505e-01	-2.0503150929e+00
9.8179706980e-01	-2.0503277308e+00
9.8185307021e-01	-2.0503407199e+00
9.8190227811e-01	-2.0503518959e+00
9.8194629187e-01	-2.0503617259e+00
9.8198614311e-01	-2.0503705086e+00
9.8202252836e-01	-2.0503784472e+00
9.8205592575e-01	-2.0503856867e+00
9.8208668485e-01	-2.0503923333e+00
9.8211506252e-01	-2.0503984671e+00
9.8213959763e-01	-2.0504039744e+00
9.8213813709e-01	-2.0504065209e+00
9.8213529957e-01	-2.0504089463e+00
9.8213099690e-01	-2.0504112477e+00
9.8212512578e-01	-2.0504134207e+00
9.8211755987e-01	-2.0504154589e+00
9.8210811312e-01	-2.0504173496e+00
9.8209643754e-01	-2.0504190627e+00
9.8208188820e-01	-2.0504205517e+00
9.8206220914e-01	-2.0504217984e+00
9.8204770750e-01	-2.0504232529e+00
9.8205550941e-01	-2.0504262557e+00
9.8205009592e-01	-2.0504265963e+00
9.8202126077e-01	-2.0504192354e+00
9.8193604569e-01	-2.0503912804e+00
9.8184723169e-01	-2.0503711605e+00
9.8175898611e-01	-2.0503636264e+00
9.8167161146e-01	-2.0503698146e+00
9.8158465000e-01	-2.0503909821e+00
9.8149787894e-01	-2.0504307662e+00
9.8141129414e-01	-2.0504957125e+00
9.8132506874e-01	-2.0505947970e+00
9.8123947095e-01	-2.0507382794e+00
9.8115477567e-01	-2.0509354278e+00
9.8107061512e-01	-2.0511890464e+00
9.8098701739e-01	-2.0515025601e+00
9.8090369244e-01	-2.0518774720e+00
9.8079775527e-01	-2.0523026682e+00
9.8054558570e-01	-2.0527044394e+00
9.8048590911e-01	-2.0526941134e+00
9.8042614744e-01	-2.0526820598e+00
9.8036621886e-01	-2.0526680536e+00
9.8030571935e-01	-2.0526522587e+00
9.8024490164e-01	-2.0526349979e+00
9.8018321141e-01	-2.0526164667e+00
9.8012011122e-01	-2.0525968030e+00
9.8005606521e-01	-2.0525762041e+00
9.7999148695e-01	-2.0525548275e+00
9.7992669260e-01	-2.0525327954e+00
9.7986086182e-01	-2.0525100910e+00
9.7979451793e-01	-2.0524868286e+00
9.7972671249e-01	-2.0524629549e+00
9.7965795779e-01	-2.0524385660e+00
9.7958862016e-01	-2.0524137367e+00
9.7951903261e-01	-2.0523885335e+00
9.7944744115e-01	-2.0523627960e+00
9.7937495766e-01	-2.0523366679e+00
9.7930051341e-01	-2.0523100568e+00
9.7922517422e-01	-2.0522830974e+00
9.7914956992e-01	-2.0522558761e+00
9.7907369912e-01	-2.0522284105e+00
9.7899756045e-01	-2.0522007170e+00
9.7892115256e-01	-2.0521728115e+00
9.7884447407e-01	-2.0521447091e+00
9.7876752356e-01	-2.0521164241e+00
9.7869029965e-01	-2.0520879703e+00
9.7861279343e-01	-2.0520593601e+00
9.7853499423e-01	-2.0520306046e+00
9.7845690169e-01	-2.0520017149e+00
9.7837852117e-01	-2.0519727013e+00
9.7829985356e-01	-2.0519435712e+00
9.7822089817e-01	-2.0519143292e+00
9.7814165664e-01	-2.0518849764e+00
9.7806212215e-01	-2.0518555081e+00
9.7798229974e-01	-2.0518259148e+00
9.7790218189e-01	-2.0517961786e+00
9.7782177178e-01	-2.0517662738e+00
9.7774106505e-01	-2.0517361643e+00
9.7766005913e-01	-2.0517058031e+00
9.7757875690e-01	-2.0516751326e+00
9.7749714720e-01	-2.0516440818e+00
9.7741523692e-01	-2.0516125705e+00
9.7733301861e-01	-2.0515805071e+00
9.7725049068e-01	-2.0515477916e+00
9.7716765355e-01	-2.0515143184e+00
9.7708449873e-01	-2.0514799764e+00
9.7700103126e-01	-2.0514446555e+00
9.7691723977e-01	-2.0514082454e+00
9.7683312931e-01	-2.0513706429e+00
9.7674869208e-01	-2.0513317523e+00
9.7666392609e-01	-2.0512914905e+00
9.7657882886e-01	-2.0512497900e+00
9.7649339453e-01	-2.0512066015e+00
9.7640761767e-01	-2.0511618975e+00
9.7632148686e-01	-2.0511156726e+00
9.7623500281e-01	-2.0510679462e+00
9.7614818832e-01	-2.0510187633e+00
9.7606104371e-01	-2.0509681871e+00
9.7597356774e-01	-2.0509162990e+00
9.7588575901e-01	-2.0508631944e+00
9.7579761612e-01	-2.0508089790e+00
9.7570913762e-01	-2.0507537647e+00
9.7562032201e-01	-2.0506976659e+00
9.7553116783e-01	-2.0506407959e+00
9.7544167348e-01	-2.0505832650e+00
9.7535183716e-01	-2.0505251777e+00
9.7526165698e-01	-2.0504666317e+00
9.7517113089e-01	-2.0504077172e+00
9.7508025711e-01	-2.0503485158e+00
9.7498903374e-01	-2.0502891018e+00
9.7489745892e-01	-2.0502292738e+00
9.7480553076e-01	-2.0501690296e+00
9.7471324734e-01	-2.0501087510e+00
9.7462060669e-01	-2.0500484855e+00
9.7452760682e-01	-2.0499882750e+00
9.7443424576e-01	-2.0499281568e+00
9.7434052146e-01	-2.0498681642e+00
9.7424643190e-01	-2.0498083261e+00
9.7415197493e-01	-2.0497486585e+00
9.7405714753e-01	-2.0496890712e+00
9.7396193748e-01	-2.0496283491e+00
9.7386623803e-01	-2.0495533174e+00
9.7385992719e-01	-2.0493500282e+00
9.7385551568e-01	-2.0491797539e+00
