label,core_mass_fraction,planet_mass,R_earth,M_earth,converged,converged_pressure,converged_density,converged_mass,time_s,error
core_mass_fraction=0.01__planet_mass=0.5,0.01,0.5,0.8537544479097624,0.5004454714442768,True,True,True,True,39.17811894416809,
core_mass_fraction=0.01__planet_mass=1.0,0.01,1.0,1.0556914947055394,0.9999152569878574,True,True,True,True,45.683067083358765,
core_mass_fraction=0.01__planet_mass=1.5,0.01,1.5,1.1913277871165373,1.49961096387431,True,True,True,True,35.30895209312439,
core_mass_fraction=0.01__planet_mass=2.0,0.01,2.0,1.2954870355054295,1.9983645971077815,True,True,True,True,35.6765251159668,
core_mass_fraction=0.01__planet_mass=3.0,0.01,3.0,1.4539945444687687,2.9975544674026926,True,True,True,True,38.02959609031677,
core_mass_fraction=0.01__planet_mass=5.0,0.01,5.0,1.67309174665332,5.003415356534392,True,True,False,True,53.75103688240051,
core_mass_fraction=0.01__planet_mass=7.0,0.01,7.0,1.827402508637303,6.9980101160983,True,True,True,True,61.43390417098999,
core_mass_fraction=0.01__planet_mass=10.0,0.01,10.0,2.0004251423890347,10.007589074707479,True,True,False,True,123.21323108673096,
core_mass_fraction=0.01__planet_mass=14.0,0.01,14.0,2.1696633905343607,13.994121832215447,True,True,True,True,141.89632105827332,
core_mass_fraction=0.01__planet_mass=20.0,0.01,20.0,2.35548130637314,19.98891757250031,True,True,True,True,104.3651430606842,
core_mass_fraction=0.325__planet_mass=0.5,0.325,0.5,0.7958767731330344,0.49987698159554006,True,True,True,True,69.81893992424011,
core_mass_fraction=0.325__planet_mass=1.0,0.325,1.0,0.981973290891162,1.0001849706600472,True,True,True,True,30.234317779541016,
core_mass_fraction=0.325__planet_mass=1.5,0.325,1.5,1.1066780366414888,1.5011267141142595,True,True,True,True,29.829146146774292,
core_mass_fraction=0.325__planet_mass=2.0,0.325,2.0,1.2019348926916686,1.999749111874656,True,True,True,True,74.53745913505554,
core_mass_fraction=0.325__planet_mass=3.0,0.325,3.0,1.3473091058268731,3.0021558971989077,True,True,True,True,31.36984610557556,
core_mass_fraction=0.325__planet_mass=5.0,0.325,5.0,1.5467290889882765,5.001880135705506,True,True,True,True,43.26181888580322,
core_mass_fraction=0.325__planet_mass=7.0,0.325,7.0,1.6881589313687992,7.004533451248122,True,True,True,True,20.01611304283142,
core_mass_fraction=0.325__planet_mass=10.0,0.325,10.0,1.845026404020697,9.997165305903296,True,True,True,True,29.828707695007324,
core_mass_fraction=0.325__planet_mass=14.0,0.325,14.0,2.0003047819069972,14.012055877275381,True,True,True,True,40.06879687309265,
core_mass_fraction=0.325__planet_mass=20.0,0.325,20.0,2.168737441670556,19.992753372353178,True,True,True,True,65.07157397270203,
core_mass_fraction=0.5__planet_mass=0.5,0.5,0.5,0.7609738455902376,0.5001862890120107,True,True,True,True,35.310922145843506,
core_mass_fraction=0.5__planet_mass=1.0,0.5,1.0,0.9376200784523392,1.0009653356510073,True,True,True,True,31.63820219039917,
core_mass_fraction=0.5__planet_mass=1.5,0.5,1.5,1.0555163989690872,1.5009861683097647,True,True,True,True,44.39438486099243,
core_mass_fraction=0.5__planet_mass=2.0,0.5,2.0,1.146029536976519,2.0011388090863544,True,True,True,True,31.495986223220825,
core_mass_fraction=0.5__planet_mass=3.0,0.5,3.0,1.2834006079514302,3.0017220052865414,True,True,True,True,53.760356187820435,
core_mass_fraction=0.5__planet_mass=5.0,0.5,5.0,1.472040410599496,4.998657661807086,True,True,True,True,46.97569394111633,
core_mass_fraction=0.5__planet_mass=7.0,0.5,7.0,1.6060613139760702,7.001527052457744,True,True,True,True,56.49755597114563,
core_mass_fraction=0.5__planet_mass=10.0,0.5,10.0,1.755334637746002,10.004652786061667,True,True,True,True,43.16900682449341,
core_mass_fraction=0.5__planet_mass=14.0,0.5,14.0,1.9016962142386977,14.005841043275897,True,True,True,True,50.82992172241211,
core_mass_fraction=0.5__planet_mass=20.0,0.5,20.0,2.061671910910095,20.000540394540092,True,True,True,True,67.18596982955933,
core_mass_fraction=0.999__planet_mass=0.5,0.999,0.5,0.6398397938014023,0.49989952714390334,True,True,True,True,68.10244393348694,
core_mass_fraction=0.999__planet_mass=1.0,0.999,1.0,0.780379021116241,0.9994176190369303,True,True,False,True,161.54404401779175,
core_mass_fraction=0.999__planet_mass=1.5,0.999,1.5,0.8734378495967132,1.4988689952911445,True,True,True,True,95.0948760509491,
core_mass_fraction=0.999__planet_mass=2.0,0.999,2.0,0.9445073224047811,1.9983671118962811,True,True,True,True,66.33311986923218,
core_mass_fraction=0.999__planet_mass=3.0,0.999,3.0,1.0523466079251194,2.9989005933641826,True,True,True,True,57.08739113807678,
core_mass_fraction=0.999__planet_mass=5.0,0.999,5.0,1.200813148976231,5.003342701511785,True,True,True,True,92.08076691627502,
core_mass_fraction=0.999__planet_mass=7.0,0.999,7.0,1.3051066908714701,7.005550621021774,True,True,True,True,98.43803000450134,
core_mass_fraction=0.999__planet_mass=10.0,0.999,10.0,1.4207239517079322,10.005667554001302,True,True,True,True,82.5526340007782,
core_mass_fraction=0.999__planet_mass=14.0,0.999,14.0,1.5348249418938418,14.010237905484567,True,True,True,True,113.27859568595886,
core_mass_fraction=0.999__planet_mass=20.0,0.999,20.0,1.6567393006400348,19.990642749213073,True,True,True,True,105.4972312450409,
