Phi_global	P_surf	H2O_kg_total	H2O_vmr	CO2_kg_total	CO2_vmr	O2_kg_total	O2_vmr	H2_vmr	CH4_vmr	CO_kg_total	CO_vmr	N2_vmr	S2_vmr	SO2_vmr	H2S_vmr
1.0000000000e+00	3.3760671893e+02	3.0428070726e+21	1.6121768116e-04	6.2644936389e+17	1.0193555219e-04	8.1817641882e+12	2.6354387259e-09	1.4747040582e-01	1.5526959758e-04	2.7632918536e+21	8.5211073081e-01	1.2281609622e-07	8.9438982512e-12	2.9620263576e-33	2.8921615417e-07
1.0000000000e+00	3.3760671809e+02	3.0428070718e+21	1.6121768239e-04	6.2644936063e+17	1.0193555205e-04	8.1817641882e+12	2.6354387325e-09	1.4747040695e-01	1.5526959898e-04	2.7632918428e+21	8.5211072968e-01	1.2281609730e-07	8.9438983243e-12	2.9620263650e-33	2.8921615720e-07
1.0000000000e+00	3.3760671809e+02	3.0428070718e+21	1.6121768239e-04	6.2644936063e+17	1.0193555205e-04	8.1817641882e+12	2.6354387325e-09	1.4747040695e-01	1.5526959898e-04	2.7632918428e+21	8.5211072968e-01	1.2281609730e-07	8.9438983243e-12	2.9620263650e-33	2.8921615720e-07
1.0000000000e+00	3.3760671809e+02	3.0428070718e+21	1.6121768239e-04	6.2644936063e+17	1.0193555205e-04	8.1817641882e+12	2.6354387325e-09	1.4747040695e-01	1.5526959898e-04	2.7632918428e+21	8.5211072968e-01	1.2281609730e-07	8.9438983243e-12	2.9620263650e-33	2.8921615720e-07
1.0000000000e+00	3.3760774741e+02	3.0415325860e+21	1.6108218905e-04	6.2530677960e+17	1.0174698466e-04	8.4172780722e+12	2.7112921504e-09	1.4748958201e-01	1.5390364987e-04	2.7632439773e+21	8.5209324454e-01	1.2294994494e-07	9.0326906461e-12	2.9620173342e-33	2.8914664153e-07
1.0000000000e+00	3.3760762628e+02	3.0416685282e+21	1.6109665654e-04	6.2542820717e+17	1.0176702950e-04	8.3919495370e+12	2.7031345376e-09	1.4748755197e-01	1.5404798661e-04	2.7632489418e+21	8.5209509574e-01	1.2293573601e-07	9.0232258346e-12	2.9620183969e-33	2.8915417009e-07
1.0000000000e+00	3.3760751722e+02	3.0418034028e+21	1.6111099203e-04	6.2554881553e+17	1.0178693367e-04	8.3668701613e+12	2.6950570796e-09	1.4748552140e-01	1.5419148486e-04	2.7632540145e+21	8.5209694858e-01	1.2292161121e-07	9.0138334936e-12	2.9620193539e-33	2.8916157734e-07
1.0000000000e+00	3.3760641845e+02	3.0431451064e+21	1.6125365178e-04	6.2675383554e+17	1.0198581311e-04	8.1200122332e+12	2.6155500512e-09	1.4746533683e-01	1.5563690821e-04	2.7633042509e+21	8.5211534629e-01	1.2278041973e-07	8.9203252181e-12	2.9620289940e-33	2.8923438369e-07
1.0000000000e+00	3.3760467050e+02	3.0452781355e+21	1.6148057140e-04	6.2868972032e+17	1.0230534213e-04	7.7373088335e+12	2.4922897543e-09	1.4743323605e-01	1.5800387153e-04	2.7633839142e+21	8.5214453380e-01	1.2255329307e-07	8.7713819932e-12	2.9620443299e-33	2.8934658378e-07
1.0000000000e+00	3.3760187398e+02	3.0486538859e+21	1.6184003908e-04	6.3180603939e+17	1.0281978875e-04	7.1556942610e+12	2.3049630826e-09	1.4738243802e-01	1.6193369208e-04	2.7635091067e+21	8.5219052834e-01	1.2218693053e-07	8.5349413442e-12	2.9620688659e-33	2.8951499772e-07
1.0000000000e+00	3.3759743772e+02	3.0539105726e+21	1.6240063876e-04	6.3679575523e+17	1.0364370559e-04	6.3071662398e+12	2.0316653905e-09	1.4730334740e-01	1.6854696702e-04	2.7637016877e+21	8.5226162156e-01	1.2159847454e-07	8.1649558064e-12	2.9621077895e-33	2.8975345119e-07
1.0000000000e+00	3.3759038601e+02	3.0619968362e+21	1.6326501415e-04	6.4483447871e+17	1.0497162585e-04	5.1320956730e+12	1.6531860046e-09	1.4718171113e-01	1.8009415888e-04	2.7639913664e+21	8.5236951898e-01	1.2064587689e-07	7.5913163411e-12	2.9621696631e-33	2.9005746253e-07
1.0000000000e+00	3.5289529502e+02	3.0764940564e+21	1.5766877630e-04	6.7633919923e+17	1.0789252680e-04	3.4854280189e+12	1.1252719267e-09	1.4084390566e-01	2.0346714428e-04	2.7826097904e+21	8.5868664802e-01	1.1245474400e-07	6.4315802826e-12	2.8337017073e-33	2.7818347596e-07
1.0000000000e+00	3.5286310260e+02	3.0839091013e+21	1.5846906088e-04	6.8519840634e+17	1.0934170726e-04	2.7594625780e+12	8.9097495163e-10	1.4076665688e-01	2.2005561585e-04	2.7825360898e+21	8.5874505949e-01	1.1147038633e-07	5.9141829951e-12	2.8339602317e-33	2.7831373094e-07
1.0000000000e+00	3.5285664083e+02	3.0898255614e+21	1.5908043419e-04	6.9283742247e+17	1.1058164199e-04	2.2541860303e+12	7.2784464808e-10	1.4068121285e-01	2.3567733087e-04	2.7827039067e+21	8.5881303118e-01	1.1060359826e-07	5.4962054193e-12	2.8340121292e-33	2.7827178549e-07
9.9984997410e-01	3.5285581334e+02	3.0937756369e+21	1.5953553727e-04	6.9821018011e+17	1.1146160892e-04	1.9480712544e+12	6.2900601047e-10	1.4066136266e-01	2.4788911634e-04	2.7826992669e+21	8.5881933485e-01	1.1001509187e-07	5.2132107251e-12	2.8340187754e-33	2.7831201982e-07
9.9979565576e-01	3.5285722144e+02	3.0937605438e+21	1.5955063646e-04	6.9817825047e+17	1.1145911623e-04	1.9483035682e+12	6.2907851107e-10	1.4067500987e-01	2.4792491700e-04	2.7826596280e+21	8.5880563917e-01	1.1002695193e-07	5.2139820845e-12	2.8340074660e-33	2.7835409817e-07
9.9974202719e-01	3.5285857643e+02	3.0937446784e+21	1.5956550014e-04	6.9814527144e+17	1.1145643712e-04	1.9486014132e+12	6.2917226479e-10	1.4068854378e-01	2.4795736615e-04	2.7826200198e+21	8.5879206056e-01	1.1003885264e-07	5.2148123972e-12	2.8339965834e-33	2.7839579415e-07
9.9968823738e-01	3.5285993755e+02	3.0937270958e+21	1.5958023767e-04	6.9810985382e+17	1.1145336982e-04	1.9490228887e+12	6.2930592499e-10	1.4070214445e-01	2.4798454818e-04	2.7825802438e+21	8.5877842099e-01	1.1005105760e-07	5.2157651728e-12	2.8339856515e-33	2.7843766457e-07
9.9963459266e-01	3.5286129737e+02	3.0937076296e+21	1.5959473748e-04	6.9807182673e+17	1.1144987123e-04	1.9495852320e+12	6.2948507010e-10	1.4071573828e-01	2.4800545078e-04	2.7825405195e+21	8.5876479519e-01	1.1006353991e-07	5.2168541460e-12	2.8339747301e-33	2.7847947746e-07
9.9958020854e-01	3.5286267806e+02	3.0936861688e+21	1.5960926036e-04	6.9803085829e+17	1.1144593157e-04	1.9502823583e+12	6.2970769536e-10	1.4072954641e-01	2.4802109477e-04	2.7825001972e+21	8.5875096078e-01	1.1007647187e-07	5.2180822441e-12	2.8339636413e-33	2.7852191714e-07
9.9952576577e-01	3.5286406224e+02	3.0936630631e+21	1.5962363295e-04	6.9798757620e+17	1.1144161881e-04	1.9510996513e+12	6.2996911196e-10	1.4074339489e-01	2.4803154740e-04	2.7824597834e+21	8.5873709172e-01	1.1008967869e-07	5.2194282993e-12	2.8339525245e-33	2.7856445049e-07
9.9947087988e-01	3.5286545935e+02	3.0936384363e+21	1.5963798648e-04	6.9794207824e+17	1.1143696799e-04	1.9520218447e+12	6.3026437341e-10	1.4075737740e-01	2.4803780862e-04	2.7824190002e+21	8.5872309319e-01	1.1010320774e-07	5.2208812264e-12	2.8339413040e-33	2.7860737085e-07
9.9941437232e-01	3.5286689886e+02	3.0936122110e+21	1.5965267606e-04	6.9789402120e+17	1.1143198216e-04	1.9530355906e+12	6.3058911690e-10	1.4077178776e-01	2.4804146845e-04	2.7823769832e+21	8.5870866940e-01	1.1011727747e-07	5.2224398208e-12	2.8339297430e-33	2.7865158919e-07
9.9935762102e-01	3.5286834590e+02	3.0935848423e+21	1.5966732446e-04	6.9784431945e+17	1.1142674107e-04	1.9541298320e+12	6.3093983429e-10	1.4078627739e-01	2.4804184674e-04	2.7823347516e+21	8.5869416992e-01	1.1013157435e-07	5.2240793608e-12	2.8339181217e-33	2.7869603215e-07
9.9930037641e-01	3.5286980659e+02	3.0935563988e+21	1.5968201572e-04	6.9779302053e+17	1.1142126486e-04	1.9552955178e+12	6.3131359185e-10	1.4080090730e-01	2.4803955646e-04	2.7822921246e+21	8.5867953302e-01	1.1014613101e-07	5.2257934781e-12	2.8339063907e-33	2.7874089060e-07
9.9924242295e-01	3.5287128627e+02	3.0935269351e+21	1.5969682195e-04	6.9774015838e+17	1.1141556979e-04	1.9565252074e+12	6.3170797744e-10	1.4081573032e-01	2.4803511100e-04	2.7822489456e+21	8.5866470527e-01	1.1016097646e-07	5.2275770411e-12	2.8338945075e-33	2.7878632971e-07
9.9918428469e-01	3.5287277162e+02	3.0934966515e+21	1.5971160246e-04	6.9768611937e+17	1.1140969246e-04	1.9578127195e+12	6.3212101875e-10	1.4083061342e-01	2.4802834057e-04	2.7822056032e+21	8.5864981997e-01	1.1017598706e-07	5.2294186883e-12	2.8338825787e-33	2.7883194033e-07
9.9912595620e-01	3.5287426271e+02	3.0934656181e+21	1.5972636619e-04	6.9763100148e+17	1.1140364903e-04	1.9591528549e+12	6.3255103676e-10	1.4084555697e-01	2.4801948158e-04	2.7821620952e+21	8.5863487650e-01	1.1019115251e-07	5.2313133575e-12	2.8338706040e-33	2.7887772495e-07
9.9906644188e-01	3.5287578455e+02	3.0934336762e+21	1.5974140370e-04	6.9757438380e+17	1.1139742081e-04	1.9605411836e+12	6.3299655605e-10	1.4086081074e-01	2.4800957704e-04	2.7821176882e+21	8.5861962375e-01	1.1020667245e-07	5.2332667431e-12	2.8338583824e-33	2.7892445635e-07
9.9900568357e-01	3.5287733856e+02	3.0934008654e+21	1.5975673719e-04	6.9751631094e+17	1.1139101793e-04	1.9619738849e+12	6.3345634025e-10	1.4087638877e-01	2.4799884734e-04	2.7820723403e+21	8.5860404745e-01	1.1022255086e-07	5.2352756801e-12	2.8338459026e-33	2.7897217906e-07
9.9894471475e-01	3.5287889862e+02	3.0933674596e+21	1.5977207643e-04	6.9745737395e+17	1.1138448481e-04	1.9634476237e+12	6.3392935904e-10	1.4089203031e-01	2.4798656468e-04	2.7820268151e+21	8.5858840932e-01	1.1023856307e-07	5.2373264428e-12	2.8338333743e-33	2.7902008848e-07
9.9888321421e-01	3.5288047281e+02	3.0933334284e+21	1.5978751737e-04	6.9739746673e+17	1.1137782024e-04	1.9649594546e+12	6.3441464686e-10	1.4090781567e-01	2.4797313395e-04	2.7819808764e+21	8.5857262854e-01	1.1025477019e-07	5.2394193736e-12	2.8338207327e-33	2.7906843360e-07
9.9882086196e-01	3.5288206914e+02	3.0932987375e+21	1.5980315526e-04	6.9733647763e+17	1.1137102202e-04	1.9665067490e+12	6.3491134034e-10	1.4092382504e-01	2.4795894496e-04	2.7819342886e+21	8.5855662446e-01	1.1027123382e-07	5.2415551200e-12	2.8338079133e-33	2.7911746288e-07
9.9875733778e-01	3.5288369566e+02	3.0932633489e+21	1.5981908506e-04	6.9727428991e+17	1.1136408716e-04	1.9680871346e+12	6.3541865886e-10	1.4094013872e-01	2.4794437626e-04	2.7818868157e+21	8.5854031628e-01	1.1028801624e-07	5.2437345904e-12	2.8337948517e-33	2.7916742523e-07
