Phi_global	P_surf	H2O_kg_total	H2O_vmr	CO2_kg_total	CO2_vmr	O2_kg_total	O2_vmr	H2_vmr	CH4_vmr	CO_kg_total	CO_vmr	N2_vmr	S2_vmr	SO2_vmr	H2S_vmr
1.0000000000e+00	3.3482257646e+02	1.0419304962e+22	1.9045465623e-03	2.1633699393e+19	3.5491648162e-03	8.1816240409e+15	2.6572887319e-06	5.5091353413e-02	7.4208567389e-07	3.0151568231e+21	9.3820089869e-01	1.2466216647e-03	9.0173552598e-09	2.9866564273e-33	3.4164972366e-06
1.0000000000e+00	3.3482257473e+02	1.0419304959e+22	1.9045465933e-03	2.1633699199e+19	3.5491648126e-03	8.1816240409e+15	2.6572887457e-06	5.5091354309e-02	7.4208568958e-07	3.0151568039e+21	9.3820089776e-01	1.2466216804e-03	9.0173554106e-09	2.9866564428e-33	3.4164973118e-06
1.0000000000e+00	3.3482257473e+02	1.0419304959e+22	1.9045465933e-03	2.1633699199e+19	3.5491648126e-03	8.1816240409e+15	2.6572887457e-06	5.5091354309e-02	7.4208568958e-07	3.0151568039e+21	9.3820089776e-01	1.2466216804e-03	9.0173554106e-09	2.9866564428e-33	3.4164973118e-06
1.0000000000e+00	3.3482257473e+02	1.0419304959e+22	1.9045465933e-03	2.1633699199e+19	3.5491648126e-03	8.1816240409e+15	2.6572887457e-06	5.5091354309e-02	7.4208568958e-07	3.0151568039e+21	9.3820089776e-01	1.2466216804e-03	9.0173554106e-09	2.9866564428e-33	3.4164973118e-06
1.0000000000e+00	3.3482366657e+02	1.0416674410e+22	1.9035793708e-03	2.1594138643e+19	3.5425821549e-03	8.4177852036e+15	2.7339820103e-06	5.5117004345e-02	7.3603323572e-07	3.0151056508e+21	9.3818178685e-01	1.2475623600e-03	9.1071201339e-09	2.9866467035e-33	3.4168186445e-06
1.0000000000e+00	3.3482354332e+02	1.0416913353e+22	1.9036676587e-03	2.1597717014e+19	3.5431779582e-03	8.3961548472e+15	2.7269577689e-06	5.5114686347e-02	7.3657776112e-07	3.0151100381e+21	9.3818351205e-01	1.2474774926e-03	9.0989738562e-09	2.9866478028e-33	3.4167912394e-06
1.0000000000e+00	3.3482344522e+02	1.0417151078e+22	1.9037550284e-03	2.1601282023e+19	3.5437711238e-03	8.3746725707e+15	2.7199814124e-06	5.5112367235e-02	7.3712029070e-07	3.0151146751e+21	9.3818524174e-01	1.2473927647e-03	9.0908666568e-09	2.9866486779e-33	3.4167627109e-06
1.0000000000e+00	3.3482245131e+02	1.0419510461e+22	1.9046226309e-03	2.1636800559e+19	3.5496814017e-03	8.1633475206e+15	2.6513537388e-06	5.5089362776e-02	7.4256454797e-07	3.0151604034e+21	9.3820237573e-01	1.2465480249e-03	9.0103361271e-09	2.9866575437e-33	3.4164724526e-06
1.0000000000e+00	3.3482088435e+02	1.0423265565e+22	1.9060035717e-03	2.1693859139e+19	3.5591763491e-03	7.8340314197e+15	2.5444078730e-06	5.5052750242e-02	7.5145812153e-07	3.0152330806e+21	9.3822956946e-01	1.2451881836e-03	8.8819078674e-09	2.9866715213e-33	3.4159793653e-06
1.0000000000e+00	3.3481839023e+02	1.0429222071e+22	1.9081951646e-03	2.1785742132e+19	3.5744681732e-03	7.3291131838e+15	2.3804336748e-06	5.4994698115e-02	7.6617244259e-07	3.0153475775e+21	9.3827248288e-01	1.2429914541e-03	8.6775332207e-09	2.9866937694e-33	3.4151182122e-06
