Phi_global	fO2_shift_IW_derived
1.0000000000e+00	9.6083827330e-01
1.0000000000e+00	9.6083827330e-01
1.0000000000e+00	9.6083827330e-01
1.0000000000e+00	9.6083827330e-01
1.0000000000e+00	9.6023890376e-01
1.0000000000e+00	9.6027110306e-01
1.0000000000e+00	9.6030323558e-01
1.0000000000e+00	9.6061797211e-01
1.0000000000e+00	9.6110758713e-01
1.0000000000e+00	9.6185641952e-01
1.0000000000e+00	9.6296696363e-01
1.0000000000e+00	9.6451119345e-01
1.0000000000e+00	9.6643141286e-01
1.0000000000e+00	9.6820436960e-01
1.0000000000e+00	9.6547000902e-01
1.0000000000e+00	9.6533060584e-01
1.0000000000e+00	9.6511860522e-01
1.0000000000e+00	9.6488609274e-01
1.0000000000e+00	9.6439079070e-01
1.0000000000e+00	9.6326626018e-01
9.9983081320e-01	9.6295968074e-01
9.9977665855e-01	9.6296814287e-01
9.9972299223e-01	9.6297695475e-01
9.9966927012e-01	9.6298632246e-01
9.9961535205e-01	9.6299628268e-01
9.9956094132e-01	9.6300682854e-01
9.9950645707e-01	9.6301783406e-01
9.9945099635e-01	9.6302936659e-01
9.9939433379e-01	9.6304140647e-01
9.9933751369e-01	9.6305376220e-01
9.9927988705e-01	9.6306649195e-01
9.9922185614e-01	9.6307950984e-01
9.9916363828e-01	9.6309276115e-01
9.9910492553e-01	9.6310626986e-01
9.9904497564e-01	9.6312012483e-01
9.9898412966e-01	9.6313426250e-01
9.9892307210e-01	9.6314857209e-01
9.9886114349e-01	9.6316313621e-01
9.9879850663e-01	9.6317792126e-01
9.9873475513e-01	9.6319297585e-01
9.9866936427e-01	9.6320836632e-01
9.9860311502e-01	9.6322397320e-01
9.9853663250e-01	9.6323969984e-01
9.9846991540e-01	9.6325553950e-01
9.9840296258e-01	9.6327148575e-01
9.9833577277e-01	9.6328753251e-01
9.9826834476e-01	9.6330367398e-01
9.9820067728e-01	9.6331990462e-01
9.9813276909e-01	9.6333621918e-01
9.9806461892e-01	9.6335261269e-01
9.9799622549e-01	9.6336908061e-01
9.9792758753e-01	9.6338561886e-01
9.9785870377e-01	9.6340222402e-01
9.9778957232e-01	9.6341889363e-01
9.9772019117e-01	9.6343562637e-01
9.9765055873e-01	9.6345242232e-01
9.9758067393e-01	9.6346928327e-01
9.9751053583e-01	9.6348621325e-01
9.9744014312e-01	9.6350321897e-01
9.9736949431e-01	9.6352031025e-01
9.9729858825e-01	9.6353750027e-01
9.9722742331e-01	9.6355480596e-01
9.9715599806e-01	9.6357224807e-01
9.9708431123e-01	9.6358985108e-01
9.9701236075e-01	9.6360764319e-01
9.9694014586e-01	9.6362565557e-01
9.9686766427e-01	9.6364392228e-01
9.9679491468e-01	9.6366247922e-01
9.9672189596e-01	9.6368136353e-01
9.9664860516e-01	9.6370061310e-01
9.9657504202e-01	9.6372026515e-01
9.9650120422e-01	9.6374035604e-01
9.9642709005e-01	9.6376092005e-01
9.9635269857e-01	9.6378198832e-01
9.9627802676e-01	9.6380358827e-01
9.9620307462e-01	9.6382574171e-01
9.9612783867e-01	9.6384846470e-01
9.9605231896e-01	9.6387176560e-01
9.9597651220e-01	9.6389564529e-01
9.9590041754e-01	9.6392009599e-01
9.9582403288e-01	9.6394510187e-01
9.9574735584e-01	9.6397063933e-01
9.9567038400e-01	9.6399667792e-01
9.9559311457e-01	9.6402318148e-01
9.9551554652e-01	9.6405010924e-01
9.9543768189e-01	9.6407741698e-01
9.9535951906e-01	9.6410505944e-01
9.9528105642e-01	9.6413299100e-01
9.9520229233e-01	9.6416116681e-01
9.9512322517e-01	9.6418954360e-01
9.9504385328e-01	9.6421808040e-01
9.9496417498e-01	9.6424673890e-01
9.9488418862e-01	9.6427548377e-01
9.9480389249e-01	9.6430428275e-01
9.9472328485e-01	9.6433310666e-01
9.9464236391e-01	9.6436192927e-01
9.9456112790e-01	9.6439072722e-01
9.9447957505e-01	9.6441947980e-01
9.9439770358e-01	9.6444821076e-01
9.9431551167e-01	9.6447702248e-01
9.9423299754e-01	9.6450574051e-01
9.9415015914e-01	9.6453438552e-01
9.9406699244e-01	9.6456330445e-01
9.9398347251e-01	9.6459629488e-01
9.9397335931e-01	9.6465940453e-01
9.9396995252e-01	9.6472966861e-01
9.9396671936e-01	9.6476001689e-01
9.9396351014e-01	9.6478129234e-01
9.9396031939e-01	9.6479415354e-01
9.9395714157e-01	9.6480174586e-01
9.9395397331e-01	9.6480661885e-01
9.9395080869e-01	9.6481012337e-01
9.9394764652e-01	9.6481300154e-01
9.9394448669e-01	9.6481552731e-01
9.9394133481e-01	9.6481791937e-01
9.9393818636e-01	9.6482004524e-01
9.9393504304e-01	9.6482185694e-01
9.9393190813e-01	9.6482321771e-01
9.9392879600e-01	9.6482382383e-01
9.9392571290e-01	9.6482294592e-01
9.9392268256e-01	9.6481938337e-01
9.9391975657e-01	9.6481062986e-01
9.9391705226e-01	9.6479081441e-01
