Phi_global	fO2_shift_IW_derived
1.0000000000e+00	-5.1021706992e+00
1.0000000000e+00	-5.1021706992e+00
1.0000000000e+00	-5.1021706992e+00
1.0000000000e+00	-5.1021706992e+00
1.0000000000e+00	-5.1013270561e+00
1.0000000000e+00	-5.1014133384e+00
1.0000000000e+00	-5.1014989973e+00
1.0000000000e+00	-5.1023505447e+00
1.0000000000e+00	-5.1037048007e+00
1.0000000000e+00	-5.1058502709e+00
1.0000000000e+00	-5.1091939084e+00
1.0000000000e+00	-5.1143531321e+00
1.0000000000e+00	-5.1234423312e+00
1.0000000000e+00	-5.1280287635e+00
1.0000000000e+00	-5.1314509941e+00
1.0000000000e+00	-5.1343209281e+00
9.9983605339e-01	-5.1354377998e+00
9.9978189940e-01	-5.1354283696e+00
9.9972827679e-01	-5.1354181743e+00
9.9967456560e-01	-5.1354067824e+00
9.9962073100e-01	-5.1353941169e+00
9.9956634933e-01	-5.1353802100e+00
9.9951189724e-01	-5.1353652651e+00
9.9945601867e-01	-5.1353492304e+00
9.9939938896e-01	-5.1353323119e+00
9.9934260262e-01	-5.1353146844e+00
9.9928507239e-01	-5.1352963444e+00
9.9922707759e-01	-5.1352773934e+00
9.9916889632e-01	-5.1352579219e+00
9.9911028336e-01	-5.1352379411e+00
9.9904995820e-01	-5.1352173142e+00
9.9898915105e-01	-5.1351962422e+00
9.9892813256e-01	-5.1351747909e+00
9.9886630168e-01	-5.1351529038e+00
9.9880338698e-01	-5.1351305669e+00
9.9873964110e-01	-5.1351078354e+00
9.9867408273e-01	-5.1350845942e+00
9.9860787163e-01	-5.1350610192e+00
9.9854142729e-01	-5.1350371842e+00
9.9847474852e-01	-5.1350131044e+00
9.9840783408e-01	-5.1349887943e+00
9.9834068276e-01	-5.1349642676e+00
9.9827329330e-01	-5.1349395376e+00
9.9820566446e-01	-5.1349146169e+00
9.9813779500e-01	-5.1348895175e+00
9.9806968363e-01	-5.1348642510e+00
9.9800132911e-01	-5.1348388279e+00
9.9793273014e-01	-5.1348132576e+00
9.9786388543e-01	-5.1347875482e+00
9.9779479311e-01	-5.1347617056e+00
9.9772545120e-01	-5.1347357331e+00
9.9765585810e-01	-5.1347096306e+00
9.9758601266e-01	-5.1346833936e+00
9.9751591397e-01	-5.1346570125e+00
9.9744556064e-01	-5.1346304711e+00
9.9737495142e-01	-5.1346037457e+00
9.9730408494e-01	-5.1345768041e+00
9.9723295969e-01	-5.1345496048e+00
9.9716157418e-01	-5.1345220968e+00
9.9708992731e-01	-5.1344942195e+00
9.9701801671e-01	-5.1344659026e+00
9.9694584179e-01	-5.1344370677e+00
9.9687340034e-01	-5.1344076291e+00
9.9680069088e-01	-5.1343774949e+00
9.9672771240e-01	-5.1343465698e+00
9.9665446202e-01	-5.1343147553e+00
9.9658093929e-01	-5.1342819533e+00
9.9650714210e-01	-5.1342480668e+00
9.9643306850e-01	-5.1342130025e+00
9.9635871782e-01	-5.1341766734e+00
9.9628408675e-01	-5.1341390008e+00
9.9620917545e-01	-5.1340999178e+00
9.9613398057e-01	-5.1340593717e+00
9.9605850201e-01	-5.1340173270e+00
9.9598273631e-01	-5.1339737666e+00
9.9590668298e-01	-5.1339286944e+00
9.9583033976e-01	-5.1338821348e+00
9.9575370423e-01	-5.1338341316e+00
9.9567677402e-01	-5.1337847472e+00
9.9559954658e-01	-5.1337340591e+00
9.9552202007e-01	-5.1336821576e+00
9.9544419703e-01	-5.1336291427e+00
9.9536607585e-01	-5.1335751195e+00
9.9528765493e-01	-5.1335201960e+00
9.9520893263e-01	-5.1334644800e+00
9.9512990734e-01	-5.1334080770e+00
9.9505057739e-01	-5.1333510885e+00
9.9497094112e-01	-5.1332936106e+00
9.9489099685e-01	-5.1332357334e+00
9.9481074286e-01	-5.1331775401e+00
9.9473017745e-01	-5.1331191076e+00
9.9464929883e-01	-5.1330605059e+00
9.9456810520e-01	-5.1330017987e+00
9.9448659481e-01	-5.1329430432e+00
9.9440476587e-01	-5.1328842277e+00
9.9432261659e-01	-5.1328249584e+00
9.9424014514e-01	-5.1327657767e+00
9.9415734953e-01	-5.1327066405e+00
9.9407422605e-01	-5.1326467090e+00
9.9399075292e-01	-5.1325766282e+00
9.9397531638e-01	-5.1324129566e+00
9.9397186923e-01	-5.1321842970e+00
9.9396863404e-01	-5.1320941433e+00
9.9396542287e-01	-5.1320308244e+00
9.9396223029e-01	-5.1319929194e+00
9.9395905083e-01	-5.1319711256e+00
9.9395588124e-01	-5.1319576919e+00
9.9395271580e-01	-5.1319484125e+00
9.9394955363e-01	-5.1319410717e+00
9.9394639527e-01	-5.1319349551e+00
9.9394324786e-01	-5.1319296684e+00
9.9394010886e-01	-5.1319259338e+00
9.9393698378e-01	-5.1319245089e+00
9.9393388277e-01	-5.1319268856e+00
9.9393083831e-01	-5.1319368463e+00
9.9392788169e-01	-5.1319605375e+00
9.9392508628e-01	-5.1320093992e+00
9.9392260870e-01	-5.1321075264e+00
9.9392080754e-01	-5.1323107195e+00
9.9392026674e-01	-5.1327130427e+00
9.9392129076e-01	-5.1333647592e+00
9.9386715281e-01	-5.1344281246e+00
9.9375045804e-01	-5.1346021450e+00
9.9369548244e-01	-5.1345918125e+00
9.9364064425e-01	-5.1345803450e+00
9.9358586833e-01	-5.1345674443e+00
9.9353042607e-01	-5.1345530470e+00
9.9347481314e-01	-5.1345373885e+00
9.9341822863e-01	-5.1345205366e+00
9.9336031583e-01	-5.1345025951e+00
9.9330224160e-01	-5.1344838479e+00
9.9324345234e-01	-5.1344643167e+00
9.9318410432e-01	-5.1344441018e+00
9.9312456299e-01	-5.1344233181e+00
9.9306444790e-01	-5.1344019661e+00
9.9300245195e-01	-5.1343799103e+00
9.9294014185e-01	-5.1343574051e+00
9.9287761346e-01	-5.1343344970e+00
9.9281389330e-01	-5.1343110805e+00
9.9274890555e-01	-5.1342871707e+00
9.9268288687e-01	-5.1342628235e+00
9.9261513414e-01	-5.1342379625e+00
9.9254714318e-01	-5.1342128137e+00
9.9247891276e-01	-5.1341873946e+00
9.9241044165e-01	-5.1341617218e+00
9.9234172861e-01	-5.1341358106e+00
9.9227277237e-01	-5.1341096759e+00
9.9220357169e-01	-5.1340833318e+00
9.9213412527e-01	-5.1340567915e+00
9.9206443188e-01	-5.1340300682e+00
9.9199449020e-01	-5.1340031740e+00
9.9192429892e-01	-5.1339761205e+00
9.9185385661e-01	-5.1339489180e+00
9.9178315922e-01	-5.1339215756e+00
9.9171220314e-01	-5.1338941001e+00
9.9164098643e-01	-5.1338664967e+00
9.9156950956e-01	-5.1338387674e+00
9.9149777237e-01	-5.1338109101e+00
9.9142577459e-01	-5.1337829180e+00
9.9135351334e-01	-5.1337547772e+00
9.9128098942e-01	-5.1337264673e+00
9.9120819897e-01	-5.1336979587e+00
9.9113514308e-01	-5.1336692131e+00
9.9106181759e-01	-5.1336401814e+00
9.9098822277e-01	-5.1336108047e+00
9.9091435659e-01	-5.1335810139e+00
9.9084021589e-01	-5.1335507302e+00
9.9076580137e-01	-5.1335198671e+00
9.9069110858e-01	-5.1334883306e+00
9.9061613729e-01	-5.1334560224e+00
9.9054088621e-01	-5.1334228414e+00
9.9046535067e-01	-5.1333886853e+00
9.9038953254e-01	-5.1333534545e+00
9.9031342635e-01	-5.1333170526e+00
9.9023703327e-01	-5.1332793909e+00
9.9016034921e-01	-5.1332403898e+00
9.9008337422e-01	-5.1331999833e+00
9.9000610406e-01	-5.1331581201e+00
9.8992853917e-01	-5.1331147680e+00
9.8985067587e-01	-5.1330699142e+00
9.8977251130e-01	-5.1330235674e+00
9.8969404287e-01	-5.1329757572e+00
9.8961526604e-01	-5.1329265333e+00
9.8953617846e-01	-5.1328759633e+00
9.8945678809e-01	-5.1328241313e+00
9.8937709460e-01	-5.1327711320e+00
9.8929709646e-01	-5.1327170677e+00
9.8921679213e-01	-5.1326620456e+00
9.8913618004e-01	-5.1326061742e+00
9.8905525862e-01	-5.1325495606e+00
9.8897402624e-01	-5.1324923090e+00
9.8889248132e-01	-5.1324345180e+00
9.8881062216e-01	-5.1323762807e+00
9.8872844705e-01	-5.1323176828e+00
9.8864595425e-01	-5.1322588036e+00
9.8856314187e-01	-5.1321997150e+00
9.8848000818e-01	-5.1321404819e+00
9.8839655137e-01	-5.1320811632e+00
9.8831276966e-01	-5.1320215287e+00
