Time	R_int	R_core	R_solvus	T_surf	T_magma	T_cmb	gravity	Phi_global	RF_depth	M_mantle_solid	M_mantle_liquid	R_obs	P_surf	fO2_shift_IW_derived
0.0000000000e+00	7.1175112935e+06	3.4278315260e+06	0.0000000000e+00	3.7732679686e+03	4.2553477416e+03	6.0373545015e+03	7.7678158674e+00	1.0000000000e+00	5.1839464883e-01	2.9612838088e+22	3.9424397638e+24	8.0633010558e+06	9.3721401291e+03	4.0000000000e+00
0.0000000000e+00	7.1175112935e+06	3.4278315260e+06	0.0000000000e+00	3.7756097606e+03	4.2553477416e+03	6.0373545015e+03	7.7678158674e+00	1.0000000000e+00	5.1839464883e-01	2.9612838088e+22	3.9424397638e+24	8.0226198521e+06	9.3721957587e+03	4.0000000000e+00
0.0000000000e+00	7.1175112935e+06	3.4278315260e+06	0.0000000000e+00	3.7768998488e+03	4.2553477416e+03	6.0373545015e+03	7.7678158674e+00	1.0000000000e+00	5.1839464883e-01	2.9612838088e+22	3.9424397638e+24	7.9884285523e+06	9.3721957634e+03	4.0000000000e+00
1.0000000000e+00	7.1175112935e+06	3.4278315260e+06	0.0000000000e+00	3.7776781249e+03	4.2553477416e+03	6.0373545015e+03	7.7678158674e+00	1.0000000000e+00	5.1839464883e-01	2.9612838088e+22	3.9424397638e+24	7.9384457904e+06	9.3721957634e+03	4.0000000000e+00
2.0000000000e+00	7.1175112935e+06	3.4278315260e+06	0.0000000000e+00	3.7806753946e+03	4.2603613955e+03	6.0305529286e+03	7.7678158674e+00	1.0000000000e+00	5.1839464883e-01	2.9797871552e+22	3.9422547304e+24	7.9369223138e+06	9.5192613419e+03	4.0000000000e+00
1.2000000000e+01	7.1175112935e+06	3.4278315260e+06	0.0000000000e+00	3.7805533964e+03	4.2597745306e+03	6.0298375310e+03	7.7678158674e+00	1.0000000000e+00	5.1839464883e-01	2.9587807948e+22	3.9424647940e+24	7.9359251950e+06	9.5019612965e+03	4.0000000000e+00
2.2000000000e+01	7.1175112935e+06	3.4278315260e+06	0.0000000000e+00	3.7800179588e+03	4.2591893462e+03	6.0291241639e+03	7.7678158674e+00	1.0000000000e+00	5.1839464883e-01	2.9378287628e+22	3.9426743143e+24	7.9352797918e+06	9.4847220877e+03	4.0000000000e+00
1.2200022000e+02	7.1175112935e+06	3.4278315260e+06	0.0000000000e+00	3.7768145026e+03	4.2533423298e+03	6.0219982790e+03	7.7678158674e+00	1.0000000000e+00	5.1839464883e-01	2.7285229856e+22	3.9447673721e+24	7.9340929946e+06	9.3139145903e+03	4.0000000000e+00
2.8200057200e+02	7.1175112935e+06	3.4278315260e+06	0.0000000000e+00	3.7716361924e+03	4.2440602655e+03	6.0106906432e+03	7.7678158674e+00	1.0000000000e+00	5.1839464883e-01	2.3949683949e+22	3.9481029180e+24	7.9325349154e+06	9.0480251657e+03	4.0000000000e+00
5.3800113520e+02	7.1175112935e+06	3.4278315260e+06	0.0000000000e+00	3.7631892877e+03	4.2294102282e+03	5.9928677471e+03	7.7678158674e+00	1.0000000000e+00	5.1839464883e-01	1.8638984766e+22	3.9534136172e+24	7.9300821733e+06	8.6412890911e+03	4.0000000000e+00
9.4760203632e+02	7.1175112935e+06	3.4278315260e+06	0.0000000000e+00	3.7510175394e+03	4.2062170905e+03	5.9646515510e+03	7.7678158674e+00	1.0000000000e+00	5.1839464883e-01	1.0231384471e+22	3.9618212174e+24	7.9255847629e+06	8.0287132889e+03	4.0000000000e+00
1.6029634781e+03	7.1175112935e+06	3.4278315260e+06	0.0000000000e+00	3.7236161391e+03	4.1701866115e+03	5.9208351192e+03	7.7678158674e+00	1.0000000000e+00	5.1839464883e-01	0.0000000000e+00	3.9750449522e+24	7.9181357447e+06	7.1495647217e+03	4.0000000000e+00
2.6515417850e+03	7.1175112935e+06	3.4278315260e+06	0.0000000000e+00	3.6980497970e+03	4.1150851798e+03	5.8538725644e+03	7.7678158674e+00	1.0000000000e+00	5.1839464883e-01	0.0000000000e+00	3.9955431173e+24	7.9087923613e+06	5.9626557571e+03	4.0000000000e+00
3.4904044305e+03	7.1175112935e+06	3.4278315260e+06	0.0000000000e+00	3.6726423275e+03	4.0732398535e+03	5.8030568878e+03	7.7678158674e+00	1.0000000000e+00	5.1839464883e-01	0.0000000000e+00	4.0113599966e+24	7.9008446899e+06	5.1769422221e+03	4.0000000000e+00
4.1614945469e+03	7.1175112935e+06	3.4278315260e+06	0.0000000000e+00	3.6536481487e+03	4.0412147561e+03	5.7641609729e+03	7.7678158674e+00	1.0000000000e+00	5.1839464883e-01	0.0000000000e+00	4.0236007983e+24	7.8943023294e+06	4.6369093030e+03	4.0000000000e+00
4.6983666400e+03	7.1175112935e+06	3.4278315260e+06	0.0000000000e+00	3.6393799933e+03	4.0165838709e+03	5.7342757101e+03	7.7678158674e+00	1.0000000000e+00	5.1839464883e-01	0.0000000000e+00	4.0331411799e+24	7.8819823356e+06	4.2550822410e+03	4.0000000000e+00
5.5573619890e+03	7.1175112935e+06	3.4278315260e+06	0.0000000000e+00	3.6157183404e+03	3.9783029131e+03	5.6878282251e+03	7.7678158674e+00	1.0000000000e+00	5.1839464883e-01	0.0000000000e+00	4.0480978062e+24	7.8737608791e+06	3.7153715092e+03	4.0000000000e+00
6.9317545473e+03	7.1175112935e+06	3.4278315260e+06	0.0000000000e+00	3.5802521596e+03	3.9196823567e+03	5.6172446357e+03	7.7678158674e+00	1.0000000000e+00	5.1839464883e-01	0.0000000000e+00	4.0713688366e+24	7.8601307966e+06	3.0037273166e+03	4.0000000000e+00
8.0312685940e+03	7.1175112935e+06	3.4278315260e+06	0.0000000000e+00	3.5527040363e+03	3.8757850490e+03	5.5666696250e+03	7.7678158674e+00	1.0000000000e+00	5.1839464883e-01	0.0000000000e+00	4.0891353474e+24	7.8495163699e+06	2.5516750339e+03	4.0000000000e+00
8.9108798314e+03	7.1175112935e+06	3.4278315260e+06	0.0000000000e+00	3.5317698494e+03	3.8419505655e+03	5.5311463067e+03	7.7678158674e+00	1.0000000000e+00	5.1839464883e-01	0.0000000000e+00	4.1029319884e+24	7.8408725234e+06	2.2452409048e+03	4.0000000000e+00
9.6145688213e+03	7.1175112935e+06	3.4278315260e+06	0.0000000000e+00	3.5147410962e+03	3.8156343866e+03	5.5206394947e+03	7.7678158674e+00	9.9998923547e-01	5.1839464883e-01	0.0000000000e+00	4.1132041325e+24	7.8341301209e+06	2.0299232687e+03	4.0000000000e+00
9.8054062530e+03	7.1175112935e+06	3.4278315260e+06	0.0000000000e+00	3.5041843411e+03	3.8086341300e+03	5.5053688483e+03	7.7678158674e+00	9.9991262500e-01	5.1839464883e-01	0.0000000000e+00	4.1155627385e+24	7.8302017963e+06	1.9758271806e+03	4.0000000000e+00
9.8054135256e+03	7.1175112935e+06	3.4278315260e+06	0.0000000000e+00	3.5041850024e+03	3.8086620672e+03	5.4900982017e+03	7.7678158674e+00	9.9985512825e-01	5.1839464883e-01	0.0000000000e+00	4.1152551633e+24	7.8302180998e+06	1.9760369740e+03	4.0000000000e+00
9.8054179158e+03	7.1175112935e+06	3.4278315260e+06	0.0000000000e+00	3.5041856682e+03	3.8087212768e+03	5.4748275550e+03	7.7678158674e+00	9.9979687678e-01	5.1839464883e-01	0.0000000000e+00	4.1149423275e+24	7.8302516113e+06	1.9764898595e+03	4.0000000000e+00
