Time	R_int	R_core	R_solvus	T_surf	T_magma	T_cmb	gravity	Phi_global	RF_depth	M_mantle_solid	M_mantle_liquid	R_obs	P_surf	fO2_shift_IW_derived
2.8076193499e+04	1.2702737662e+07	5.8628019978e+06	0.0000000000e+00	3.5128571394e+03	3.9308399176e+03	1.1809908339e+04	2.4664472980e+01	1.0000000000e+00	5.3846153846e-01	3.7893350550e+24	3.8134997108e+25	1.3133877134e+07	3.4642102620e+03	4.0000000000e+00
3.1594638448e+04	1.2654900818e+07	5.8830475377e+06	0.0000000000e+00	3.4884203103e+03	3.8920217054e+03	1.1711565583e+04	2.4859177551e+01	1.0000000000e+00	5.3846153846e-01	3.6942513864e+24	3.8230080777e+25	1.3130845550e+07	3.0437803528e+03	4.0000000000e+00
3.4409394408e+04	1.2654900818e+07	5.8830475377e+06	0.0000000000e+00	3.4619033801e+03	3.8539661327e+03	1.1634561260e+04	2.4859177551e+01	9.9999714236e-01	5.3511705686e-01	4.1673463560e+24	3.8139068314e+25	1.3127630744e+07	2.6773400898e+03	4.0000000000e+00
3.5440834770e+04	1.2654900818e+07	5.8830475377e+06	0.0000000000e+00	3.4531585636e+03	3.8403302921e+03	1.1573291308e+04	2.4859177551e+01	9.9981008027e-01	5.3511705686e-01	4.1513578327e+24	3.8155056838e+25	1.3126491819e+07	2.5572071922e+03	4.0000000000e+00
3.5440838872e+04	1.2654900818e+07	5.8830475377e+06	0.0000000000e+00	3.4534447782e+03	3.8403354643e+03	1.1530954077e+04	2.4859177551e+01	9.9974661592e-01	5.3511705686e-01	4.1542615981e+24	3.8152153072e+25	1.3126492508e+07	2.5572690978e+03	4.0000000000e+00
3.5440841006e+04	1.2654900818e+07	5.8830475377e+06	0.0000000000e+00	3.4534447714e+03	3.8403484442e+03	1.1488616842e+04	2.4859177551e+01	9.9968371230e-01	5.3511705686e-01	4.1571676395e+24	3.8149247031e+25	1.3126494402e+07	2.5573968698e+03	4.0000000000e+00
3.5440842476e+04	1.2654900818e+07	5.8830475377e+06	0.0000000000e+00	3.4534447680e+03	3.8403737044e+03	1.1446279603e+04	2.4859177551e+01	9.9962119755e-01	5.3511705686e-01	4.1600758299e+24	3.8146338841e+25	1.3126498183e+07	2.5576303211e+03	4.0000000000e+00
3.5440843601e+04	1.2654900818e+07	5.8830475377e+06	0.0000000000e+00	3.4534447689e+03	3.8404145296e+03	1.1403942362e+04	2.4859177551e+01	9.9955889668e-01	5.3511705686e-01	4.1629874292e+24	3.8143427241e+25	1.3126504353e+07	2.5579978211e+03	4.0000000000e+00
3.5440844513e+04	1.2654900818e+07	5.8830475377e+06	0.0000000000e+00	3.4534447753e+03	3.8404719857e+03	1.1361605105e+04	2.4859177551e+01	9.9949669852e-01	5.3511705686e-01	4.1659032384e+24	3.8140511432e+25	1.3126513076e+07	2.5585086348e+03	4.0000000000e+00
3.5440845280e+04	1.2654900818e+07	5.8830475377e+06	0.0000000000e+00	3.4534447883e+03	3.8405455927e+03	1.1319267857e+04	2.4859177551e+01	9.9943453498e-01	5.3511705686e-01	4.1688236215e+24	3.8137591049e+25	1.3126524279e+07	2.5591587286e+03	4.0000000000e+00
3.5440845943e+04	1.2654900818e+07	5.8830475377e+06	0.0000000000e+00	3.4534448088e+03	3.8406341799e+03	1.1276930603e+04	2.4859177551e+01	9.9937236149e-01	5.3511705686e-01	4.1717487411e+24	3.8134665929e+25	1.3126537782e+07	2.5599381248e+03	4.0000000000e+00
3.5440846527e+04	1.2654900818e+07	5.8830475377e+06	0.0000000000e+00	3.4534448378e+03	3.8407363943e+03	1.1234593348e+04	2.4859177551e+01	9.9931014684e-01	5.3511705686e-01	4.1746786710e+24	3.8131736000e+25	1.3126553376e+07	2.5608352784e+03	4.0000000000e+00
3.5440847048e+04	1.2654900818e+07	5.8830475377e+06	0.0000000000e+00	3.4534448762e+03	3.8408509272e+03	1.1192256071e+04	2.4859177551e+01	9.9924712974e-01	5.3511705686e-01	4.1776364585e+24	3.8128778212e+25	1.3126570859e+07	2.5618392165e+03	4.0000000000e+00
3.5440847520e+04	1.2654900818e+07	5.8830475377e+06	0.0000000000e+00	3.4534449247e+03	3.8409765951e+03	1.1149918809e+04	2.4859177551e+01	9.9918390635e-01	5.3511705686e-01	4.1806029792e+24	3.8125811691e+25	1.3126590050e+07	2.5629396944e+03	4.0000000000e+00
3.5440847951e+04	1.2654900818e+07	5.8830475377e+06	0.0000000000e+00	3.4534449842e+03	3.8411123553e+03	1.1107581545e+04	2.4859177551e+01	9.9912057074e-01	5.3511705686e-01	4.1835748653e+24	3.8122839805e+25	1.3126610789e+07	2.5641278095e+03	4.0000000000e+00
3.5440848347e+04	1.2654900818e+07	5.8830475377e+06	0.0000000000e+00	3.4534450552e+03	3.8412572978e+03	1.1065244257e+04	2.4859177551e+01	9.9905711282e-01	5.3511705686e-01	4.1865520721e+24	3.8119862598e+25	1.3126632937e+07	2.5653958225e+03	4.0000000000e+00
3.5440848714e+04	1.2654900818e+07	5.8830475377e+06	0.0000000000e+00	3.4534451386e+03	3.8414106283e+03	1.1022906946e+04	2.4859177551e+01	9.9899352411e-01	5.3511705686e-01	4.1895345624e+24	3.8116880108e+25	1.3126656370e+07	2.5667369870e+03	4.0000000000e+00
3.5440849057e+04	1.2654900818e+07	5.8830475377e+06	0.0000000000e+00	3.4534452348e+03	3.8415716507e+03	1.0980569671e+04	2.4859177551e+01	9.9892979738e-01	5.3511705686e-01	4.1925223021e+24	3.8113892368e+25	1.3126680982e+07	2.5681453983e+03	4.0000000000e+00
