R_int	Phi_global	P_surf
1.2809335026e+07	1.0000000000e+00	4.4507908353e+04
1.2809335026e+07	1.0000000000e+00	4.4519324280e+04
1.2809335026e+07	1.0000000000e+00	4.4519362263e+04
1.2809335026e+07	1.0000000000e+00	4.4519362389e+04
1.2809335026e+07	1.0000000000e+00	4.4958569557e+04
1.2809335026e+07	1.0000000000e+00	4.4959970659e+04
1.2809335026e+07	1.0000000000e+00	4.4959801059e+04
1.2809335026e+07	1.0000000000e+00	4.4958058258e+04
1.2809335026e+07	1.0000000000e+00	4.4955264854e+04
1.2809335026e+07	1.0000000000e+00	4.4950796067e+04
1.2809335026e+07	1.0000000000e+00	4.4943647771e+04
1.2809335026e+07	1.0000000000e+00	4.4932214946e+04
1.2809335026e+07	1.0000000000e+00	4.4913933895e+04
1.2809335026e+07	1.0000000000e+00	4.4884713457e+04
1.2809335026e+07	1.0000000000e+00	4.4838035820e+04
1.2809335026e+07	1.0000000000e+00	4.4763544167e+04
1.2809335026e+07	1.0000000000e+00	4.4644851882e+04
1.2809335026e+07	1.0000000000e+00	4.4456218522e+04
1.2809335026e+07	1.0000000000e+00	4.4157699531e+04
1.2809335026e+07	1.0000000000e+00	4.3689691654e+04
1.2809335026e+07	1.0000000000e+00	4.2971263304e+04
1.2809335026e+07	1.0000000000e+00	4.1883851966e+04
1.2809335026e+07	1.0000000000e+00	4.0319546367e+04
1.2809335026e+07	1.0000000000e+00	3.8251860660e+04
1.2540202455e+07	1.0000000000e+00	3.9278821203e+04
1.2516236666e+07	9.9983221608e-01	4.0348957270e+04
1.2516236666e+07	9.9976129905e-01	4.0268476542e+04
1.2516236666e+07	9.9969748595e-01	4.0269418106e+04
1.2516236666e+07	9.9963501599e-01	4.0270251199e+04
1.2516236666e+07	9.9957294410e-01	4.0271063649e+04
1.2516236666e+07	9.9951104558e-01	4.0272007706e+04
1.2516236666e+07	9.9944849990e-01	4.0273133627e+04
1.2516236666e+07	9.9938587835e-01	4.0274431292e+04
1.2516236666e+07	9.9932319863e-01	4.0275882817e+04
1.2516236666e+07	9.9926043830e-01	4.0277469516e+04
1.2516236666e+07	9.9919757876e-01	4.0279174872e+04
1.2516236666e+07	9.9913461083e-01	4.0280984885e+04
