R_int	Phi_global	P_surf
9.6265218965e+06	1.0000000000e+00	9.5748937653e+03
9.6265218965e+06	1.0000000000e+00	9.5749069986e+03
9.6265218965e+06	1.0000000000e+00	9.5749069990e+03
9.6265218965e+06	1.0000000000e+00	9.5749069990e+03
9.6265218965e+06	1.0000000000e+00	9.7999266779e+03
9.6265218965e+06	1.0000000000e+00	9.7735808932e+03
9.6265218965e+06	1.0000000000e+00	9.7469255046e+03
9.6265218965e+06	1.0000000000e+00	9.4839099013e+03
9.6265218965e+06	1.0000000000e+00	9.0843402401e+03
9.6265218965e+06	1.0000000000e+00	8.4917205812e+03
9.6265218965e+06	1.0000000000e+00	8.1095318537e+03
9.6265218965e+06	1.0000000000e+00	7.8367459951e+03
9.6265218965e+06	1.0000000000e+00	7.6295717312e+03
9.6265218965e+06	1.0000000000e+00	7.4701615999e+03
9.6265218965e+06	1.0000000000e+00	7.2243899771e+03
9.6265218965e+06	1.0000000000e+00	6.8595600845e+03
9.6265218965e+06	1.0000000000e+00	6.3330280035e+03
9.6265218965e+06	1.0000000000e+00	5.9483368139e+03
9.6265218965e+06	1.0000000000e+00	5.3875339487e+03
9.6265218965e+06	1.0000000000e+00	4.6025846170e+03
9.5183846776e+06	1.0000000000e+00	3.5857792098e+03
9.5183846776e+06	1.0000000000e+00	2.8048049319e+03
9.5183846776e+06	1.0000000000e+00	2.3475544061e+03
9.5183846776e+06	9.9982023070e-01	2.2568727330e+03
9.5183846776e+06	9.9976495693e-01	2.2571625247e+03
9.5183846776e+06	9.9971005813e-01	2.2575876104e+03
9.5183846776e+06	9.9965456292e-01	2.2581848549e+03
9.5183846776e+06	9.9959898666e-01	2.2589520395e+03
9.5183846776e+06	9.9954307998e-01	2.2598695918e+03
9.5183846776e+06	9.9948646581e-01	2.2609160196e+03
9.5183846776e+06	9.9942966806e-01	2.2620729314e+03
9.5183846776e+06	9.9937267567e-01	2.2633256372e+03
9.5183846776e+06	9.9931488845e-01	2.2646625371e+03
9.5183846776e+06	9.9925625120e-01	2.2660743732e+03
9.5183846776e+06	9.9919671654e-01	2.2675536500e+03
9.5183846776e+06	9.9913695415e-01	2.2690941829e+03
9.5183846776e+06	9.9907639477e-01	2.2706908172e+03
9.5183846776e+06	9.9901533837e-01	2.2723391604e+03
9.5183846776e+06	9.9895404167e-01	2.2740354297e+03
9.5183846776e+06	9.9889250197e-01	2.2757763296e+03
9.5183846776e+06	9.9883042345e-01	2.2775589547e+03
9.5183846776e+06	9.9876712760e-01	2.2793807160e+03
9.5183846776e+06	9.9870287478e-01	2.2812392583e+03
9.5183846776e+06	9.9863836562e-01	2.2831324221e+03
9.5183846776e+06	9.9857358356e-01	2.2850582244e+03
9.5183846776e+06	9.9850762966e-01	2.2870148295e+03
9.5183846776e+06	9.9844061092e-01	2.2890004915e+03
9.5183846776e+06	9.9837245281e-01	2.2910135536e+03
9.5183846776e+06	9.9830368086e-01	2.2930524202e+03
9.5183846776e+06	9.9823463744e-01	2.2951155602e+03
9.5183846776e+06	9.9816532096e-01	2.2972015067e+03
9.5183846776e+06	9.9809572981e-01	2.2993088534e+03
9.5183846776e+06	9.9802586237e-01	2.3014362677e+03
9.5183846776e+06	9.9795571703e-01	2.3035825592e+03
9.5183846776e+06	9.9788529214e-01	2.3057465531e+03
9.5183846776e+06	9.9781458605e-01	2.3079273246e+03
9.5183846776e+06	9.9774359709e-01	2.3101241863e+03
9.5183846776e+06	9.9767232361e-01	2.3123367763e+03
9.5183846776e+06	9.9760076388e-01	2.3145651630e+03
9.5183846776e+06	9.9752891620e-01	2.3168099633e+03
9.5183846776e+06	9.9745677885e-01	2.3190724816e+03
9.5183846776e+06	9.9738435002e-01	2.3213548597e+03
9.5183846776e+06	9.9731162800e-01	2.3236602208e+03
9.5183846776e+06	9.9723861094e-01	2.3259928164e+03
9.5183846776e+06	9.9716529698e-01	2.3283581299e+03
9.5183846776e+06	9.9709168429e-01	2.3307629995e+03
9.5183846776e+06	9.9701777096e-01	2.3332155037e+03
9.5183846776e+06	9.9694355506e-01	2.3357250765e+03
9.5183846776e+06	9.9686903466e-01	2.3383023445e+03
9.5183846776e+06	9.9679420773e-01	2.3409589700e+03
9.5183846776e+06	9.9671907225e-01	2.3437074305e+03
9.5183846776e+06	9.9664362555e-01	2.3465607562e+03
9.5183846776e+06	9.9656786620e-01	2.3495322265e+03
9.5183846776e+06	9.9649179197e-01	2.3526350374e+03
9.5183846776e+06	9.9641540058e-01	2.3558819343e+03
9.5183846776e+06	9.9633869037e-01	2.3592849098e+03
9.5183846776e+06	9.9626165904e-01	2.3628544547e+03
9.5183846776e+06	9.9618430461e-01	2.3665994861e+03
9.5183846776e+06	9.9610662533e-01	2.3705267759e+03
9.5183846776e+06	9.9602861874e-01	2.3746405993e+03
9.5183846776e+06	9.9595028321e-01	2.3789424702e+03
9.5183846776e+06	9.9587161669e-01	2.3834310032e+03
9.5183846776e+06	9.9579261689e-01	2.3881019627e+03
9.5183846776e+06	9.9571328222e-01	2.3929484406e+03
9.5183846776e+06	9.9563361011e-01	2.3979612118e+03
9.5183846776e+06	9.9555359899e-01	2.4031291683e+03
9.5183846776e+06	9.9547324632e-01	2.4084398165e+03
9.5183846776e+06	9.9539255042e-01	2.4138798489e+03
9.5183846776e+06	9.9531150858e-01	2.4194354098e+03
9.5183846776e+06	9.9523011905e-01	2.4250927665e+03
9.5183846776e+06	9.9514837951e-01	2.4308385500e+03
9.5183846776e+06	9.9506628744e-01	2.4366600241e+03
9.5183846776e+06	9.9498384069e-01	2.4425454268e+03
9.5183846776e+06	9.9490103690e-01	2.4484835529e+03
9.5183846776e+06	9.9481787361e-01	2.4544644280e+03
9.5183846776e+06	9.9473434824e-01	2.4604790380e+03
9.5183846776e+06	9.9465045813e-01	2.4665193425e+03
9.5183846776e+06	9.9456620071e-01	2.4725780986e+03
9.5183846776e+06	9.9448157300e-01	2.4786489267e+03
9.5183846776e+06	9.9439657184e-01	2.4847261650e+03
9.5183846776e+06	9.9431119400e-01	2.4908048490e+03
9.5183846776e+06	9.9422543682e-01	2.4968804289e+03
9.5183846776e+06	9.9413929990e-01	2.5029491233e+03
