Phi_global	P_surf	H2O_kg_total	H2O_vmr	CO2_kg_total	CO2_vmr	O2_kg_total	O2_vmr	H2_vmr	CH4_vmr	CO_kg_total	CO_vmr	N2_vmr	S2_vmr	SO2_vmr	H2S_vmr
1.0000000000e+00	3.3657041754e+02	4.8898681847e+21	4.1754821400e-04	2.0360007279e+18	3.3230572717e-04	8.1816970730e+13	2.6435263199e-08	1.2078101778e-01	3.3745591590e-05	2.8392472914e+21	8.7843149017e-01	3.0221479073e-06	8.9712766953e-11	2.9711464463e-33	7.4905432360e-07
1.0000000000e+00	3.3657041631e+02	4.8898681831e+21	4.1754821870e-04	2.0360007132e+18	3.3230572665e-04	8.1816970730e+13	2.6435263296e-08	1.2078101914e-01	3.3745592051e-05	2.8392472763e+21	8.7843148881e-01	3.0221479462e-06	8.9712768020e-11	2.9711464572e-33	7.4905433513e-07
1.0000000000e+00	3.3657041631e+02	4.8898681831e+21	4.1754821870e-04	2.0360007132e+18	3.3230572665e-04	8.1816970730e+13	2.6435263296e-08	1.2078101914e-01	3.3745592051e-05	2.8392472763e+21	8.7843148881e-01	3.0221479462e-06	8.9712768021e-11	2.9711464572e-33	7.4905433513e-07
1.0000000000e+00	3.3657041631e+02	4.8898681831e+21	4.1754821870e-04	2.0360007132e+18	3.3230572665e-04	8.1816970730e+13	2.6435263296e-08	1.2078101914e-01	3.3745592051e-05	2.8392472763e+21	8.7843148881e-01	3.0221479462e-06	8.9712768021e-11	2.9711464572e-33	7.4905433513e-07
1.0000000000e+00	3.3657144566e+02	4.8880196251e+21	4.1723138714e-04	2.0322721214e+18	3.3168855472e-04	8.4172314752e+13	2.7196197533e-08	1.2080660549e-01	3.3453925975e-05	2.8391778040e+21	8.7840712438e-01	3.0254337711e-06	9.0603492999e-11	2.9711373704e-33	7.4893553030e-07
1.0000000000e+00	3.3657131972e+02	4.8882155324e+21	4.1726502666e-04	2.0326657692e+18	3.3175373725e-04	8.3920635518e+13	2.7114889752e-08	1.2080391214e-01	3.3484548296e-05	2.8391849618e+21	8.7840968868e-01	3.0250873746e-06	9.0509161966e-11	2.9711384821e-33	7.4894846544e-07
1.0000000000e+00	3.3657121169e+02	4.8884099394e+21	4.1729833722e-04	2.0330568879e+18	3.3181847424e-04	8.3671386307e+13	2.7034365615e-08	1.2080121959e-01	3.3514995314e-05	2.8391922774e+21	8.7841225313e-01	3.0247427853e-06	9.0415532105e-11	2.9711394357e-33	7.4896108604e-07
1.0000000000e+00	3.3657012087e+02	4.8903436967e+21	4.1762981359e-04	2.0369643152e+18	3.3246527012e-04	8.1217946054e+13	2.6241739993e-08	1.2077445562e-01	3.3821660308e-05	2.8392648207e+21	8.7843773609e-01	3.0212986374e-06	8.9483417417e-11	2.9711490652e-33	7.4908441160e-07
1.0000000000e+00	3.3656839902e+02	4.8934190631e+21	4.1815719533e-04	2.0432441607e+18	3.3350483871e-04	7.7412093390e+13	2.5012186571e-08	1.2073188021e-01	3.4324027625e-05	2.8393802567e+21	8.7847824847e-01	3.0157558479e-06	8.7998054688e-11	2.9711642653e-33	7.4927138600e-07
1.0000000000e+00	3.3656566711e+02	4.8982895322e+21	4.1899310352e-04	2.0533608543e+18	3.3517979441e-04	7.1621996752e+13	2.3141568816e-08	1.2066446581e-01	3.5158715105e-05	2.8395627698e+21	8.7854232737e-01	3.0068082063e-06	8.5638155959e-11	2.9711883823e-33	7.4954395468e-07
1.0000000000e+00	3.3656139554e+02	4.9058800406e+21	4.2029753811e-04	2.0695744124e+18	3.3786477113e-04	6.3163270860e+13	2.0408754253e-08	1.2055943207e-01	3.6564683576e-05	2.8398464123e+21	8.7864198168e-01	2.9924223913e-06	8.1941521810e-11	2.9712260920e-33	7.4990747897e-07
1.0000000000e+00	3.3655477286e+02	4.9175765555e+21	4.2231164032e-04	2.0957461206e+18	3.4220039803e-04	5.1421259660e+13	1.6615106981e-08	1.2039765333e-01	3.9024590559e-05	2.8402813176e+21	8.7879497616e-01	2.9690877017e-06	7.6198353074e-11	2.9712845594e-33	7.5030561365e-07
